1185660.4.peg.1057	DHFS,10FTHFGLULL,FPGS_tm
1185660.4.peg.495	2DHPFALDL,FGLU,AICART,MOHMT,ICH
1185660.4.peg.109	L_LACDcm,L_LACD3,MCLOR,L_LACD2,LDH_L,2HBO
1185660.4.peg.1883	2OH3K5MPPISO
1185660.4.peg.2389	MNXR8926,MNXR18003,MNXR15797,RDH1,ALCD2ir,MNXR18214,MNXR15973,MNXR12173,MNXR16994,MNXR5765,34DHOXPEGOX,CHOLD,ALCD19,MNXR17974,MNXR15972,MNXR17153,MNXR17999
1185660.4.peg.3115	MNXR8926,MNXR18003,MNXR15797,RDH1,ALCD2ir,MNXR18214,MNXR15973,MNXR12173,MNXR16994,MNXR5765,34DHOXPEGOX,CHOLD,ALCD19,MNXR17974,MNXR15972,MNXR17153,MNXR17999
1185660.4.peg.29	MNXR8926,MNXR18003,MNXR15797,RDH1,ALCD2ir,MNXR18214,MNXR15973,MNXR12173,MNXR16994,MNXR5765,34DHOXPEGOX,CHOLD,ALCD19,MNXR17974,MNXR15972,MNXR17153,MNXR17999
1185660.4.peg.180	MNXR8926,MNXR18003,MNXR15797,RDH1,ALCD2ir,MNXR18214,MNXR15973,MNXR12173,MNXR16994,MNXR5765,34DHOXPEGOX,CHOLD,ALCD19,MNXR17974,MNXR15972,MNXR17153,MNXR17999
1185660.4.peg.3035	MNXR8926,MNXR18003,MNXR15797,RDH1,ALCD2ir,MNXR18214,MNXR15973,MNXR12173,MNXR16994,MNXR5765,34DHOXPEGOX,CHOLD,ALCD19,MNXR17974,MNXR15972,MNXR17153,MNXR17999
1185660.4.peg.424	PPOR,34HPPOR
1185660.4.peg.1461	QUILSYN,3HAO
1185660.4.peg.1539	3HBCOAHL,MNXR160,MNXR5724,MNXR15262,MNXR5910
1185660.4.peg.850	PPC,PHYCBOXL,HDC,5HLTDL,TYRCBOX,LTDCL,3HLYTCL,5HXKYNDCL
1185660.4.peg.3753	MNXR27654,3OAR120,MNXR27696,3OAR100,MNXR27638,MNXR27679,rxn05336_c0,MNXR27675,MNXR27667,MNXR27688,MNXR27704,rxn05342_c0,MNXR27735,MNXR27659,MNXR27646,MNXR27700,MNXR27650,MNXR27692,MNXR27642,3OAR80,MNXR27671,MNXR27634,3OAR40_1,MNXR27663,3OAR60,MNXR27684
1185660.4.peg.1143	MNXR27654,3OAR120,MNXR27696,3OAR100,MNXR27638,MNXR27679,rxn05336_c0,MNXR27675,MNXR27667,MNXR27688,MNXR27704,rxn05342_c0,MNXR27735,MNXR27659,MNXR27646,MNXR27700,MNXR27650,MNXR27692,MNXR27642,3OAR80,MNXR27671,MNXR27634,3OAR40_1,MNXR27663,3OAR60,MNXR27684
1185660.4.peg.4522	MNXR27654,3OAR120,MNXR27696,3OAR100,MNXR27638,MNXR27679,rxn05336_c0,MNXR27675,MNXR27667,MNXR27688,MNXR27704,rxn05342_c0,MNXR27735,MNXR27659,MNXR27646,MNXR27700,MNXR27650,MNXR27692,MNXR27642,3OAR80,MNXR27671,MNXR27634,3OAR40_1,MNXR27663,3OAR60,MNXR27684
1185660.4.peg.1112	MNXR27654,3OAR120,MNXR27696,3OAR100,MNXR27638,MNXR27679,rxn05336_c0,MNXR27675,MNXR27667,MNXR27688,MNXR27704,rxn05342_c0,MNXR27735,MNXR27659,MNXR27646,MNXR27700,MNXR27650,MNXR27692,MNXR27642,3OAR80,MNXR27671,MNXR27634,3OAR40_1,MNXR27663,3OAR60,MNXR27684
1185660.4.peg.3578	MNXR27654,3OAR120,MNXR27696,3OAR100,MNXR27638,MNXR27679,rxn05336_c0,MNXR27675,MNXR27667,MNXR27688,MNXR27704,rxn05342_c0,MNXR27735,MNXR27659,MNXR27646,MNXR27700,MNXR27650,MNXR27692,MNXR27642,3OAR80,MNXR27671,MNXR27634,3OAR40_1,MNXR27663,3OAR60,MNXR27684
1185660.4.peg.409	MNXR27654,3OAR120,MNXR27696,3OAR100,MNXR27638,MNXR27679,rxn05336_c0,MNXR27675,MNXR27667,MNXR27688,MNXR27704,rxn05342_c0,MNXR27735,MNXR27659,MNXR27646,MNXR27700,MNXR27650,MNXR27692,MNXR27642,3OAR80,MNXR27671,MNXR27634,3OAR40_1,MNXR27663,3OAR60,MNXR27684
1185660.4.peg.401	MNXR27654,3OAR120,MNXR27696,3OAR100,MNXR27638,MNXR27679,rxn05336_c0,MNXR27675,MNXR27667,MNXR27688,MNXR27704,rxn05342_c0,MNXR27735,MNXR27659,MNXR27646,MNXR27700,MNXR27650,MNXR27692,MNXR27642,3OAR80,MNXR27671,MNXR27634,3OAR40_1,MNXR27663,3OAR60,MNXR27684
1185660.4.peg.2283	rxn05346_c0,rxn05404_c0,rxn05417_c0,rxn05421_c0,rxn05425_c0,rxn05363_c0,rxn05429_c0,rxn05460_c0,rxn05409_c0,rxn05375_c0,rxn05392_c0,rxn05343_c0,rxn05379_c0,rxn05348_c0,rxn05384_c0,rxn05388_c0,rxn05344_c0,rxn05367_c0,3OAS80,rxn05396_c0,ACOATA,rxn05400_c0,rxn05347_c0,rxn05359_c0,rxn05345_c0,rxn05413_c0,rxn05371_c0
1185660.4.peg.1140	rxn05346_c0,rxn05404_c0,rxn05417_c0,rxn05421_c0,rxn05425_c0,rxn05363_c0,rxn05429_c0,rxn05460_c0,rxn05409_c0,rxn05375_c0,rxn05392_c0,rxn05343_c0,rxn05379_c0,rxn05348_c0,rxn05384_c0,rxn05388_c0,rxn05344_c0,rxn05367_c0,3OAS80,rxn05396_c0,ACOATA,rxn05400_c0,rxn05347_c0,rxn05359_c0,rxn05345_c0,rxn05413_c0,rxn05371_c0
1185660.4.peg.1145	rxn05346_c0,rxn05404_c0,rxn05417_c0,rxn05421_c0,rxn05425_c0,rxn05363_c0,rxn05429_c0,rxn05460_c0,rxn05409_c0,rxn05375_c0,rxn05392_c0,rxn05343_c0,rxn05379_c0,rxn05348_c0,rxn05384_c0,rxn05388_c0,rxn05344_c0,rxn05367_c0,3OAS80,rxn05396_c0,ACOATA,rxn05400_c0,rxn05347_c0,rxn05359_c0,rxn05345_c0,rxn05413_c0,rxn05371_c0
1185660.4.peg.3695	rxn05346_c0,rxn05348_c0,rxn05344_c0,rxn05343_c0,3OAS80,rxn05345_c0,rxn05347_c0
1185660.4.peg.4079	ABUTD,GLXO1,4ABUTD,GLYALDDr,ALDD31,ALDD2x,ALDD22x,IMACTD
1185660.4.peg.911	ABUTD,GLXO1,4ABUTD,GLYALDDr,ALDD31,ALDD2x,ALDD22x,IMACTD
1185660.4.peg.4081	ABUTD,GLXO1,4ABUTD,GLYALDDr,ALDD31,ALDD2x,ALDD22x,IMACTD
1185660.4.peg.4080	ABUTD,GLXO1,4ABUTD,GLYALDDr,ALDD31,ALDD2x,ALDD22x,IMACTD
1185660.4.peg.800	4CMLCL_kt,HPYRDC
1185660.4.peg.3063	4CMLCL_kt,HPYRDC
1185660.4.peg.1865	4HTHRS,THRS
1185660.4.peg.3381	DHPM2,DHPD,MNXR70220,MNXR85427,56DH5FLURAAMH
1185660.4.peg.2778	DHPM2,DHPD,MNXR70220,MNXR85427,56DH5FLURAAMH
1185660.4.peg.2831	DHPM2,DHPD,MNXR70220,MNXR85427,56DH5FLURAAMH
1185660.4.peg.2895	DHPM2,DHPD,MNXR70220,MNXR85427,56DH5FLURAAMH
1185660.4.peg.1060	5FLURAPRT,GLUPRT,ORPT
1185660.4.peg.144	A5PISO
1185660.4.peg.2694	A5PISO
1185660.4.peg.2053	MNXR6908,AACOAR_syn
1185660.4.peg.3317	MNXR6908,AACOAR_syn
1185660.4.peg.3392	MNXR27602,FACOAL140,AACOAT,MNXR27603,MNXR27601,FACOAL160,FACOAL180,MNXR80370,rxn09448_c0,MNXR27605,MNXR27604,MNXR27606
