GenID	DOWN
1185660.4.peg.1000	-1
1185660.4.peg.1001	-1
1185660.4.peg.1002	-1
1185660.4.peg.1003	-1
1185660.4.peg.1004	-1
1185660.4.peg.1005	-1
1185660.4.peg.1006	-1
1185660.4.peg.1007	-1
1185660.4.peg.1008	-1
1185660.4.peg.1009	-1
1185660.4.peg.1010	-1
1185660.4.peg.1011	-1
1185660.4.peg.1012	-1
1185660.4.peg.1013	-1
1185660.4.peg.1014	-1
1185660.4.peg.1015	-1
1185660.4.peg.1016	-1
1185660.4.peg.1017	-1
1185660.4.peg.1018	-1
1185660.4.peg.1019	-1
1185660.4.peg.1021	-1
1185660.4.peg.1022	-1
1185660.4.peg.1023	-1
1185660.4.peg.1024	-1
1185660.4.peg.1025	-1
1185660.4.peg.1030	0
1185660.4.peg.1036	1
1185660.4.peg.1045	0
1185660.4.peg.1046	0
1185660.4.peg.1047	-1
1185660.4.peg.1048	-1
1185660.4.peg.1049	0
1185660.4.peg.1051	-1
1185660.4.peg.1053	-1
1185660.4.peg.1057	-1
1185660.4.peg.1060	1
1185660.4.peg.1066	1
1185660.4.peg.1071	0
1185660.4.peg.1077	-1
1185660.4.peg.1088	1
1185660.4.peg.109	0
1185660.4.peg.1094	0
1185660.4.peg.1095	0
1185660.4.peg.1107	-1
1185660.4.peg.1112	0
1185660.4.peg.1114	0
1185660.4.peg.1115	-1
1185660.4.peg.1130	-1
1185660.4.peg.1139	-1
1185660.4.peg.1142	1
1185660.4.peg.1143	1
1185660.4.peg.1145	1
1185660.4.peg.1146	0
1185660.4.peg.1153	-1
1185660.4.peg.1154	-1
1185660.4.peg.1155	-1
1185660.4.peg.1160	-1
1185660.4.peg.1164	-1
1185660.4.peg.1169	-1
1185660.4.peg.117	1
1185660.4.peg.1178	1
1185660.4.peg.118	-1
1185660.4.peg.1207	-1
1185660.4.peg.1209	-1
1185660.4.peg.1226	-1
1185660.4.peg.1228	0
1185660.4.peg.1241	0
1185660.4.peg.1275	-1
1185660.4.peg.1278	-1
1185660.4.peg.1286	0
1185660.4.peg.1287	0
1185660.4.peg.1289	0
1185660.4.peg.1291	-1
1185660.4.peg.1298	-1
1185660.4.peg.1299	-1
1185660.4.peg.1300	0
1185660.4.peg.1308	-1
1185660.4.peg.131	-1
1185660.4.peg.1321	0
1185660.4.peg.1324	0
1185660.4.peg.1327	0
1185660.4.peg.1329	-1
1185660.4.peg.1339	0
1185660.4.peg.1376	-1
1185660.4.peg.1377	-1
1185660.4.peg.138	0
1185660.4.peg.1386	1
1185660.4.peg.1387	1
1185660.4.peg.1388	-1
1185660.4.peg.1389	1
1185660.4.peg.139	-1
1185660.4.peg.1394	0
1185660.4.peg.1397	0
1185660.4.peg.14	1
1185660.4.peg.1413	0
1185660.4.peg.1415	0
1185660.4.peg.1417	0
1185660.4.peg.1419	0
1185660.4.peg.1420	0
1185660.4.peg.1429	0
1185660.4.peg.1430	-1
1185660.4.peg.1431	-1
1185660.4.peg.1432	0
1185660.4.peg.1434	-1
