Reaction,Flux
MNXR94198,1000.0
AGGPR,0.0
MNXR53361,0.0084
MNXR94197,1000.0
MNXR94196,1000.0
MNXR94194,1000.0
UAMAGS,0.00247
MNXR53363,0.0084
CPS,-0.02041
XTSNH,1000.0
DDPA,-0.02805
MNXR28723,0.00315
MNXR28722,0.00315
P5CD,0.01818
MNXR4335,999.99895
MNXR27681,0.0084
MNXR27680,-0.0084
IMDHT_3c2hmp,0.03701
P5CR,-1000.0
MNXR93748,1000.0
ARGORNt7,0.38555
DMPH,0.0
MNXR79548,-999.97616
rxn05342_c0,0.00986
GLUTRR,-0.00488
GLUTRS,-0.00488
BCTA_val_h,-1000.0
FACOAL180,0.0
KARI_23dhmp,0.03224
SHKK,-0.02805
CO2t,-8.2395
KARI_23dhmb,-1000.0
TRE6PS,0.0
MNXR8605,-1000.0
MNXR55989,-0.00247
GUDBUTNAH,-0.36092
NNDMBRT,-0.00031
ACACT1,-0.0084
PANTS,-0.00061
OCDCAt2,0.0084
ECOAH9ir,-0.0
PUTA3,0.0
O2t,0.00168
MNXR87148,-656.70386
PPNCL2,-0.00061
AMMQT8_2,0.00031
UGMDDS,0.00247
DHPPDA2,-0.00061
ACODA,-0.0
MNXR80556,0.00105
LYSt2m,-0.03061
MNXR80555,-0.00105
MAN6PI,-1.57743
KARI_3hmoa,1000.0
CMPA,-0.00031
GLU5K,-0.02463
CMS,-4.36811
GHMT,2.14402
ASNN,0.0
EX_h_e,1000.0
MNXR94164,1000.0
MNXR27856,0.00031
MCITS,0.0
APRAUR,-0.00061
rxn05379_c0,-0.0084
AACOAR_syn,1000.0
ATDGDm,-0.00158
SPMDabc,0.00031
IG3PS,0.00781
EX_nh4_e,0.0
MNXR6970,1000.0
rxn08333_c0,-0.00061
ADNUC,0.0
ADSL2r,-0.03073
MICITDr,0.0
UAGPT3,-0.00247
GART,-0.00275
BCTA_glu_h,999.96299
EX_nmn_e,-0.00061
H2Ot,-22.1302
PSAT,-992.27453
ACCOAC_1,0.0
gumBCEJ,0.39436
G1PTT,-0.00247
GALT1,-0.00247
MNXR84631,1000.0
PLIPA1E160,1000.0
Kt1,0.00061
G6PI3,-992.37848
MNXR7594,1000.0
MNXR117163,0.78872
THRA,0.0
MNXR117165,0.39436
HMBS,0.00061
MDH,-2.97378
TMPK,-0.00031
PPBNGS,-0.00244
SHK3Dr,0.02805
FCLT,0.00031
ASPK,-4.51875
UHBZ1t_pp,0.00031
MNXR69813,-0.00105
GTPCII2,-0.00061
MNXR79604,-0.04514
MNXR27669,0.0084
MNXR27668,0.0084
MNXR27667,-0.0084
MNXR27665,0.0084
MNXR27664,0.0084
MNXR27663,-0.0084
MNXR27661,0.0084
MNXR27660,0.0084
AUS,0.00061
ARGDC,-0.00031
DHAD1,0.07235
ADPT,0.0
DURIt2,0.0
GALM1,1000.0
HXAND,-0.01646
UAPGR,0.00247
MNXR71850,4.77225
MNXR28671,-0.0042
HACD9,0.0
MNXR28672,-0.0042
EX_orn_e,0.38555
MMSAD3,1000.0
PSP,992.27453
rxn05345_c0,-0.00986
MNXR69727,1000.0
PRPPS,-0.07571
DPR,0.00061
DHFR,0.0025
DHFS,-0.00092
HSERTA,-0.04514
FERO,0.0
MNXR94200,1000.0
FGFTh,-0.02798
GLCpts,-10.0
PIabc,-1000.0
GLCTR2,-0.00247
GLCTR3,-0.00247
HEX1,-1000.0
EX_spmd_e,-0.00031
rxn05367_c0,-0.0084
MG2t,0.00031
MNXR58824,0.00986
MNXR93945,1000.0
MNXR93946,-1000.0
ADK2,-0.00031
NAPRT,-0.00031
ADK1,656.91542
HEPT4,-0.00247
HEPT2,-0.00247
HEPT3,-0.00247
GLUPRT,-0.03073
HEPT1,-0.00247
MNXR94332,0.0
MNXR93704,1000.0
EX_fe2_e,-0.00122
