Reaction,Flux
G6PDH2r,0.0
MNXR94198,1000.0
AGGPR,0.0
MNXR53361,0.14779
MNXR94197,1000.0
MNXR94196,1000.0
MNXR94194,1000.0
UAMAGS,0.04339
MNXR53363,0.14779
CPS,-0.35908
XTSNH,1000.0
DDPA,-0.49355
MNXR28723,0.05542
MNXR28722,0.05542
P5CD,0.31984
MNXR4335,1000.0
MNXR27681,0.14779
MNXR27680,-0.14779
IMDHT_3c2hmp,0.65126
P5CR,-1000.0
MNXR93748,1000.0
ARGORNt7,10.0
DMPH,0.0
MNXR79548,-999.58051
rxn05342_c0,0.17356
GLUTRR,-0.08595
GLUTRS,-0.08595
BCTA_val_h,-1000.0
FACOAL180,0.0
KARI_23dhmp,0.56728
PSD161,-0.01847
SHKK,-0.49355
CO2t,-12.88534
GALM1,0.0
KARI_23dhmb,-1000.0
TRE6PS,-0.0
MNXR8605,-1000.0
MNXR55989,-0.04339
GUDBUTNAH,-9.56663
NNDMBRT,-0.00537
ACACT1,-0.14779
PANTS,-0.01074
OCDCAt2,0.14779
ECOAH9ir,0.0
PUTA3,0.0
O2t,0.02955
MNXR87148,-993.76243
PPNCL2,-0.01074
AMMQT8_2,0.00537
UGMDDS,0.04339
DHPPDA2,-0.01074
ACODA,-0.0
MNXR80556,0.01847
LYSt2m,-0.5386
MNXR80555,-0.01847
MAN6PI,0.0
KARI_3hmoa,1000.0
CMPA,-0.00537
GLU5K,-0.43337
CMS,-0.53102
GHMT,-0.65983
LPLIPAL2E180,0.01847
EX_h_e,1000.0
MNXR94164,-1000.0
MNXR27856,0.00537
MCITS,0.0
APRAUR,-0.01074
rxn05379_c0,-0.14779
MDHC_nadp_hr,-0.92942
DCYTt2,0.0
ATDGDm,-0.02779
SPMDabc,0.00537
IG3PS,0.13751
EX_nh4_e,6.4308
EX_trp__L_e,-0.08189
rxn08333_c0,-0.01074
MNXR85310,-1000.0
ADSL2r,-0.54074
MICITDr,-0.0
UAGPT3,-0.04339
GART,-0.04835
BCTA_glu_h,999.34874
EX_nmn_e,-0.01074
H2Ot,-18.66992
PSAT,-630.17741
gumBCEJ,0.0
G1PTT,-0.04339
GALT1,-0.04339
MNXR84631,1000.0
PLIPA1E160,-1000.0
Kt1,0.01074
G6PI3,-990.21695
MNXR7594,326.43988
MNXR117163,0.0
MNXR117165,0.0
HMBS,0.01074
MDH,0.0
TMPK,-0.00537
PPBNGS,-0.04298
SHK3Dr,0.49355
FCLT,0.00537
ASPK,-2.7401
UHBZ1t_pp,0.00537
GTPCII2,-0.01074
MNXR79604,-0.79437
CBPS,0.0
MNXR27669,0.14779
MNXR27668,0.14779
MNXR27667,-0.14779
MNXR27665,0.14779
MNXR27664,0.14779
MNXR27663,-0.14779
MNXR27661,0.14779
MNXR27660,0.14779
AUS,0.01074
MNXR94201,1000.0
DHAD1,1.27309
GCCb,0.0
DURIt2,0.0
EDA,0.0
HXAND,0.0
EDD,0.0
UAPGR,0.04339
MNXR71850,1000.0
MNXR28671,-0.07389
HACD9,-0.0
MNXR28672,-0.07389
EX_orn_e,10.0
MMSAD3,-1000.0
PSP,630.17741
rxn05345_c0,-0.17356
MNXR69727,1000.0
PRPPS,-1.04271
DPR,0.01074
DHFR,0.04391
DHFS,-0.01612
HSERTA,-0.79437
ARGDC,-0.00537
MNXR94200,1000.0
FGFTh,-0.49239
GLCpts,-10.0
PIabc,998.60741
GLCTR2,-0.04339
GLCTR3,-0.04339
HEX1,0.0
EX_spmd_e,-0.00537
rxn05367_c0,-0.14779
MG2t,0.00537
MNXR58824,0.17356
MNXR93945,1000.0
PGL,0.0
MNXR93946,-1000.0
ADK2,-0.00537
NAPRT,-0.00537
ADK1,1000.0
HEPT4,-0.04339
HEPT2,-0.04339
HEPT3,-0.04339
GLUPRT,-0.54074
HEPT1,-0.04339
URIDK2m,-0.02779
MNXR93704,1000.0
EX_fe2_e,-0.02149
DHNPA2r,-0.01612
KDOPP,0.13017
KDOPS,0.13017
GMHEPAT,-0.17356
MNXR79878,-0.54074
DHORD5,-0.35908
OCOAT1,0.14779
MNXR578,-0.02149
SADT,-1000.0
ORPT,-0.35908
LPLIPAL1A140pp,-1000.0
ATPPRT,-0.13751
UPP3S,-0.01074
HPYRDC,0.01612
GCC2cm,1.69259
MNXR85270,-1000.0
GMPS2,-0.28957
UAAGDS,-0.04339
MNXR6043,0.00537
PPNDH,-0.26808
MQN7t,0.01074
MNXR2786,-0.17356
FRD7,0.0
TRE6PP,0.0
PGM,385.11002
IPMD,-0.65126
rxn03893_c0,-0.00537
IDPh,1000.0
PGK,-15.28744
EX_dcyt_e,0.0
rxn05392_c0,-0.14779
PGI,1000.0
PRAIS,-0.54074
SPTc,-0.01612
FACOAL140,-0.26034
PGCD,-630.17741
EX_k_e,-0.00537
EX_cu2_e,-0.00537
IMPD,-0.28957
MNXR15867,-0.00537
PIt2r,1000.0
PHETA1,-0.26808
MNXR69352,-1000.0
TPI,-8.0812
ATDAMh,-0.0
ACONTa,1.66422
ACONTb,1.66422
AGDI,-0.00537
MNXR27655,-0.14779
FPPSh,0.04876
AGDC,-993.76243
PRFGS,-0.54074
DAPDC,0.04339
MNXR32524,0.20936
rxn05384_c0,-0.14779
MNXR3495,0.24858
PYK,-1000.0
MNXR69763,-1000.0
ASPCT,0.35908
UHGADA,-0.08678
ADNK1,-0.02149
rxn05363_c0,-0.14779
G12289,0.0
CLtex,0.00537
CYTK2,0.0
DXPS,-0.53102
MNXR55990,-0.04339
MNXR15642,-326.43988
PEPCK,-626.05064
FUM,0.92942
HDCAt2,0.0
HDH,-0.13751
MNXR3312,-1000.0
MNXR60025,-0.00537
UAMAS,-0.04339
MNXR93844,0.0
MNXR93845,0.0
GCL,0.0
ENO,-614.88998
S7PI,-0.17356
MNXR31648,-0.00537
ACPS1,0.00537
NO3R2,0.0
MGC,0.14779
LPLIPAL2E160,-1000.0
GCCc,0.0
G1SAT,0.08595
HACD7,-0.0
G5SADrm,0.0
MNXR67415,0.04339
SHCHF,0.00537
MNXR94249,1000.0
MNXR94248,1000.0
EX_zn2_e,-0.00537
G3PAT140,0.0
FRD2,0.35908
FRD3,-0.01074
MNXR94247,999.98153
MNXR94245,1000.0
ANNAT,-0.01074
UREA,9.56663
rxn05400_c0,-0.14779
ADSS,0.38868
EX_dad_2_e,-0.0
MNXR80557,0.01847
MNXR80794,0.00537
HEPK2,-0.04339
HEPK1,-0.04339
PFK_adp,-2.53318
MNXR5314,0.04339
NMNTP,0.01074
UAGAAT,0.08678
THD2,-668.19534
MNXR93798,1000.0
MCITL2,0.0
FRD,0.36983
DB4PS,0.02149
HISTP,-0.13751
GLYCK,-1000.0
TMDS,0.02779
AMPTASECG,0.00537
IGPDH,0.13751
GLYCL,-0.80868
PYDXS,0.00537
AKGDHe2r,0.0
GLUK_syn,0.0
EX_protein_e,-1.73489
ASP1DC,-4.84724
GALUi,-0.17356
MNXR15262,1000.0
COALDDH,1000.0
MNXR28716,-0.05542
PGAMT,993.93599
MNXR27671,0.14779
MNXR27672,-0.14779
MNXR27673,0.14779
MNXR27675,0.14779
MNXR27676,-0.14779
MNXR27677,0.14779
MNXR27679,0.14779
DXPRIi,-0.53102
PPPGO,-0.00269
MNXR160,-1000.0
MNXR2929,0.0
URFGTT,0.00537
CYS,629.39404
MN2t3pp,0.00537
MNXR113144,0.0
MNXR113143,0.0
MNXR113142,0.0
MNXR28662,-0.07389
MNXR28663,-0.07389
NDPK8,-1000.0
NDPK9,-1000.0
MNXR4313,-1000.0
NDPK2,-0.67841
NDPK3,0.8104
CYTBO3,0.0
NDPK7,-0.02779
NDPK4,-999.92344
SUCD4,0.0
ACACT7m,0.0
MNXR94217,-1000.0
MNXR94219,-999.98153
MNXR1587,-0.01612
MNXR79704,-0.56728
rxn05404_c0,-0.14779
G3PD1,-2.90639
DTMPK,-0.02779
RBK,0.0
SO4t2,0.38069
MNXR70375,0.0
PFK_3,-5.88054
SADT2,999.62468
ZN2t4pp,-0.00537
EX_o2_e,-0.02955
CYSDS,-629.01872
MCITD,-0.0
MNXR81103,0.01074
MAN1PT2,0.0
MOAT3C,-0.04339
SHCHD2,-0.00537
MNXR4403,-0.20936
MNXR94325,999.99463
PPRGL,-0.54074
TRPt2m,0.08189
MCS,-0.53102
MECDPDH2,0.53102
TDPDRR,0.04339
AKGDH,0.0
MOAT2,0.04339
DMORh,-998.72691
PRACHh,-0.13751
G5DHx,0.43337
UPPDC1,-0.00537
MNXR55674,0.04339
AACOAR_syn,-1000.0
DHQTi,-0.49355
HSK,-1.94573
IPDPS,0.48226
MNXR85363,0.00537
EX_co2_e,12.88534
ACOTA,0.0
RBFSb,0.01074
DAAD,3.3367
GPAR,0.0
THRS,1.94573
MNXR80309,0.14779
MNXR80308,0.14779
GAPD,-15.28744
ASNS1,-0.34842
rxn06723_c0,-0.08678
ORNTA,-0.43337
MNXR94192,-0.04339
MPPM,0.0
EX_ttdca_e,-0.26034
PRADPh,-0.13751
R01465m,-1.57954
EX_ca2_e,-0.00537
PSCIT,0.49355
KDOCT,-0.13017
DLDLBT,-0.02149
APPAT,-0.01074
DHQS,0.49355
ACGS,0.0
rxn05371_c0,-0.14779
ACGK,0.0
FBA3,5.88054
GK1,-999.67726
MALT,0.0
GK2,999.97221
EX_thmmp_e,-0.00537
FE2abc,0.02149
PPTTm,-0.00537
MNXR6494,1000.0
G12296,0.0
G12290,0.0
PSSA161,-0.01847
MNXR27648,0.14779
FACOAE160,0.0
MNXR27640,0.14779
MNXR27643,0.14779
MNXR27642,-0.14779
MNXR27644,0.14779
MNXR27647,-0.14779
MNXR27646,0.14779
EX_pi_e,-1.39259
OMPDC,-0.35908
EX_glc__D_e,-10.0
ECOAH7,0.0
DMPPS,0.04876
MNXR27638,-0.14779
MNXR27639,0.14779
MNXR27634,-0.14779
MNXR27635,0.14779
MNXR27636,0.14779
MNXR28690,0.01847
MNXR69337,1000.0
NADK,-1000.0
PNTK,-0.01074
EX_cobalt2_e,-0.00537
MNXR94221,-1000.0
MNXR94220,-1000.0
CU2abcpp,-0.00537
MNXR94222,-1000.0
MNXR94225,-1000.0
MNXR94224,-1000.0
MNXR94227,1000.0
MNXR94226,-1000.0
GUAD,-1000.0
MNXR93715,-1000.0
A5PISO,-0.13017
CTPS2,0.0
G3PD,-3.23891
EX_mg2_e,-0.00537
MNXR2062,1000.0
UMPK,-0.44586
MNXR80406,-1000.0
MNXR93698,-0.56728
MNXR80400,999.98153
MNXR94259,-1000.0
MNXR80403,-1000.0
MNXR94254,1000.0
MNXR94255,-1000.0
MNXR94256,-1000.0
MNXR94250,-1000.0
TTDCAt2,0.26034
ADOCBIK,999.99463
MNXR94253,1000.0
PPCDC,-0.01074
rxn05359_c0,-0.14779
EX_DNA_e,-1.73489
EX_dgsn_e,0.0
TDPGDH,0.04339
CS,-1.66422
ACAS_2ahbut,-0.56728
EX_duri_e,0.0
MNXR53357,-0.14779
rxn05375_c0,-0.14779
FACOAE180,0.0
MNXR53358,-0.14779
ASNN,0.0
PLIPA1A140pp,-1000.0
DADNt2,0.0
GALh,-2.43213
TDSK,0.04339
MNXR80058,-0.14779
NH4t,-6.4308
INSH,0.0
DURIK1,-0.0
MNXR79883,0.01074
DHORTS,0.35908
OF_Biomass_Synthesis,0.0
ATGDm,627.08179
PPS,0.0
GPDDA4,0.05542
MNXR35657,-1.66422
GMP5N,0.0
NADTRHD,-1000.0
IPPS,-0.65126
TALA,-6.23164
MCCC,0.14779
ASPATh,-9.57269
MTHFO_nadp,-999.74605
