Gene_ID	P1S3	S2S3	P1V2	S2V2	Mean_S	Mean_V
fig|1185660.4.peg.487	37	22	34	26	29,5	30
fig|1185660.4.peg.2245	74	84	82	64	79	73
fig|1185660.4.peg.1647	344	443	325	272	393,5	298,5
fig|1185660.4.peg.511	339	252	391	266	295,5	328,5
fig|1185660.4.peg.256	36	49	116	216	42,5	166
fig|1185660.4.peg.1419	115	52	140	66	83,5	103
fig|1185660.4.peg.242	8	8	10	10	8	10
fig|1185660.4.peg.241	12	15	12	12	13,5	12
fig|1185660.4.peg.1155	16	10	16	51	13	33,5
fig|1185660.4.peg.3912	480	215	918	942	347,5	930
fig|1185660.4.peg.1144	10875	6933	29152	24142	8904	26647
fig|1185660.4.peg.329	2	3	4	7	2,5	5,5
fig|1185660.4.peg.4009	62	72	184	305	67	244,5
fig|1185660.4.peg.966	104	93	173	151	98,5	162
fig|1185660.4.peg.306	24	18	16	19	21	17,5
fig|1185660.4.peg.3265	455	336	669	499	395,5	584
fig|1185660.4.peg.2526	5	8	14	24	6,5	19
fig|1185660.4.peg.937	1518	1309	2251	1317	1413,5	1784
fig|1185660.4.peg.936	24	18	22	29	21	25,5
fig|1185660.4.peg.2719	12	12	16	21	12	18,5
fig|1185660.4.peg.1786	314	289	311	264	301,5	287,5
fig|1185660.4.peg.3324	400	243	339	237	321,5	288
fig|1185660.4.peg.630	77	86	78	52	81,5	65
fig|1185660.4.peg.3518	11	8	12	28	9,5	20
fig|1185660.4.peg.3412	24	20	25	49	22	37
fig|1185660.4.peg.3765	196	302	178	139	249	158,5
fig|1185660.4.peg.1822	101	35	76	93	68	84,5
fig|1185660.4.peg.1822	3	5	4	5	4	4,5
fig|1185660.4.peg.1822	85	67	76	72	76	74
fig|1185660.4.peg.2057	101	35	76	93	68	84,5
fig|1185660.4.peg.2057	3	5	4	5	4	4,5
fig|1185660.4.peg.2057	85	67	76	72	76	74
fig|1185660.4.peg.184	50	21	35	43	35,5	39
fig|1185660.4.peg.3774	56	22	36	36	39	36
fig|1185660.4.peg.893	153	114	235	197	133,5	216
fig|1185660.4.peg.858	12	11	10	11	11,5	10,5
fig|1185660.4.peg.1599	13	18	24	18	15,5	21
fig|1185660.4.peg.3257	90	70	71	68	80	69,5
fig|1185660.4.peg.3792	263	240	232	170	251,5	201
fig|1185660.4.peg.4204	85	64	91	99	74,5	95
fig|1185660.4.peg.3340	94	67	111	98	80,5	104,5
fig|1185660.4.peg.1480	264	252	230	177	258	203,5
fig|1185660.4.peg.1110	164	286	134	97	225	115,5
fig|1185660.4.peg.2887	333	297	249	198	315	223,5
fig|1185660.4.peg.2990	56	49	30	36	52,5	33
fig|1185660.4.peg.2042	150	145	258	200	147,5	229
fig|1185660.4.peg.513	606	458	871	593	532	732
fig|1185660.4.peg.3401	4	4	6	6	4	6
fig|1185660.4.peg.3400	3	5	4	6	4	5
fig|1185660.4.peg.3399	3	5	4	3	4	3,5
fig|1185660.4.peg.2357	60	76	80	60	68	70
fig|1185660.4.peg.4138	35	27	31	23	31	27
fig|1185660.4.peg.752	5	3	27	37	4	32
fig|1185660.4.peg.753	9	9	20	26	9	23
fig|1185660.4.peg.468	166	323	237	100	244,5	168,5
fig|1185660.4.peg.1308	16	14	18	14	15	16
fig|1185660.4.peg.3662	116	104	78	73	110	75,5
fig|1185660.4.peg.1115	28	16	30	26	22	28
fig|1185660.4.peg.1111	77	96	57	52	86,5	54,5
fig|1185660.4.peg.3387	19	35	20	21	27	20,5
fig|1185660.4.peg.2483	16	12	74	100	14	87
fig|1185660.4.peg.2483	29	25	35	29	27	32
fig|1185660.4.peg.3831	16	12	74	100	14	87
fig|1185660.4.peg.3831	29	25	35	29	27	32
fig|1185660.4.peg.4100	25	18	64	86	21,5	75
fig|1185660.4.peg.2650	110	144	110	64	127	87
fig|1185660.4.peg.54	117	107	139	116	112	127,5
fig|1185660.4.peg.1462	146	92	121	106	119	113,5
fig|1185660.4.peg.1908	353	295	349	397	324	373
fig|1185660.4.peg.1910	246	201	242	232	223,5	237
fig|1185660.4.peg.2026	80	40	91	91	60	91
fig|1185660.4.peg.749	22	14	36	37	18	36,5
fig|1185660.4.peg.1980	41	21	37	34	31	35,5
fig|1185660.4.peg.1981	46	35	48	38	40,5	43
fig|1185660.4.peg.1982	25	19	39	29	22	34
fig|1185660.4.peg.1718	10	5	11	14	7,5	12,5
fig|1185660.4.peg.1983	67	59	87	71	63	79
fig|1185660.4.peg.1717	3	3	4	5	3	4,5
fig|1185660.4.peg.1984	20	13	20	28	16,5	24
fig|1185660.4.peg.1715	7	6	6	6	6,5	6
fig|1185660.4.peg.1986	16	16	37	51	16	44
fig|1185660.4.peg.1833	217	74	164	132	145,5	148
fig|1185660.4.peg.3337	0	0	0	0	0	0
fig|1185660.4.peg.3337	0	0	0	0	0	0
fig|1185660.4.peg.3337	77	84	89	62	80,5	75,5
fig|1185660.4.peg.1613	36	43	51	42	39,5	46,5
fig|1185660.4.peg.1955	3	3	71	15	3	43
fig|1185660.4.peg.1955	4	10	282	37	7	159,5
fig|1185660.4.peg.1955	4	8	246	30	6	138
fig|1185660.4.peg.1955	5	9	200	33	7	116,5
fig|1185660.4.peg.3087	3	3	71	15	3	43
fig|1185660.4.peg.3087	4	10	282	37	7	159,5
fig|1185660.4.peg.3087	4	8	246	30	6	138
fig|1185660.4.peg.3087	5	9	200	33	7	116,5
fig|1185660.4.peg.4583	3	3	71	15	3	43
fig|1185660.4.peg.4583	4	10	282	37	7	159,5
fig|1185660.4.peg.4583	4	8	246	30	6	138
fig|1185660.4.peg.4583	5	9	200	33	7	116,5
fig|1185660.4.peg.1931	3	4	33	12	3,5	22,5
fig|1185660.4.peg.1931	8	7	52	63	7,5	57,5
fig|1185660.4.peg.1931	8	8	28	14	8	21
fig|1185660.4.peg.3092	3	4	33	12	3,5	22,5
fig|1185660.4.peg.3092	8	7	52	63	7,5	57,5
fig|1185660.4.peg.3092	8	8	28	14	8	21
fig|1185660.4.peg.4555	3	4	33	12	3,5	22,5
fig|1185660.4.peg.4555	8	7	52	63	7,5	57,5
fig|1185660.4.peg.4555	8	8	28	14	8	21
fig|1185660.4.peg.1932	4	6	67	15	5	41
fig|1185660.4.peg.1933	19	10	107	70	14,5	88,5
fig|1185660.4.peg.1933	3	2	122	16	2,5	69
fig|1185660.4.peg.1933	4	5	23	10	4,5	16,5
fig|1185660.4.peg.1933	92	83	125	102	87,5	113,5
fig|1185660.4.peg.3091	19	10	107	70	14,5	88,5
fig|1185660.4.peg.3091	3	2	122	16	2,5	69
fig|1185660.4.peg.3091	4	5	23	10	4,5	16,5
fig|1185660.4.peg.3091	92	83	125	102	87,5	113,5
fig|1185660.4.peg.3527	19	10	107	70	14,5	88,5
fig|1185660.4.peg.3527	3	2	122	16	2,5	69
