Reaction	Void	rpfCGH
10FTHFGLULL	-1	-1
2DHPFALDL	0	0
2HBO	0	0
2OH3K5MPPISO	0	0
34DHOXPEGOX	0	0
34HPPOR	1	1
3HAO	0	0
3HBCOAHL	0	-1
3HLYTCL	-1	-1
3OAR100	1	1
3OAR120	1	1
3OAR40_1	1	1
3OAR60	1	1
3OAR80	1	1
3OAS80	-1	-1
4ABUTD	-1	-1
4CMLCL_kt	0	0
4HTHRS	0	0
56DH5FLURAAMH	0	0
5FLURAPRT	0	1
5HLTDL	-1	-1
5HXKYNDCL	-1	-1
A5PISO	-1	0
AACOAR_syn	0	0
AACOAT	-1	-1
AASPh	-1	-1
ABUTD	0	0
ACACT1	0	0
ACACT10m	0	0
ACACT2	0	0
ACACT3	0	0
ACACT4m	0	0
ACACT5m	0	0
ACACT6m	0	0
ACACT7m	0	0
ACALDt	-1	-1
ACAS_2ahbut	0	-1
ACBIPGT	-1	-1
ACCOAC	0	-1
ACCOAC_1	-1	-1
ACCOAL	-1	-1
ACGApts	-1	-1
ACGK	0	0
ACGS	0	0
ACOA40OR	0	-1
ACOAD1	0	0
ACOAD10m	0	-1
ACOAD2	-1	-1
ACOAD3	-1	-1
ACOAD4	-1	-1
ACOAD5	-1	-1
ACOAD6	-1	-1
ACOAD7	-1	-1
ACOAD8m	0	-1
ACOAD9m	0	-1
ACOADH2	0	0
ACOATA	-1	-1
ACODA	0	0
ACONTa	0	0
ACONTb	0	0
ACOTA	1	1
ACPh	0	-1
ACPS1	-1	-1
ACS	-1	-1
ACt4pp	-1	-1
ACYP_2	0	-1
ADA	-1	-1
ADCL	0	0
ADCS	0	0
ADCYRS	-1	-1
ADECn	-1	-1
ADK1	1	0
ADK2	1	-1
ADMDC	1	1
ADNK1	0	0
ADNt2	0	0
ADNUC	1	0
ADOCBIK	-1	-1
ADOCBLS	0	-1
ADPRDP	0	1
ADPT	0	-1
ADSL1r	0	0
ADSL2r	0	0
ADSS	1	1
AFAT	-1	-1
AGDC	0	0
AGDI	1	1
AGGPR	0	0
AGMHE	-1	-1
AGPAT120	0	0
AGPAT140	0	0
AGPAT141	0	0
AGPAT160	0	0
AGPAT161	0	0
AGPAT180	0	0
AGPAT181	0	0
AGTi	-1	-1
AICART	0	0
AIRCr	0	0
AKGDH	1	1
AKGDHe2r	1	1
AKGt2r	-1	-1
AKP1	-1	-1
ALAALAr	-1	-1
ALAR	0	1
ALCD19	0	0
ALCD2ir	0	0
ALDD22x	-1	-1
ALDD2x	-1	-1
ALDD31	-1	-1
ALKP	-1	-1
AM6PTh	0	0
AMAOTr	0	0
AMID	1	1
AMID2	1	1
AMID3	1	1
AMID4	1	1
AMID5	1	1
AMMQT8_2	0	1
AMPTASECG	1	1
ANNAT	0	1
ANS	0	0
ANS2	0	0
AOOA	-1	-1
AOXHEXCYCL	-1	-1
AOXSr	0	0
APAPTm	0	0
APATr	0	-1
APLh	0	-1
APPAT	0	-1
APRAUR	-1	-1
APSR	-1	-1
ARBTptspp	-1	-1
ARD_1	0	1
ARGDC	0	-1
ARGN	0	-1
ARGORNt7	-1	-1
ARGSL	0	0
ARGSS	0	0
ASAD	0	0
ASNN	1	1
ASNS1	0	0
ASP1DC	1	1
ASPATh	1	1
ASPCT	0	0
ASPK	0	0
ASPt2_2	0	-1
ATDAMh	1	0
ATDGDm	1	-1
ATGDm	1	-1
ATPM	-1	-1
ATPPRT	-1	-1
ATPS4r	-1	-1
AUS	-1	-1
BACCL	0	0
BCTA_glu_h	0	0
BCTA_val_h	0	0
BDH	0	0
BETALDHx	-1	-1
BETALDHy	-1	-1
Biomass	-1	-1
BPNT	0	0
BTNC	0	-1
BTND1	0	0
BTS4	-1	-1
CA2t3pp	-1	-1
CAT	1	0
CBIAT	-1	0
CBL1abc	-1	-1
CBPS	1	0
CD2t4pp	0	0
CDPGLC46DH	0	0
CDPMEK	1	1
CHLt2	-1	-1
CHOLD	0	0
CHORM	0	0
CHORS	0	0
CITMCOAHm	-1	-1
CITt2r	0	-1
CLtex	-1	-1
CMPA	1	1
CMS	-1	-1
CO2t	-1	-1
COALDDH	0	0
COBALT2tex	0	0
CPPPGO	0	0
CPS	1	1
CS	1	1
CSND	0	0
CTPS1	1	1
CTPS2	1	1
CU2abcpp	-1	-1
CYARTMT	0	0
CYOO2pp	0	0
CYRDAAT	-1	0
CYS	-1	-1
CYSDS	1	1
CYSS	0	0
CYSS_trdrd	0	0
CYTBD2pp	1	1
CYTBO3	1	1
CYTD	0	0
CYTDt2	0	0
CYTK1	1	-1
CYTK2	1	-1
DAAD	0	1
DADA	-1	-1
DADNt2	-1	-1
DAGK160	0	-1
DALAt2pp	0	0
DAPDA	0	0
DAPDC	0	0
DAPE	1	1
DASYN120	-1	-1
DASYN140	-1	-1
DASYN141	-1	-1
DASYN160	-1	-1
DASYN161	-1	-1
DASYN180	-1	-1
DASYN181	-1	-1
DB4PS	-1	0
DBTS	0	0
DCTPD	0	0
DCTPD2	0	0
DCYTD	0	0
DCYTt2	0	0
DDGALK	0	-1
DDGLCNt2r	-1	-1
DDGLK	-1	0
DDPA	-1	-1
DDPGA	0	-1
DDPGALA	0	0
DGC3D	0	0
DGK1	1	1
DGSNt2	0	0
DHAD1	-1	-1
DHCIND	-1	-1
DHFR	0	0
DHFS	-1	-1
DHNPA2r	0	0
DHORD2	-1	-1
DHORD5	-1	-1
DHORTS	0	1
DHPD	0	0
DHPM2	0	0
DHPPD	-1	-1
DHPPDA2	-1	-1
DHPS2	0	0
DHQS	0	0
DHQTi	-1	-1
DHRT_ivcoa	0	-1
DINSt2	0	0
DLDLBT	1	1
DMATT	-1	-1
DMORh	0	0
DMPH	0	0
DMPPS	1	1
DMPPS_syn	1	1
DMTPHT	0	1
DNGALh	0	0
DPCOAK	0	0
DPR	0	0
DSERt2	0	0
DTMPK	0	0
DURIK1	0	0
DURIt2	0	0
DUTPDP	0	0
DXPRIi	0	0
DXPS	1	1
E4PD	1	-1
EAR100y	-1	-1
EAR120y	-1	-1
EAR140y	-1	-1
EAR40y	-1	-1
EAR60y	-1	-1
EAR80y	-1	-1
ECOAH1	0	0
ECOAH12	0	0
ECOAH3	0	0
ECOAH4	0	0
ECOAH5	0	0
ECOAH6	0	0
ECOAH7	0	0
ECOAH9ir	0	0
EDA	0	-1
EDD	0	0
EDTXS1	0	0
EDTXS2	-1	-1
ENO	1	1
ETHAAL	0	0
ETHAt2pp	-1	-1
ETOHti	-1	-1
EX_2ddglcn_e	-1	-1
EX_4hbz_e	-1	-1
EX_ac_e	-1	-1
EX_acald_e	-1	-1
EX_acgam_e	-1	-1
EX_adn_e	-1	-1
EX_akg_e	-1	-1
EX_ala__D_e	-1	-1
EX_arab__L_e	-1	-1
EX_arbt_e	-1	-1
EX_arg__L_e	-1	-1
EX_ASPt5n_e	-1	-1
EX_Biomass_e	-1	-1
EX_ca2_e	-1	-1
EX_cbl1_e	-1	-1
EX_cd2_e	-1	-1
EX_chol_e	-1	-1
EX_cit_e	-1	-1
EX_cl_e	-1	-1
EX_co2_e	-1	-1
EX_cobalt2_e	-1	-1
EX_cu2_e	-1	-1
EX_cytd_e	-1	-1
EX_dad_2_e	-1	-1
EX_dcyt_e	-1	-1
EX_dgsn_e	-1	-1
EX_din_e	-1	-1
EX_DNA_e	-1	-1
EX_duri_e	-1	-1
EX_etha_e	-1	-1
EX_etoh_e	-1	-1
EX_fe2_e	-1	-1
EX_fe3_e	-1	-1
EX_for_e	-1	-1
EX_fru_e	-1	-1
EX_fum_e	-1	-1
EX_galt_e	-1	-1
EX_galur_e	-1	-1
EX_gam_e	-1	-1
EX_glc__D_e	-1	-1
EX_glcur_e	-1	-1
EX_gln__L_e	-1	-1
EX_glu__L_e	-1	-1
EX_gly_e	-1	-1
EX_glyb_e	-1	-1
EX_glyc_e	-1	-1
EX_glycogen_e	-1	-1
EX_h_e	-1	-1
EX_h2o_e	-1	-1
EX_hdca_e	-1	-1
EX_hxan_e	-1	-1
EX_ins_e	-1	-1
EX_k_e	-1	-1
EX_lys__L_e	-1	-1
EX_mal__L_e	-1	-1
EX_malt_e	-1	-1
EX_man_e	-1	-1
EX_met__D_e	-1	-1
EX_met__L_e	-1	-1
EX_metox__R_e	-1	-1
EX_metsox_S__L_e	-1	-1
EX_mg2_e	-1	-1
EX_mn2_e	-1	-1
EX_mqn7_e	-1	-1
EX_na1_e	-1	-1
EX_nh4_e	-1	-1
EX_nmn_e	-1	-1
EX_no2_e	-1	-1
EX_no3_e	-1	-1
EX_o2_e	-1	-1
EX_ocdca_e	-1	-1
EX_orn_e	-1	-1
EX_pi_e	-1	-1
EX_ppi_e	-1	-1
EX_pro__L_e	-1	-1
EX_protein_e	-1	-1
EX_ptrc_e	-1	-1
EX_pyr_e	-1	-1
EX_q8_e	-1	-1
EX_q8h2_e	-1	-1
EX_rna_c0	-1	-1
EX_salcn_e	-1	-1
EX_sbt__D_e	-1	-1
EX_ser__D_e	-1	-1
EX_ser__L_e	-1	-1
EX_so4_e	-1	-1
EX_spmd_e	-1	-1
EX_succ_e	-1	-1
EX_sucr_e	-1	-1
EX_taur_e	-1	-1
EX_thmmp_e	-1	-1
EX_thymd_e	-1	-1
EX_tre_e	-1	-1
EX_trp__L_e	-1	-1
EX_tsul_e	-1	-1
EX_ttdca_e	-1	-1
EX_uri_e	-1	-1
EX_xyl__D_e	-1	-1
EX_zn2_e	-1	-1
FA100ACPHi	0	0
FA80ACPHi	0	0
FACOAE160	1	1
FACOAE180	1	1
FACOAE1836Z9Z12Z	1	1
FACOAL140	0	0
FACOAL160	0	0
FACOAL180	0	0
FAS140ACPm	-1	-1
FBA	1	-1
FBA3	1	-1
FBP	1	0
FCLT	0	0
FDH	0	-1
FE2abc	0	0
FE3abc	-1	-1
FERO	1	-1
FGFTh	-1	-1
FGLU	0	0
FK	-1	-1
FLVRx	0	0
FMNRx	-1	1
FOLR2	0	0
FOMETRi	-1	-1
FORti	-1	-1
FPGFTh	-1	-1
FPGS_tm	-1	-1
FPPSh	0	1
FRD	1	-1
FRD2	1	1
FRD3	1	1
FRD7	1	1
FRTT	0	1
FRUK	-1	-1
FRUpts	-1	-1
FT	1	1
FTCL	0	0
FTHFD	-1	0
FUM	0	0
FUMt2r	0	-1
G1PACT	0	0
G1PTT	1	1
G1SAT	0	0
G3PAT120	0	0
G3PAT140	0	0
G3PAT141	0	0
G3PAT160	0	0
G3PAT160_1	0	0
G3PAT161	0	0
G3PAT180	0	0
G3PAT181	0	0
G3PD	0	-1
G3PD1	1	1
G3PD5	0	-1
G3PD6	0	-1
G3PD7	0	-1
G3PL	0	0
G5DHx	-1	0
G5SADrm	-1	-1
G6PBDH	0	0
G6PDA	0	0
G6PDH2r	0	0
G6PI	0	0
G6PI3	0	0
GALCTD	1	1
GALCTND	-1	-1
GALh	0	0
GALM1	0	-1
GALT1	-1	-1
GALTpts	-1	-1
GALUi	1	-1
GAM	0	0
GAMpts	-1	-1
GAPD	1	-1
