GenID	rpfCGH_mean	Void_mean	theta	prob	log2FC
CcmD	62	311.5	-1.92732577074658	0.999976687968442	-2.32889204263713
MFS_transporter	3	11.5	-0.837341155515413	0.989344310160076	-1.93859945533586
PhoX	9.5	10.5	-0.077163278836644	0.544445460872744	-0.144389909335175
PqqC	4	21	-0.867917135629477	0.98411020790122	-2.39231742277876
RibB	602.5	637.5	-0.0597909872819559	0.418141458217249	-0.0814641006288964
RibD	135	145.5	-0.0821510534709253	0.576557542301595	-0.108059745857453
XopE1	25.5	22	0.0829429674053028	0.518630423022515	0.212993723334198
accC1_	13.5	46	-0.770890858066863	0.983909383503818	-1.76867445389354
accD1	25.5	74.5	-0.756484835183089	0.981932710737501	-1.54674317849067
accD_	284.5	257.5	0.128292222333242	0.715040191956709	0.143856220236001
aceE	553.5	518.5	0.149917468537628	0.765822194309167	0.0942393279683265
acsA_	72	228.5	-0.889873231081748	0.984136153848513	-1.66612535361576
baeR	21.5	20.5	0.0404101966220158	0.168739701258407	0.0687127500840143
bfeA	22.5	29	-0.167989656533553	0.838965069966778	-0.366127898797897
catB	4.5	20	-0.985043100133439	0.994233019035759	-2.15200309344505
cbpA	218.5	272.5	-0.3191953217446	0.923988179980621	-0.31862295016369
ccmC1	8	10.5	-0.214474594839433	0.888673859450384	-0.39231742277876
cdsA_	85	106	-0.208936846570769	0.883959545308803	-0.318529518425497
coIR	14	302.5	-2.67763446974853	1	-4.43343641010435
cobD	29	30	-0.0251177329783938	0.128406574302558	-0.0489096004809464
dksA	744	864.5	-0.240334175621415	0.901127625669113	-0.21656334253425
dnaX	78	99.5	-0.2714757152194	0.904074238828354	-0.351222401681401
estA1_	6	12	-0.439732007651904	0.956958988133376	-1
fabA_	40.5	45.5	-0.0951789892019993	0.649452938161665	-0.167944637314072
fabB_	41.5	40	0.0266036505792213	0.071085422114143	0.0531113364595625
fabG	82	730	-1.42917195162321	0.998619101193104	-3.1542006491493
fabG2_	17	80	-0.838950088132967	0.98919366837174	-2.23446525363702
fabG3_	61	114	-0.509215106524734	0.96679897492245	-0.902152676601855
fabH1	286	356	-0.240483333496409	0.901150575948126	-0.315862094188008
fabH3_	135.5	640	-1.08580674021222	0.995748439464622	-2.23977905353349
fabH4	10	13.5	-0.133530307912877	0.77930530349861	-0.432959407276106
fabH_	664.5	1358	-1.09069254454515	0.995776383147253	-1.03114237496856
fadB2_	95	169	-0.411794326421344	0.950221284006937	-0.831023827951237
1185660.4.peg.10	38.5	42	-0.0661940878128888	0.467085633669717	-0.125530882083859
1185660.4.peg.100	107	174.5	-0.509164767420644	0.966791718562146	-0.705616239808505
1185660.4.peg.1000	3263.5	5893.5	-1.04354763928767	0.996737402738525	-0.85270462921581
1185660.4.peg.1001	4092.5	8348.5	-1.07103942840328	0.995984000414031	-1.02853459083221
1185660.4.peg.1002	3066	14757.5	-1.5917338293364	0.999866464599886	-2.26701873967615
1185660.4.peg.1003	2725	4236.5	-0.675675405250771	0.979802814219298	-0.636616639174243
1185660.4.peg.1004	4643	16867.5	-1.8354206333397	0.999669616645301	-1.86111697581967
