Reaction,Flux
CSND,0.0
MNXR8691,0.0
NTD10,0.0
NTD11,0.0
GLYBabc,0.0
XTSNH,0.28957
DDPA,-0.49355
P5CD,0.31984
P5CR,-1000.0
GLUTRR,-0.08595
GLUTRS,-0.08595
MG2t,0.00537
KARI_23dhmp,0.56728
ACALDt,0.0
CO2t,-12.88534
MNXR3469,0.0
KARI_23dhmb,998.72691
GUDBUTNAH,-9.57201
PANTS,-0.01074
E4PD,0.0
PLIPA2A180pp,0.0
MNXR87148,0.17356
TDPGDH,0.04339
CYTDt2,0.0
MNXR8073,0.0
CYOO2pp,0.0
GAPDH_nadp_hi,1000.0
rxn05379_c0,-0.14779
MNXR2826,-0.0
ADSL2r,-0.54074
UAGPT3,-0.04339
UAGPT2,0.0
GART,-0.04835
EX_hxan_e,0.0
DHCIND,0.0
CDPGLC46DH,0.0
MNXR63968,0.0
MNXR63969,0.0
MNXR63965,0.0
MNXR63966,0.0
FTCL,0.0
DHPM2,0.0
AOXSr,0.0
PLIPA1E160,1000.0
THMDt2,0.0
FGLU,0.0
MNXR70958,0.0
MNXR8203,0.0
PYRt2,0.0
MNXR6834,0.0
TMPK,-0.00537
FCLT,0.00537
FORti,0.0
UHBZ1t_pp,0.00537
MNXR79604,-0.22709
MNXR27669,0.14779
MNXR27668,0.14779
MNXR27667,-0.14779
MNXR27665,0.14779
MNXR27664,0.14779
MNXR27663,-0.14779
MNXR27661,0.14779
MNXR27660,0.14779
MNXR17649,0.0
MNXR93698,0.0
GALM1,0.0
EDD,0.0
FRUK,0.0
MNXR67415,0.04339
MNXR94017,0.0
PRPPS,-1.33228
DPR,0.01074
EX_tre_e,0.0
FERO,0.0
MNXR79735,0.0
GLCpts,-10.0
PIabc,998.60741
SUCRt2,0.0
FTHFD,0.0
EX_spmd_e,-0.00537
AGPAT120,0.0
MNXR93945,-345.52441
MNXR93946,345.52441
MNXR94249,1000.0
RDH1,0.0
GLUPRT,-0.54074
MNXR84794,0.0
MNXR74388,0.0
PEPCK,0.0
GLYCDH_1,981.92347
KDOPS,0.13017
DHORD2,-0.35908
DHORD5,0.0
METDabc,0.0
EX_etha_e,0.0
FRD2,0.0
GMPS2,0.0
L_LACDcm,0.0
MNXR6043,0.00537
MNXR2786,-0.17356
MNXR69161,0.0
FACOAE1836Z9Z12Z,0.0
MANpts,0.0
TAUDO,-0.0
MNXR85205,0.0
MNXR29607,0.0
MNXR29606,0.0
PIt2r,1000.0
MNXR29604,0.0
TMDS,0.02779
DDGLK,0.0
HIUH,0.0
MNXR6555,0.0
SERt2m,-0.0
ACONTa,987.53548
ACONTb,987.53548
PRFGS,-0.54074
MTRI,0.0
MNXR3495,0.24858
MNXR69763,-1000.0
MNXR7792,0.0
ADNK1,0.26808
CLtex,0.00537
3OAR60,0.0
DXPS,-0.53102
MNXR15641,0.0
MNXR15642,1000.0
PPOR,0.0
ADCYRS,0.0
DBTS,0.0
EAR120y,0.0
PC8XM,0.0
MNXR92341,0.0
GCL,0.0
ECOAH12,0.0
S7PI,-0.17356
LPLIPAL2E160,1000.0
CBL1abc,0.0
G5SADrm,0.0
SHCHF,0.00537
MNXR8926,0.0
PLIPA2A141pp,0.0
UPP3S,-0.01074
ANNAT,-0.01074
EX_for_e,0.0
rxn05400_c0,-0.14779
TSULabc,0.0
NMNHYD,0.0
IGPS,0.0
PSP_D,0.0
PYDXK,0.0
MNXR17265,0.0
MNXR17268,0.0
PYDXS,0.00537
MCITL2,0.0
MNXR71149,0.0
MNXR71411,0.0
CYSDS,0.0
MNXR5314,0.04339
EX_protein_e,-1.73489
ORNTA,-0.43337
MNXR28719,0.0
COALDDH,1000.0
rxn05336_c0,0.0
MNXR27671,0.14779
MNXR27672,-0.14779
MNXR27673,0.14779
MNXR74717,0.0
MNXR27675,0.14779
MNXR27676,-0.14779
MNXR27677,0.14779
MNXR27679,0.14779
DXPRIi,-0.53102
MNXR160,-1000.0
MNXR59886,0.0
CYS,0.37532
MNXR8303,0.0
POX,0.0
MNXR28654,0.0
MNXR4313,-1000.0
EX_galt_e,0.0
MNXR27704,0.0
MNXR28653,0.0
MNXR27706,0.0
rxn09988_c0,0.0
MNXR27700,0.0
MNXR27702,0.0
ACOAD3,0.0
