ID	Name	Equation	Definition	Genes
rxn02201_c0	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0	(1) cpd00443[c0] + (1) cpd02920[c0] => (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00683[c0]	(1) ABEE[c0] + (1) 2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate[c0] => (1) PPi[c0] + (1) H+[c0] + (1) Dihydropteroate[c0]	fig|1185660.4.peg.1775
rxn00351_c0	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)_c0	(1) cpd00002[c0] + (1) cpd00033[c0] + (1) cpd00506[c0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00042[c0] + (1) cpd00067[c0]	(1) ATP[c0] + (1) Glycine[c0] + (1) gamma-Glutamylcysteine[c0] => (1) ADP[c0] + (1) Phosphate[c0] + (1) GSH[c0] + (1) H+[c0]	fig|1185660.4.peg.2826
rxn07431_c0	R07600_c0	(1) cpd00213[c0] + (1) cpd14700[c0] <=> (1) cpd00056[c0] + (1) cpd02700[c0]	(1) Lipoamide[c0] + (1) 2-Methyl-1-hydroxypropyl-TPP[c0] <=> (1) TPP[c0] + (1) S-(2-Methylpropionyl)-dihydrolipoamide[c0]	(fig|1185660.4.peg.414 and fig|1185660.4.peg.415)
rxn00836_c0	IMP:diphosphate phospho-D-ribosyltransferase_c0	(1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00114[c0] <= (1) cpd00103[c0] + (1) cpd00226[c0]	(1) PPi[c0] + (1) H+[c0] + (1) IMP[c0] <= (1) PRPP[c0] + (1) HYXN[c0]	fig|1185660.4.peg.1567
rxn08180_c0	Biotin synthase_c0	(1) cpd00017[c0] + (1) cpd00074[c0] + (1) cpd01311[c0] => (1) cpd00060[c0] + (1) cpd00067[c0] + (1) cpd00104[c0] + (1) cpd03091[c0]	(1) S-Adenosyl-L-methionine[c0] + (1) S[c0] + (1) Dethiobiotin[c0] => (1) L-Methionine[c0] + (1) H+[c0] + (1) BIOT[c0] + (1) 5'-Deoxyadenosine[c0]	fig|1185660.4.peg.1115
rxn05318_c0	TRANS-RXN-203.ce_c0	(1) cpd00067[e0] + (1) cpd00182[e0] <=> (1) cpd00067[c0] + (1) cpd00182[c0]	(1) H+[e0] + (1) Adenosine[e0] <=> (1) H+[c0] + (1) Adenosine[c0]	fig|1185660.4.peg.866
rxn11567_c0	beta-D-Galactosyl-1,4-beta-D-glucosylceramide galactohydrolase_c0	(1) cpd00001[c0] + (1) cpd00947[c0] <=> (1) cpd00108[c0] + (1) cpd00878[c0]	(1) H2O[c0] + (1) LacCer[c0] <=> (1) Galactose[c0] + (1) Glucocerebroside[c0]	(fig|1185660.4.peg.1531 or fig|1185660.4.peg.4091 or fig|1185660.4.peg.2807 or fig|1185660.4.peg.1532 or fig|1185660.4.peg.1812)
rxn00364_c0	ATP:CMP phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00046[c0] + (1) cpd00067[c0] <=> (1) cpd00008[c0] + (1) cpd00096[c0]	(1) ATP[c0] + (1) CMP[c0] + (1) H+[c0] <=> (1) ADP[c0] + (1) CDP[c0]	fig|1185660.4.peg.2405
rxn05561_c0	Transport of dicarboxylates, extracellular_c0	(1) cpd00067[e0] + (1) cpd00106[e0] <=> (1) cpd00067[c0] + (1) cpd00106[c0]	(1) H+[e0] + (1) Fumarate[e0] <=> (1) H+[c0] + (1) Fumarate[c0]	fig|1185660.4.peg.139
rxn09126_c0	Phospholipase A1 (phosphatidate, n-C16:0) (periplasm)_c0	(1) cpd00001[c0] + (1) cpd15524[c0] <=> (1) cpd00067[c0] + (1) cpd00214[c0] + (1) cpd15355[c0]	(1) H2O[c0] + (1) 1,2-dihexadecanoyl-sn-glycerol 3-phosphate[c0] <=> (1) H+[c0] + (1) Palmitate[c0] + (1) 2-hexadecanoyl-sn-glycerol 3-phosphate[c0]	fig|1185660.4.peg.1329
