,Loop1,Loop2,Loop3,Loop4,Loop5,Loop6,Loop7,Loop8,Loop9,Loop10,Loop11,Loop12,Loop13,Loop14,Loop15,Loop16,Loop17,Loop18,Loop19,Loop20,Loop21,Loop22,Loop23,Loop24,Loop25,Loop26,Loop27,Loop28,Loop29,Loop30,Loop31,Loop32,Loop33,Loop34,Loop35,Loop36,Loop37,Loop38,Loop39,Loop40,Loop41,Loop42,Loop43,Loop44,Loop45,Loop46,Loop47,Loop48,Loop49,Loop50
AACOAR_syn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.57,0
ACCOAC,-0.06,-0.14,0.02,-0.02,-0.07,-0.12,0.04,0.04,0.1,-0.09,0.08,-0.1,0.04,0.05,0.01,-0.04,0.03,-0.02,0.07,0.05,0.1,-0.02,0.03,-0.03,0.02,-0.05,0.11,-0.02,-0.01,0.08,-0.12,0.18,-0.01,0.09,0.05,0.09,0.01,0.02,-0.01,-0.02,0.01,-0.09,-0.07,0.05,-0.09,0.1,0.05,0.05,0.01,-0.02
ADNK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADOCBIK,0.21,0.2,-0.02,-0.03,0.18,0.02,0.1,-0.18,0.01,-0.15,-0.08,-0.14,0.08,0.07,-0.02,-0.05,-0.06,-0.04,0.13,-0.04,0.01,0.02,-0.05,0.05,0.02,0.06,0.04,-0.07,0.09,-0.11,-0.02,-0.03,-0.08,-0.05,0.06,0.09,0.08,-0.03,-0.06,0.05,0.01,0,0.03,0.11,-0.02,0.02,-0.02,-0.07,0,-0.15
AGTi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAR,0.08,0.02,-0.01,0.03,-0.13,0.01,-0.05,0,-0.04,0.01,-0.04,-0.05,0.16,-0.05,0.07,0.03,0.01,0.09,0.07,0.05,0.03,0.13,-0.02,0.04,0,-0.11,-0.1,0.03,0.1,0.13,-0.06,-0.07,0.08,-0.1,0.09,-0.01,-0.05,0,-0.08,-0.05,-0.03,-0.04,0.03,-0.07,-0.07,0.05,-0.1,0.03,-0.01,0
ATGDm,0.21,0.14,-0.05,0.01,0.05,0.01,0.14,-0.1,0.02,-0.16,0.01,-0.03,0.07,0.02,-0.07,-0.09,-0.09,0.02,0.12,-0.01,0.22,-0.09,-0.03,-0.08,0.06,-0.02,0.08,0.03,0.03,-0.04,0.03,-0.04,-0.12,0.04,-0.15,0.2,0.07,-0.06,-0.14,0.08,-0.06,-0.08,0.08,0.17,-0.09,0.05,-0.17,0,0,-0.12
BCTA_glu_h,-0.03,0.03,-0.02,0.12,0.11,-0.07,0.06,0.19,-0.15,-0.04,0.03,0.17,0.01,-0.1,-0.14,-0.12,-0.01,0.13,0.06,-0.06,-0.09,0.02,-0.09,0.02,0.12,0.15,-0.12,0.05,-0.04,-0.01,-0.02,0.1,0.11,0.04,0.14,0.12,-0.06,0.14,0.09,0,0.01,0.02,-0.04,0.18,-0.01,0.09,-0.01,-0.08,0,-0.04
BCTA_val_h,0.04,0.2,-0.04,0.1,-0.02,-0.06,-0.07,0.07,0.01,0.07,0.1,-0.06,0.05,-0.07,0.3,0.02,0.04,0.03,-0.02,0.04,-0.06,0.08,0.11,-0.01,-0.04,-0.08,0.1,0.09,0.06,-0.03,-0.12,0.11,-0.09,-0.06,-0.03,0.01,0.06,-0.18,-0.03,-0.08,-0.02,-0.11,0.19,-0.19,0.08,0.1,-0.07,-0.09,0,0.01
CHOLD,-0.04,0.05,0.08,0.13,0.09,0,0.03,-0.03,-0.13,0.1,0.02,-0.1,-0.01,0.04,0,-0.05,-0.07,0.01,0.02,0.08,0.01,0.09,-0.13,-0.07,-0.15,0.01,-0.03,0.14,-0.13,0.16,-0.03,-0.01,0.04,0.04,0.05,0,0.08,-0.22,0.08,0.19,-0.33,0.03,-0.05,0.03,-0.09,-0.15,0.12,-0.04,0.04,0.02
