,maximum,minimum
10FTHFGLULL,0.0,0.0
2DHPFALDL,0.0,0.0
2HBO,0.0,0.0
2OH3K5MPPISO,0.0,0.0
34DHOXPEGOX,0.0,0.0
34HPPOR,0.0,0.0
3HAO,0.0,0.0
3HBCOAHL,0.0,-11.614869273
3HLYTCL,0.0,0.0
3OAR100,0.0,0.0
3OAR120,0.0,0.0
3OAR40_1,0.0,0.0
3OAR60,0.0,0.0
3OAR80,0.0,0.0
3OAS80,0.0,0.0
4ABUTD,0.0,0.0
4CMLCL_kt,0.0,0.0
4HTHRS,0.0,0.0
56DH5FLURAAMH,0.0,0.0
5FLURAPRT,0.0,0.0
5HLTDL,0.0,0.0
5HXKYNDCL,0.0,0.0
A5PISO,-0.750317931327,-0.750317931327
AACOAR_syn,0.0,0.0
AACOAT,0.0,0.0
AASPh,0.0,-2.16333782204
ABUTD,0.0,0.0
ACACT1,0.0,-0.851843370735
ACACT10m,23.2780902663,-0.851843370735
ACACT2,0.0,0.0
ACACT3,0.0,0.0
ACACT4m,0.0,0.0
ACACT5m,0.0,0.0
ACACT6m,0.0,0.0
ACACT7m,0.0,-8.49936413735
ACALDt,0.0,-465.675536279
ACAS_2ahbut,-2.41798510337,-42.9137347861
ACBIPGT,-0.0309646685192,-0.0309646685193
ACCOAC,0.0,-84.8876639294
ACCOAC_1,0.0,0.0
ACCOAL,0.0,0.0
ACGApts,10.0,-130.542648671
ACGK,0.0,-2.49793289553
ACGS,0.0,-2.49793289553
ACOA40OR,0.0,0.0
ACOAD1,0.0,0.0
ACOAD10m,0.0,-25.4042703658
ACOAD2,0.0,0.0
ACOAD3,0.0,0.0
ACOAD4,0.0,0.0
ACOAD5,0.0,0.0
ACOAD6,0.0,0.0
ACOAD7,8.49936413735,0.0
ACOAD8m,0.0,-0.851843370735
ACOAD9m,0.0,-12.9968818309
ACOADH2,0.0,-12.3150987561
ACOATA,0.0,0.0
ACODA,0.0,-2.49793289553
ACONTa,32.3599186154,1.68826899165e-12
ACONTb,205.793519673,0.0
ACOTA,2.49793289553,-8.881784197e-16
ACPS1,0.0309646685192,0.0309646685193
ACPh,0.0,-142.343235091
ACS,0.0,-34.5617710255
ACYP_2,0.0,0.0
ACt4pp,0.0,0.0
ADA,119.621702297,0.0
ADCL,0.0928940055577,0.0928940055577
ADCS,-0.0928940055577,-0.0928940055578
ADCYRS,0.0,0.0
ADECn,0.0,0.0
ADK1,183.376950214,8.92325367687
ADK2,-0.0309646685192,-0.0309646685192
ADMDC,0.0,0.0
ADNK1,11.7100308389,-10.1238586741
ADNUC,-3.90798504668e-14,-1.57161076861
ADNt2,10.0,-39.6302843069
ADOCBIK,0.0,-1.57082089167
ADOCBLS,0.0309646685193,0.0309646685192
ADPRDP,0.0,0.0
ADPT,0.0,-2.36424676935
ADSL1r,0.0,-93.0780083941
ADSL2r,0.0,-35.1547057512
ADSS,89.7726042749,-8.881784197e-16
AFAT,0.0309646685192,0.0309646685192
AGDC,131.543072579,-10.0
AGDI,0.0,-0.0309646685193
AGGPR,0.0,-2.49793289553
AGMHE,1.00042390844,1.00042390844
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AGTi,0.0,-172.634358308
AICART,196.27236633,0.792636000737
AIRCr,0.0,-0.851843370735
AKGDH,0.0,-212.13211281
AKGDHe2r,-3.44169137634e-15,-302.108486519
AKGt2r,10.0,-215.700422176
AKP1,-0.0928940055577,-0.0928940055578
ALAALAr,0.250105977109,0.250105977109
ALAR,30.4505133486,-63.9949632719
ALCD19,0.0,-186.956908703
ALCD2ir,372.613174943,-10.0
ALDD22x,0.0,0.0
ALDD2x,0.0,-40.3412821535
ALDD31,0.0,-2.16333782204
ALKP,0.0,0.0
AM6PTh,0.0,0.0
AMAOTr,0.0,0.0
AMID,0.0,0.0
AMID2,0.0,0.0
AMID3,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMMQT8_2,0.0309646685193,0.0309646685192
AMPTASECG,0.0309646685192,0.0
ANNAT,-0.0619293370385,-0.0619293370385
ANS,0.0,0.0
ANS2,0.0,0.0
AOOA,196.27236633,0.792636000737
AOXHEXCYCL,0.0,0.0
AOXSr,0.0,0.0
APAPTm,0.0,0.0
APATr,82.7340460286,-0.0619293370385
APLh,-7.33814970336,-47.8338993861
APPAT,-0.0619293370385,-0.0619293370385
APRAUR,-0.0619293370385,-0.0619293370385
APSR,0.0,-2.16333782204
ARBTptspp,0.0,0.0
ARD_1,0.0,0.0
ARGDC,0.0,-0.0309646685192
ARGN,0.0,-0.72425503893
ARGORNt7,10.0,2.46696822701
ARGSL,0.0,0.0
ARGSS,0.0,0.0
ASAD,149.030850844,1.7763568394e-15
ASNN,0.0,0.0
ASNS1,-2.00830806928,-2.00830806928
ASP1DC,0.0,-92.8424223684
ASPATh,5.98338386143,-674.284094105
ASPCT,70.3094115023,0.0
ASPK,0.0,-374.550470428
ASPt2_2,10.0,-130.618823005
ATDAMh,62.0378553837,0.0
ATDGDm,-0.160206718346,-0.160206718346
ATGDm,1.57082089167,0.0
ATPM,0.0,0.0
ATPPRT,-0.792636000737,-196.27236633
ATPS4r,430.806799344,-55.9967843791
AUS,0.0619293370385,0.0619293370385
BACCL,0.0,0.0
BCTA_glu_h,10.7429849328,-7.1101375372
BCTA_val_h,5.56359890428,0.0
BDH,0.0,0.0
BETALDHx,0.0,0.0
BETALDHy,0.0,0.0
BPNT,-0.0309646685192,-2.19430249056
BTNC,0.0,-0.851843370735
BTND1,0.0,0.0
BTS4,0.0,0.0
Biomass,10.0,10.0
CA2t3pp,-0.0309646685192,-0.0309646685193
CAT,0.0,0.0
CBIAT,0.0309646685193,0.0309646685192
CBL1abc,0.0,0.0
CBPS,0.0,-0.851843370735
CD2t4pp,0.0,0.0
CDPGLC46DH,0.0,0.0
CDPMEK,-3.06081243339,-6.67807211309
CHLt2,0.0,0.0
CHOLD,0.0,0.0
CHORM,2.75196094638,2.75196094638
CHORS,2.84485495194,2.84485495194
CITMCOAHm,0.0,0.0
CITt2r,10.0,-165.544772803
CLtex,0.0309646685192,0.0309646685192
CMPA,0.0,-0.0309646685193
CMS,-3.06081243339,-6.67807211309
CO2t,10.0,-516.288543155
COALDDH,0.0,0.0
COBALT2tex,0.0309646685193,0.0309646685192
CPPPGO,-0.0309646685192,-0.0309646685193
CPS,0.0,-70.3094115023
CS,0.0,-137.817922892
CSND,0.0,0.0
CTPS1,0.0,-1.40853100329
CTPS2,0.0,0.0
