rxn00006	CAT	DETOX1-PWY|Detoxification
rxn00029	PPBNGS	Biosynthesis|Cofactor-Biosynthesis|PWY-5188|Tetrapyrrole-Biosynthesis
rxn00048	RBFSb	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn00060	HMBS	Biosynthesis|Cofactor-Biosynthesis|PWY-5188|Tetrapyrrole-Biosynthesis
rxn00077	NADK	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NADPHOS-DEPHOS-PWY
rxn00085	GLUS_nadph	AMMASSIM-PWY|Amino-Acid-Biosynthesis|Ammonia-Assimilation|Biosynthesis|Degradation|GLUTAMATE-SYN|GLUTSYN-PWY|IND-AMINO-ACID-SYN|NITROGEN-DEG|Noncarbon-Nutrients
rxn00086	MNXR2826	Biosynthesis|Cofactor-Biosynthesis|GLUT-REDOX-PWY|Reductants
rxn00097	ADK1	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6126|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00100	DPCOAK	Biosynthesis|COA-PWY|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTOSYN-PWY|Vitamin-Biosynthesis
rxn00102	HCO3E	CYANCAT-PWY|Degradation|Detoxification|NITROGEN-DEG|Noncarbon-Nutrients
rxn00117	NDPK2	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687-1|PYR-NUC-SYN
rxn00119	UMPK	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687-1|PYR-NUC-SYN
rxn00122	AFAT	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn00124	PYDXK	Biosynthesis|Cofactor-Biosynthesis|PLPSAL-PWY|PWY0-845|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn00126	MATm	Amino-Acid-Biosynthesis|Biosynthesis|Cofactor-Biosynthesis|IND-AMINO-ACID-SYN|MET-SAM-PWY|METHIONINE-SYN|PWY-6151|PWY0-781|S-adenosyl-L-methionine-cycle|SAM-PWY
rxn00127	ADMDC	ARG+POLYAMINE-SYN|BSUBPOLYAMSYN-PWY|Biosynthesis|POLYAMSYN-PWY|Polyamine-Biosynthesis|Spermidine-Biosynthesis
rxn00132	NTD7	Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|Purine-Degradation|SALVADEHYPOX-PWY
rxn00138	NADS1	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PWY0-781|PYRIDNUCSYN-PWY
rxn00139	ADPT	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-6605|Purine-Nucleotides-Salvage
rxn00147	PPS	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|GLUCONEO-PWY|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|TCA-VARIANTS
rxn00148	PYK	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Respiration|TCA-VARIANTS
rxn00154	PDH	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Energy-Metabolism|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Respiration|TCA-VARIANTS
rxn00161	MDHC_nadp_hr	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|GLUCONEO-PWY|Gluconeogenesis
rxn00165	SERD_L	Amino-Acid-Degradation|Degradation|SERDEG-PWY|SERINE-DEG
rxn00175	ACS	ACETATEUTIL-PWY|CARBOXYLATES-DEG|Degradation|PWY0-1313
rxn00178	ACACT1	ACETOACETATE-DEG-PWY|Degradation|Fatty-Acid-and-Lipid-Degradation
rxn00179	GLU5K	Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|PROLINE-SYN|PROSYN-PWY
rxn00187	GALUi	AMMASSIM-PWY|Amino-Acid-Biosynthesis|Ammonia-Assimilation|Biosynthesis|Degradation|GLNSYN-PWY|GLUTAMINE-SYN|IND-AMINO-ACID-SYN|NITROGEN-DEG|NRI-PWY|Noncarbon-Nutrients|Signaling-Pathways
rxn00187	GALh	AMMASSIM-PWY|Amino-Acid-Biosynthesis|Ammonia-Assimilation|Biosynthesis|Degradation|GLNSYN-PWY|GLUTAMINE-SYN|IND-AMINO-ACID-SYN|NITROGEN-DEG|NRI-PWY|Noncarbon-Nutrients|Signaling-Pathways
rxn00189	GAM	Amino-Acid-Degradation|Degradation|GLUTAMINDEG-PWY|GLUTAMINE-DEG
rxn00190	DNGALh	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PWY0-781|PYRIDNUCSAL-PWY|PYRIDNUCSYN-PWY
rxn00192	ACGS	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|Amino-Acid-Biosynthesis|Biosynthesis|GLUTORN-PWY|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Polyamine-Biosynthesis
rxn00193	GLUR	Acetylmuramoyl-Pentapeptide-Biosynthesis|Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|PEPTIDOGLYCANSYN-PWY|PWY-6387|Peptidoglycan-Biosynthesis
rxn00208	PYAM5PO	Biosynthesis|Cofactor-Biosynthesis|PLPSAL-PWY|PWY0-845|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn00209	PDX5POi	Biosynthesis|Cofactor-Biosynthesis|PLPSAL-PWY|PWY0-845|PYRIDOXSYN-PWY|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn00224	FCLT	Biosynthesis|Cofactor-Biosynthesis|HEME-BIOSYNTHESIS-II|HEME-SYN|HEMESYN2-PWY|PWY0-1415|Porphyrin-Compounds-Biosynthesis
rxn00237	ATGDm	Biosynthesis|DENOVOPURINE2-PWY|Metabolic-Regulators|Nucleotide-Biosynthesis|PPGPPMET-PWY|PRPP-PWY|PUR-NUC-SYN|PWY-6125|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00239	GK1	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6125|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00242	PPGPPDP	Biosynthesis|Metabolic-Regulators|PPGPPMET-PWY
