ID	EcoCyc
rxn00006	DETOX1-PWY|Detoxification
rxn00010	Alcohol-Degradation|CARBOXYLATES-DEG|Degradation|GLYCOL-GLYOXDEG-PWY|GLYCOLATEMET-PWY|Glycolate-Degradation
rxn00029	Biosynthesis|Cofactor-Biosynthesis|PWY-5188|Tetrapyrrole-Biosynthesis
rxn00048	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn00060	Biosynthesis|Cofactor-Biosynthesis|PWY-5188|Tetrapyrrole-Biosynthesis
rxn00076	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PYRIDNUCSAL-PWY
rxn00077	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NADPHOS-DEPHOS-PWY
rxn00085	AMMASSIM-PWY|Amino-Acid-Biosynthesis|Ammonia-Assimilation|Biosynthesis|Degradation|GLUTAMATE-SYN|GLUTSYN-PWY|IND-AMINO-ACID-SYN|NITROGEN-DEG|Noncarbon-Nutrients
rxn00086	Biosynthesis|Cofactor-Biosynthesis|GLUT-REDOX-PWY|Reductants
rxn00088	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NADPHOS-DEPHOS-PWY
rxn00097	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6126|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00100	Biosynthesis|COA-PWY|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTOSYN-PWY|Vitamin-Biosynthesis
rxn00102	CYANCAT-PWY|Degradation|Detoxification|NITROGEN-DEG|Noncarbon-Nutrients
rxn00114	AMINE-DEG|Allantoin-degradation|Degradation|PWY0-41
rxn00117	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687-1|PYR-NUC-SYN
rxn00119	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687-1|PYR-NUC-SYN
rxn00122	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn00124	Biosynthesis|Cofactor-Biosynthesis|PLPSAL-PWY|PWY0-845|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn00126	Amino-Acid-Biosynthesis|Biosynthesis|Cofactor-Biosynthesis|IND-AMINO-ACID-SYN|MET-SAM-PWY|METHIONINE-SYN|PWY-6151|PWY0-781|S-adenosyl-L-methionine-cycle|SAM-PWY
rxn00127	ARG+POLYAMINE-SYN|BSUBPOLYAMSYN-PWY|Biosynthesis|POLYAMSYN-PWY|Polyamine-Biosynthesis|Spermidine-Biosynthesis
rxn00131	Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|PWY-6617|Purine-Degradation
rxn00132	Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|Purine-Degradation|SALVADEHYPOX-PWY
rxn00138	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PWY0-781|PYRIDNUCSYN-PWY
rxn00139	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-6605|Purine-Nucleotides-Salvage
rxn00143	Amino-Acid-Biosynthesis|Autoinducer-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|METHIONINE-SYN|Other-biosynthesis|PWY-6151|PWY-6153|S-adenosyl-L-methionine-cycle
rxn00147	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|GLUCONEO-PWY|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|TCA-VARIANTS
