ID	MetaCyc
rxn00002	ALLANTOINDEG-PWY|AMINE-DEG|AROMATIC-COMPOUNDS-DEGRADATION|Allantoin-degradation|Atrazine-Degradation|Degradation|PWY-5169|PWY-5703|PWY-5724|Urea-Degradation|s-Triazine-Degradation
rxn00006	C1-COMPOUNDS|DETOX1-PWY|Degradation|Detoxification|Methanol-Oxidation|PWY-5506
rxn00008	Degradation|Manganese-Oxidation|Noncarbon-Nutrients|PWY-6591
rxn00010	Alcohol-Degradation|CARBOXYLATES-DEG|Degradation|GLYCOL-GLYOXDEG-PWY|GLYCOLATEMET-PWY|Glycolate-Degradation
rxn00018	Adenosine-Nucleotides-Degradation|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CALVIN-PWY|CARBO-BIOSYNTHESIS|CO2-Fixation|Carbohydrates-Biosynthesis|Degradation|Energy-Metabolism|NUCLEO-DEG|PHOTOALL-PWY|PWY-5532|PWY-5723|PWY-6886|Photosynthesis|Purine-Degradation
rxn00025	Biosynthesis|Cofactor-Biosynthesis|PWY-6857|Vitamin-A-Biosynthesis|Vitamin-Biosynthesis
rxn00029	Biosynthesis|Chlorophyll-Biosynthesis|Chlorophyll-a-Biosynthesis|Cofactor-Biosynthesis|HEME-SYN|PWY-5188|PWY-5189|PWY-5529|PWY-5918|PWY-5920|Porphyrin-Compounds-Biosynthesis|Tetrapyrrole-Biosynthesis
rxn00043	AROMATIC-COMPOUNDS-BIOSYN|Biosynthesis|PWY-6752
rxn00044	Degradation|Other-Degradation|P621-PWY
rxn00048	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|PWY-6167|PWY-6168|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn00055	Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|PWY-5912|PWY-5957|Siderophores-Biosynthesis
rxn00060	Biosynthesis|Chlorophyll-Biosynthesis|Chlorophyll-a-Biosynthesis|Cofactor-Biosynthesis|HEME-SYN|PWY-5188|PWY-5189|PWY-5529|PWY-5918|PWY-5920|Porphyrin-Compounds-Biosynthesis|Tetrapyrrole-Biosynthesis
rxn00068	Biosynthesis|Degradation|Ethylene-Biosynthesis|HORMONE-SYN|Noncarbon-Nutrients|PWY-5934|PWY-6854|Plant-Hormone-Biosynthesis
rxn00069	Amino-Acid-Biosynthesis|Ammonia-Assimilation|Biosynthesis|Degradation|GLUGLNSYN-PWY|GLUTAMATE-SYN|GLUTAMINE-SYN|IND-AMINO-ACID-SYN|Metabolic-Clusters|NITROGEN-DEG|Noncarbon-Nutrients|PWY-3282|PWY-5505|PWY-6963
rxn00071	COFACTOR-DEGRADATION|Degradation|PWY-6370
rxn00076	Biosynthesis|Cofactor-Biosynthesis|NAD-BIOSYNTHESIS-II|NAD-Metabolism|NAD-SYN|PWY-3502|PWY-5381|PYRIDNUCSAL-PWY
rxn00077	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NADPHOS-DEPHOS-PWY|PWY-5083
rxn00078	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5083
rxn00083	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5083
rxn00085	AMMASSIM-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Ammonia-Assimilation|Biosynthesis|Degradation|GLUTAMATE-SYN|GLUTAMINE-DEG|GLUTAMINE-SYN|GLUTAMINEFUM-PWY|GLUTSYN-PWY|IND-AMINO-ACID-SYN|Metabolic-Clusters|NITROGEN-DEG|Noncarbon-Nutrients|PWY-5505
rxn00086	Biosynthesis|Cofactor-Biosynthesis|GLUT-REDOX-PWY|PWY-4081|Reductants
rxn00088	Biosynthesis|Cofactor-Biosynthesis|NAD-BIOSYNTHESIS-II|NAD-Metabolism|NAD-SYN|NADPHOS-DEPHOS-PWY|PWY-5083
rxn00097	Biosynthesis|DENOVOPURINE2-PWY|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PWY-6126|PYR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis|Purine-Nucleotides-Salvage
rxn00099	Energy-Metabolism|PWY-6938
rxn00100	Biosynthesis|COA-PWY|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTOSYN-PWY|PWY-4221|PWY-4242|Vitamin-Biosynthesis
rxn00101	AMINE-DEG|Allantoin-degradation|Degradation|PWY-5704|URDEGR-PWY|Urea-Degradation
rxn00102	Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CO2-Fixation|CYANCAT-PWY|Carbohydrates-Biosynthesis|Degradation|Detoxification|Gluconeogenesis|NITROGEN-DEG|Noncarbon-Nutrients|PWY-6142|PWY-6146|PWYQT-4429
rxn00103	Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CHLORINATED-COMPOUNDS-DEG|CO2-Fixation|CODH-PWY|Carbohydrates-Biosynthesis|Carbon-tetrachloride-degradation|Degradation|Gluconeogenesis|PWY-5372|PWY-6142|PWY-6146
rxn00105	Biosynthesis|Cofactor-Biosynthesis|NAD-BIOSYNTHESIS-II|NAD-BIOSYNTHESIS-III|NAD-Metabolism|NAD-SYN|PWY3O-4106
rxn00113	Amino-Acid-Biosynthesis|Biosynthesis|Citrulline-Biosynthesis|Degradation|IND-AMINO-ACID-SYN|NITROGEN-DEG|Noncarbon-Nutrients|Other-Amino-Acid-Biosynthesis|PWY-4984|PWY-5004
rxn00114	AMINE-DEG|ARGDEGRAD-PWY|ARGININE-DEG|ARGORNPROST-PWY|Activation-Inactivation-Interconversion|Allantoin-degradation|Amino-Acid-Degradation|CITRULLINE-DEG-PWY|Degradation|Interconversion|MISCELLANEOUS-DEG|PWY0-41
