R00004	IDPh
R00009	CAT
R00014	PDHam1hi
R00018	Ht
R00028	MALT
R00036	PPBNGS
R00066	RBFSb
R00078	FERO
R00084	HMGL
R00086	ATPM
R00089	ADECn
R00104	NADK
R00112	NADTRHD
R00114	GLUS_nadph
R00127	ADK1
R00130	DPCOAK
R00131	UREA
R00132	HCO3E
R00137	ANNAT
R00149	CPS
R00156	NDPK2
R00158	UMPK
R00161	AFAT
R00174	PYDXK
R00177	MATm
R00178	ADMDC
R00183	NTD7
R00185	ADNK1
R00188	BPNT
R00189	NADS1
R00190	ADPT
R00199	PPS
R00200	PYK
R00209	PDH
R00216	MDHC_nadp_hr
R00220	SERD_L
R00235	ACS
R00238	ACACT1
R00239	GLU5K
R00243	GDH
R00245	PUTA3
R00253	GALUi
R00256	GAM
R00257	DNGALh
R00259	ACGS
R00260	GLUR
R00275	SPODM
R00277	PYAM5PO
R00278	PDX5POi
R00286	UDPGD
R00289	GALTpts
R00299	HEXTT
R00307	XYLI2
R00310	FCLT
R00317	ACt4pp
R00321	AMID4
R00330	ATGDm
R00332	GK1
R00336	PPGPPDP
R00342	MDH
R00345	PPC
R00351	CS
R00355	ASPATh
R00369	AGTi
R00371	GLYAT
R00401	ALAR
R00405	SUCLm
R00408	FRD
R00409	MCITL2
R00410	OCOAT1
R00424	GTPCI
R00425	GTPCII2
R00429	GTPDPK
R00431	PEPCK
R00451	DAPDC
R00460	LYSRC
R00465	GLYCLTDy
R00470	DDPGA
R00472	MALS
R00479	ICL
R00480	ASPK
R00485	ASNN
R00489	ASP1DC
R00509	AASPh
R00511	NTD4
R00512	CYTK1
R00519	FDH
R00525	NFORGLUAH
R00529	SADT
R00549	RBFK
R00551	ARGN
R00566	ARGDC
R00568	DCTPD2
R00570	NDPK3
R00571	CTPS1
R00573	CTPS2
R00575	CBPS
R00578	ASNS1
R00582	PSP
R00585	SPTc
R00602	PRDX
R00617	TMPK
R00658	ENO
R00660	UAGCVT
R00667	ORNTA
R00669	ACODA
R00670	ORDCh
R00674	TRPS2
R00678	TRPO2
R00685	LTDCL
R00694	PHETA1
R00699	PHYCBOXL
R00703	LDH_L
R00705	MMSAD3
R00707	P5CD
R00709	ICDHx
R00710	ALDD2x
R00713	SSALx
R00717	GLYCLTDx
R00722	NDPK9
