ID_corrected	Equa_BiGG_Corrected	Genes	LB	UB
10FTHFGLULL	1 h_c + 1 10fthfglu__L_c + 1 adp_c + 1 pi_c <-- 1 10fthf_c + 1 atp_c + 1 glu__L_c	(1185660.4.peg.1057 and 1185660.4.peg.1057)	-1000	0
2DHPFALDL	1 3mob_c + 1 fald_c <==> 1 2dhp_c	1185660.4.peg.495	-1000	1000
2HBO	1 nadh_c + 1 2obut_c + 1 h_c <==> 1 2hb_c + 1 nad_c	1185660.4.peg.109	-1000	1000
2OH3K5MPPISO	1 h2o_c + 1 2h3kmtp_c --> 1 12dmpo_c + 1 pi_c	1185660.4.peg.1883	0	1000
34DHOXPEGOX	1 nadh_c + 1 34dhmald_c + 1 h_c <==> 1 34dhoxpeg_c + 1 nad_c	(1185660.4.peg.29 or 1185660.4.peg.180 or 1185660.4.peg.3115 or 1185660.4.peg.3035 or 1185660.4.peg.2389)	-1000	1000
34HPPOR	1 co2_c + 1 hgentis_c <==> 1 2h34hppr_c + 1 o2_c	(1185660.4.peg.424 or 1185660.4.peg.424)	-1000	0
3HAO	1 cmusa_c <-- 1 3hanthrn_c + 1 o2_c	(1185660.4.peg.1461 or 1185660.4.peg.1461)	-1000	0
3HBCOAHL	1 coa_c + 1 h_c + 1 3hmp_c <-- 1 h2o_c + 1 3hibutcoa_c	(1185660.4.peg.1539 or 1185660.4.peg.1539)	-1000	0
3HLYTCL	1 co2_c + 1 dopa_c <==> 1 h_c + 1 34dhphe_c	1185660.4.peg.850	-1000	1000
3OAR100	1 h_c + 1 3odecACP_c + 1 nadph_c <==> 1 nadp_c + 1 3hdecACP_c	(1185660.4.peg.4522 or 1185660.4.peg.1143 or 1185660.4.peg.409 or 1185660.4.peg.401 or 1185660.4.peg.3578 or 1185660.4.peg.1112 or 1185660.4.peg.3753)	-1000	1000
3OAR120	1 h_c + 1 3oddecACP_c + 1 nadph_c <==> 1 3hddecACP_c + 1 nadp_c	(1185660.4.peg.3753 or 1185660.4.peg.1112 or 1185660.4.peg.401 or 1185660.4.peg.409 or 1185660.4.peg.4522 or 1185660.4.peg.1143 or 1185660.4.peg.3578)	-1000	1000
3OAR40_1	1 actACP_c + 1 h_c + 1 nadph_c <==> 1 nadp_c + 1 3hbutACP_c	(1185660.4.peg.401 or 1185660.4.peg.409 or 1185660.4.peg.1143 or 1185660.4.peg.4522 or 1185660.4.peg.3578 or 1185660.4.peg.1112 or 1185660.4.peg.3753)	-1000	1000
