BIOMASS	Biomass	cpd11416_b;cpd11416_c0				seed:cpd11416
MNXM01	H(+)	MNXM01;cpd00067_b;cpd00067_c0;cpd00067_e0	H	1.00794	1	chebi:15378
MNXM1	H(+)	cpd00067_b;cpd00067_c0;cpd00067_e0	H	1.0079	1	chebi:10744;chebi:13357;chebi:15378;chebi:24636;chebi:5584;bigg:33778;bigg:h;biopath:Proton;brenda:BG79440;cas:12408-02-5;casid:12408-02-5;chemspider:1010;hmdb:HMDB59597;kegg:C00080;metacyc:PROTON;nugowiki:57994;pubchem:1038;pubchem:3380;reactome:113529;reactome:1470067;reactome:156540;reactome:1614597;reactome:163953;reactome:193465;reactome:194688;reactome:2000349;reactome:2872447;reactome:351626;reactome:372511;reactome:374900;reactome:425969;reactome:425978;reactome:425999;reactome:427899;reactome:428040;reactome:428548;reactome:5668577;reactome:70106;reactome:74722;reactome:R-ALL-113529;reactome:R-ALL-1470067;reactome:R-ALL-156540;reactome:R-ALL-163953;reactome:R-ALL-193465;reactome:R-ALL-194688;reactome:R-ALL-2000349;reactome:R-ALL-2872447;reactome:R-ALL-351626;reactome:R-ALL-372511;reactome:R-ALL-374900;reactome:R-ALL-425969;reactome:R-ALL-425978;reactome:R-ALL-425999;reactome:R-ALL-427899;reactome:R-ALL-428040;reactome:R-ALL-428548;reactome:R-ALL-5668577;reactome:R-ALL-70106;reactome:R-ALL-74722;reactome_database_id_release_53:113529;reactome_database_id_release_53:1470067;reactome_database_id_release_53:156540;reactome_database_id_release_53:163953;reactome_database_id_release_53:193465;reactome_database_id_release_53:194688;reactome_database_id_release_53:2000349;reactome_database_id_release_53:2872447;reactome_database_id_release_53:351626;reactome_database_id_release_53:372511;reactome_database_id_release_53:374900;reactome_database_id_release_53:425969;reactome_database_id_release_53:425978;reactome_database_id_release_53:425999;reactome_database_id_release_53:427899;reactome_database_id_release_53:428040;reactome_database_id_release_53:428548;reactome_database_id_release_53:5668577;reactome_database_id_release_53:70106;reactome_database_id_release_53:74722;seed:cpd00067;upa:UPC00080
MNXM10	NADH	cpd00004_c0	C21H27N7O14P2	663.4251	-2	chebi:13395;chebi:13396;chebi:16908;chebi:21902;chebi:44216;chebi:57945;chebi:7423;3dmet:B01127;beilstein:3869564;beilstein:79324;bigg:33484;bigg:nadh;biopath:NADH;brenda:BG11384;cas:58-68-4;casid:58-68-4;chemspider:10239197;chemspider:903;come:MOL000027;drugbank:DB00157;foodb:FDB022649;gmelin:544241;hmdb:HMDB01487;kegg:C00004;knapsack:C00019343;metabolights:MTBLC57945;metacyc:NADH;metlin:3687;nikkaji:J213.546I;nugowiki:1349;pdb-ccd:NAI;pdbechem:NAI;pubchem:21604869;pubchem:3306;pubchem:928;pubmed:11259315;pubmed:19459318;reactome:192305;reactome:194697;reactome:29362;reactome:73473;reactome:R-ALL-192305;reactome:R-ALL-194697;reactome:R-ALL-29362;reactome:R-ALL-73473;reactome_database_id_release_53:192305;reactome_database_id_release_53:194697;reactome_database_id_release_53:29362;reactome_database_id_release_53:73473;reaxys:79324;seed:cpd00004;upa:UPC00004;wikipedia:Nicotinamide_adenine_dinucleotide
MNXM100	geranyl diphosphate	cpd00283_c0	C10H17O7P2	311.1853	-3	chebi:14299;chebi:17211;chebi:24223;chebi:37531;chebi:42877;chebi:5332;chebi:55337;chebi:58057;3dmet:B00091;beilstein:1915690;beilstein:4549979;bigg:34675;bigg:34712;bigg:grdp;biopath:Geranyl_diphosphate;brenda:BG1817;cas:763-10-0;chemspider:14211068;chemspider:393471;drugbank:DB02552;foodb:FDB001463;het:GPP;hmdb:HMDB01285;hmdb:HMDB01560;hmdb:HMDB02239;hmdb:HMDB06506;kegg:C00341;kegg:C05806;kegg:C05847;knapsack:C00000846;lipidbank:IIP0003;lipidmaps:LMPR0102010001;metabolights:MTBLC58057;metacyc:GERANYL-PP;metlin:6134;nikkaji:J1.452.575K;nugowiki:1150;pdb-ccd:GPP;pdbechem:GPP;pubchem:19379894;pubchem:3634;pubchem:445995;pubchem:74382092;pubmed:7753173;reactome:191409;reactome:R-ALL-191409;reactome_database_id_release_53:191409;seed:cpd00283;upa:UPC00341;upa:UPC05847
MNXM10019	a (3R)-3-hydroxyoctanoyl-[acp]	cpd11483_c0	C8H15O2SR			bigg:3hoctACP;kegg:C04620;metacyc:3-Hydroxy-octanoyl-ACPs;pubchem:7210;seed:cpd11483
MNXM10035	3-Hydroxyoctodecanoyl-ACP	cpd11571_c0	C29H55N2O9PRS		-1	seed:cpd11571
MNXM1004	sucrose 6(F)-phosphate	cpd01693_c0	C12H21O14P	420.2605	-2	chebi:15129;chebi:15130;chebi:16308;chebi:26813;chebi:57723;chebi:9315;3dmet:B01590;beilstein:3918937;bigg:40149;bigg:suc6p;biopath:Sucrose_6-phosphate;brenda:BG4123;kegg:C02591;kegg:C16688;kegg:G10508;knapsack:C00007452;metacyc:CPD-15716;metacyc:SUCROSE-6P;nikkaji:J1.510.114H;nikkaji:J1.723.920A;pdb-ccd:SUP;pdbechem:SUP;pubchem:25245080;pubchem:51091010;pubchem:5583;pubchem:90658716;seed:cpd01693;upa:UPC02591
MNXM10116	3-Oxooctodecanoyl-ACP	cpd11570_c0	C29H53N2O9PRS		-1	seed:cpd11570
MNXM1014	3-cyano-L-alanine	cpd01651_c0	C4H6N2O2	114.1026	0	chebi:11772;chebi:11773;chebi:13061;chebi:1477;chebi:16934;chebi:19989;chebi:57954;chebi:77860;3dmet:B01584;cas:6232-19-5;chemspider:388802;hmdb:HMDB60245;kegg:C02512;knapsack:C00001350;metacyc:CPD-603;nikkaji:J51.820D;nugowiki:59344;pubchem:25203495;pubchem:439742;pubchem:5522;pubmed:1855644;reaxys:2410688;seed:cpd01651
