R108737F5	1 MNXM1189@MNXC3 + 1 MNXM2@MNXC3 --> 1 MNXM11@MNXC3 + 1 MNXM1@MNXC3 + 1 MNXM30@MNXC3	rxn00242_c0	MNXR69771	3.1.7.2	kegg:Purine metabolism;metacyc:ppGpp biosynthesis;upa:ppGpp biosynthesis	rhea:14253;rhea:14254;rhea:14255;rhea:14256;bigg:PPGPPDP;kegg:R00336;metacyc:PPGPPSYN-RXN;seed:rxn00242;upa:UCR00336;upa:UER00886
R10F1D2FE	1 MNXM1148@MNXC3 <==> 1 MNXM89689@MNXC3	rxn00472_c0	MNXR40035	5.1.1.10;5.1.1.12;5.1.1.9	kegg:D-Arginine and D-ornithine metabolism;kegg:Metabolic pathways;metacyc:L-ornithine degradation II (Stickland reaction)	rhea:11584;rhea:11585;rhea:11586;rhea:11587;kegg:R00672;metacyc:ORNITHINE-RACEMASE-RXN;seed:rxn00472
R1106B2DD	1 MNXM10@MNXC3 + 2 MNXM1@MNXC3 + 1 MNXM29@MNXC3 <-- 1 MNXM2212@MNXC3 + 1 MNXM2@MNXC3 + 1 MNXM8@MNXC3	rxn05735_c0	MNXR27865			bigg:ALDD31;seed:rxn05735
R110DE088	1 MNXM1@MNXC3 + 1 MNXM251@MNXC3 + 1 MNXM9@MNXC3 <-- 1 MNXM2@MNXC3 + 1 MNXM326@MNXC3	rxn03901_c0	MNXR55989	3.6.1.27		seed:rxn03901
R11275CD1	1 MNXM10@MNXC3 + 1 MNXM1617@MNXC3 + 2 MNXM1@MNXC3 <==> 1 MNXM114@MNXC3 + 1 MNXM8@MNXC3	rxn00929_c0	MNXR26331	1.5.1.2;1.5.99.8	biopath:Biosynthesis_of_L-Proline;biopath:Conversion_of_L-Glutamate_into_L-Proline;biopath:Degradation_of_L-Proline;biopath:Metabolism_of_L-Glutamate,_L-Aspartate_and_related_compounds;biopath:Metabolism_of_L-Proline_and_L-Hydroxyproline;kegg:Arginine and proline metabolism;kegg:Biosynthesis of amino acids;kegg:Biosynthesis of antibiotics;kegg:Biosynthesis of secondary metabolites;kegg:Metabolic pathways	rhea:14105;rhea:14106;rhea:14107;rhea:14108;bigg:P5CRx;bigg:P5CRxm;bigg:PRO1x;bigg:PRO1xm;biopath:RXN00264;biopath:RXN00750;kegg:R01248;seed:rxn00929;upa:UCR01248
R11626571	1 MNXM10369@MNXC3 + 1 MNXM13@MNXC3 + 1 MNXM925@MNXC3 <-- 1 MNXM184@MNXC3 + 1 MNXM8148@MNXC3	rxn05413_c0	NA			
R11643D4D	1 MNXM10@MNXC3 + 1 MNXM1@MNXC3 + 1 MNXM23@MNXC3 <==> 1 MNXM179@MNXC3 + 1 MNXM8@MNXC3	rxn00499_c0	MNXR3215	1.1.1.27	biopath:Alcoholic_fermentation_of_pyruvate;biopath:Glycolysis_and_Gluconeogenesis_(extended);biopath:Glycolytic_fermentation_and_Lactate_converting_fermentations;biopath:Non-glycolytic_carbohydrate_fermentations;biopath:Reactions_of_Pyruvate_and_Phosphoenolpyruvate;kegg:Biosynthesis of antibiotics;kegg:Biosynthesis of secondary metabolites;kegg:Glycolysis / Gluconeogenesis;kegg:Metabolic pathways;kegg:Microbial metabolism in diverse environments;kegg:Pyruvate metabolism;metacyc:Bifidobacterium shunt;metacyc:heterolactic fermentation;metacyc:pyruvate fermentation to lactate;metacyc:superpathway of glucose and xylose degradation;upa:pyruvate fermentation to lactate	rhea:23444;rhea:23445;rhea:23446;rhea:23447;bigg:LDH_L;bigg:LDH_Lm;bigg:LLDHh;biopath:RXN00795;kegg:R00703;metacyc:L-LACTATE-DEHYDROGENASE-RXN;seed:rxn00499;upa:UCR00703;upa:UER00611
R117E8DDB	2 MNXM01@MNXC2 + 1 MNXM191@MNXC3 <-- 2 MNXM01@MNXC3 + 1 MNXM195@MNXC3 + 1 MNXM232@MNXC3	rxn10118_c0	MNXR69266			rhea:29059;rhea:29060;rhea:29061;rhea:29062;bigg:HYD1;bigg:HYD1pp;seed:rxn08734;seed:rxn10118
R11895B3D	1 MNXM11@MNXC3 + 1 MNXM1351@MNXC3 <-- 1 MNXM3@MNXC3 + 1 MNXM91@MNXC3	rxn00789_c0	MNXR68424	2.4.2.17	biopath:Biosynthesis_and_degradation_of_L-Histidine;biopath:Biosynthesis_of_Histidine;biopath:Biosynthesis_of_IMP;kegg:Biosynthesis of amino acids;kegg:Biosynthesis of secondary metabolites;kegg:Histidine metabolism;kegg:Metabolic pathways;metacyc:L-histidine biosynthesis;upa:L-histidine biosynthesis	rhea:18473;rhea:18474;rhea:18475;rhea:18476;bigg:ATPPRT;biopath:RXN00983;kegg:R01071;metacyc:ATPPHOSPHORIBOSYLTRANS-RXN;seed:rxn00789;upa:UCR01071;upa:UER00006
R11B0B3D8	1 MNXM1@MNXC3 + 1 MNXM3@MNXC3 + 1 MNXM92189@MNXC3 <==> 1 MNXM332@MNXC3 + 1 MNXM92086@MNXC3	rxn03535_c0	MNXR82082	2.5.1.17	kegg:Metabolic pathways;kegg:Porphyrin and chlorophyll metabolism;metacyc:adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I;metacyc:adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II;upa:adenosylcobalamin biosynthesis	rhea:11528;rhea:11529;rhea:11530;rhea:11531;bigg:CYRDAAT;kegg:R05220;metacyc:R344-RXN;seed:rxn03535;upa:UCR05220;upa:UER00233
