rxn,Void,rpfCGH,Void_Xanthan,rpfCGH_Xanthan,group
A5PISO,-0.0074,-0.0074,-0.0074,-0.0074,m
AACOAR_syn,1000.0,1000.0,1000.0,1000.0,r
ACACT1,-0.0084,-0.0084,-0.0084,-0.0084,m
ACAS_2ahbut,-0.03224,-0.03224,-0.03224,-0.03224,m
ACBIPGT,-0.00031,-0.00031,-0.00031,-0.00031,m
ACCOAC,1000.0,1000.0,1000.0,1000.0,r
ACGK,-0.024630000000000003,0.0,-0.024630000000000003,0.0,m
ACGS,-0.024630000000000003,0.0,-0.024630000000000003,0.0,m
ACOAD8m,-0.0084,-0.0084,-0.0084,-0.0084,m
ACODA,-0.024630000000000003,-0.0,-0.024630000000000003,-0.0,m
ACONTa,0.7622800000000001,2.9990799999999997,0.7622800000000001,2.9990799999999997,m
ACONTb,0.7622800000000001,2.9990799999999997,0.7622800000000001,2.9990799999999997,m
ACOTA,0.024630000000000003,0.0,0.024630000000000003,0.0,m
ACPS1,0.00031,0.00031,0.00031,0.00031,m
ACS,-0.06484,-656.75393,-0.06484,-656.75393,c
ADA,0.0,0.01646,0.0,0.01646,m
ADCL,0.0009199999999999999,0.0009199999999999999,0.0009199999999999999,0.0009199999999999999,m
ADCS,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,m
ADK1,1000.0,656.91542,1000.0,656.91542,c
ADK2,-0.00031,-0.00031,-0.00031,-0.00031,m
ADNK1,0.0,0.01523,0.0,0.01523,m
ADNUC,-0.00122,0.0,-0.00122,0.0,m
ADOCBIK,999.99969,-0.07536,999.99969,-0.07536,c
ADOCBLS,0.00031,0.00031,0.00031,0.00031,m
ADPT,-0.00122,0.0,-0.00122,0.0,m
ADSL1r,-0.022090000000000002,-0.03854,-0.022090000000000002,-0.03854,m
ADSL2r,-0.03073,-0.03073,-0.03073,-0.03073,m
ADSS,0.022090000000000002,0.03854,0.022090000000000002,0.03854,m
AFAT,0.00031,0.00031,0.00031,0.00031,m
AGDC,0.009859999999999999,-656.70386,0.009859999999999999,-656.70386,c
AGDI,-0.00031,-0.00031,-0.00031,-0.00031,m
AGGPR,-0.024630000000000003,0.0,-0.024630000000000003,0.0,m
AGMHE,0.009859999999999999,0.009859999999999999,0.009859999999999999,0.009859999999999999,m
AICART,0.03854,0.03854,0.03854,0.03854,m
AKGDH,0.0,-2.9045099999999997,0.0,-2.9045099999999997,m
AKGDHe2r,-0.6677,0.0,-0.6677,0.0,m
AKP1,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,m
ALAALAr,0.00247,0.00247,0.00247,0.00247,m
ALAR,-6.729480000000001,-997.10598,-6.729480000000001,-997.10598,c
ALCD19,-7.3859699999999995,0.0,-7.3859699999999995,0.0,m
AMMQT8_2,0.00031,0.00031,0.00031,0.00031,m
AMPTASECG,0.00031,0.00031,0.00031,0.00031,m
