,minimum,maximum
10FTHFGLULL,0.0,0.0
2DHPFALDL,0.0,0.0
2HBO,0.0,0.0
2OH3K5MPPISO,0.0,0.0
34DHOXPEGOX,0.0,0.0
34HPPOR,0.0,0.0
3HAO,0.0,0.0
3HBCOAHL,-39.65938864628852,0.0
3HLYTCL,0.0,0.0
3OAR100,0.0,0.0
3OAR120,0.0,0.0
3OAR40_1,0.0,0.0
3OAR60,0.0,0.0
3OAR80,0.0,0.0
3OAS80,0.0,0.0
4ABUTD,0.0,0.0
4CMLCL_kt,0.0,0.0
4HTHRS,0.0,0.0
56DH5FLURAAMH,0.0,0.0
5FLURAPRT,0.0,0.0
5HLTDL,0.0,0.0
5HXKYNDCL,0.0,0.0
A5PISO,-0.75031793132682,-0.75031793132682
AACOAR_syn,0.0,0.0
AACOAT,0.0,0.0
AASPh,-2.163337822041161,0.0
ABUTD,0.0,0.0
ACACT1,-0.8518433707350401,0.0
ACACT10m,-0.8518433707350415,39.65938864628824
ACACT2,0.0,0.0
ACACT3,0.0,0.0
ACACT4m,0.0,0.0
ACACT5m,0.0,0.0
ACACT6m,0.0,0.0
ACACT7m,-8.499364137346364,0.0
ACALDt,-465.67553627899156,0.0
ACAS_2ahbut,-42.92921712039566,-2.4179851033723505
ACBIPGT,-0.030964668519249908,-0.03096466851925
ACCOAC,-995.9122788011395,0.0
ACCOAC_1,0.0,0.0
ACCOAL,0.0,0.0
ACGApts,-8.999576091564224,10.000000000000005
ACGK,-2.49793289553266,0.0
ACGS,-2.497932895532659,0.0
ACOA40OR,0.0,0.0
ACOAD1,0.0,0.0
ACOAD10m,-39.65938864628835,0.0
ACOAD2,0.0,0.0
ACOAD3,0.0,0.0
ACOAD4,0.0,0.0
ACOAD5,0.0,0.0
ACOAD6,0.0,0.0
ACOAD7,0.0,8.499364137346362
ACOAD8m,-0.8518433707350399,0.0
ACOAD9m,-39.65938864628824,0.0
ACOADH2,-19.82969432314412,0.0
ACOATA,0.0,0.0
ACODA,-2.49793289553266,0.0
ACONTa,0.0,154.8918656035164
ACONTb,0.0,574.4179041690727
ACOTA,0.0,2.49793289553266
ACPh,-286.28621815255065,0.0
ACPS1,0.03096466851925,0.030964668519248922
ACS,-703.4827567072566,0.0
ACt4pp,0.0,0.0
ACYP_2,0.0,0.0
ADA,0.0,341.25936472646
ADCL,0.09289400555775007,0.09289400555775007
ADCS,-0.09289400555775057,-0.09289400555775014
ADCYRS,0.0,0.0
ADECn,0.0,0.0
ADK1,8.923253676869376,1000.0
ADK2,-0.03096466851925,-0.03096466851925
ADMDC,0.0,0.0
ADNK1,-10.123858674077015,0.0
ADNt2,-19.325307495372265,10.0
ADNUC,-10.123858674077008,0.0
ADOCBIK,-969.0170949691636,0.0
ADOCBLS,0.03096466851925,0.03096466851925
ADPRDP,0.0,0.0
ADPT,-10.123858674076978,0.0
ADSL1r,-333.49975282173415,0.0
ADSL2r,-2.4421578628873517,0.0
ADSS,0.0,34.131712127628234
AFAT,0.030964668519249876,0.030964668519249845
AGDC,-9.999999999999996,9.999999999999996
AGDI,-0.03096466851925,0.0
AGGPR,-2.4979328955326596,0.0
AGMHE,1.000423908435758,1.00042390843576
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AGTi,-340.16815908937735,0.0
AICART,0.79263600073716,5.676951726512091
AIRCr,0.0,0.0
AKGDH,-276.32831189744354,0.0
AKGDHe2r,-409.36413236749667,-3.552713678800501e-15
AKGt2r,-215.70042217574743,10.0
AKP1,-0.09289400555795968,-0.09289400555775096
ALAALAr,0.25010597710893995,0.25010597710894
ALAR,-980.7724964347755,1000.0
ALCD19,-286.2862181525485,0.0
ALCD2ir,-10.0,367.1497502961619
ALDD22x,0.0,0.0
ALDD2x,-371.93585496156345,0.0
ALDD31,-2.1633378220412998,0.0
ALKP,0.0,0.0
AM6PTh,0.0,0.0
AMAOTr,0.0,0.0
AMID,0.0,0.0
AMID2,0.0,0.0
AMID3,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMMQT8_2,0.03096466851925,0.03096466851925
AMPTASECG,0.0,0.03096466851925
ANNAT,-0.06192933703849457,-0.06192933703848885
ANS,0.0,0.0
ANS2,0.0,0.0
AOOA,0.79263600073716,5.676951726512091
AOXHEXCYCL,0.0,0.0
AOXSr,0.0,0.0
APAPTm,0.0,0.0
APATr,-0.061929337038499455,379.111492642168
APLh,-47.849381720379306,-7.338149703356024
APPAT,-0.06192933703850212,-0.06192933703850718
APRAUR,-0.06192933703849986,-0.061929337038499954
APSR,-2.1633378220411523,0.0
ARBTptspp,0.0,0.0
ARD_1,0.0,0.0
ARGDC,-0.03096466851924993,0.0
ARGN,-7.533031772986603,0.0
ARGORNt7,2.4669682270134135,9.999999999999993
ARGSL,0.0,0.0
ARGSS,0.0,0.0
ASAD,-2.6922908347160046e-15,999.9999999999997
ASNN,0.0,0.0
ASNS1,-2.0083080692834803,-2.0083080692834803
ASP1DC,-129.1413985076614,0.0
ASPATh,-1000.0,5.98338386143304
ASPCT,0.0,70.30941150234722
ASPK,-763.3432746718045,0.0
ASPt2_2,-130.61882300469338,10.0
ATDAMh,0.0,29.32530749537179
ATDGDm,-0.16020671834625,-0.16020671834625
ATGDm,0.0,969.0170949691658
ATPM,0.0,0.0
ATPPRT,-5.676951726512096,-0.79263600073716
ATPS4r,-150.40837831908476,430.80679934426684
AUS,0.06192933703849973,0.06192933703850163
BACCL,0.0,0.0
BCTA_glu_h,-3.7538884754012685,996.2461115245986
BCTA_val_h,-1000.0,996.4776681090815
BDH,0.0,0.0
BETALDHx,0.0,0.0
BETALDHy,0.0,0.0
Biomass,10.0,10.0
BPNT,-2.1943024905603976,-0.03096466851925
BTNC,0.0,0.0
BTND1,0.0,0.0
BTS4,0.0,0.0
CA2t3pp,-0.03096466851925,-0.03096466851925
CAT,0.0,0.0
CBIAT,0.03096466851925,0.03096466851925
CBL1abc,0.0,0.0
CBPS,-4.884315725774938,0.0
CD2t4pp,0.0,0.0
CDPGLC46DH,0.0,0.0
CDPMEK,-6.6780721130940215,-3.060812433390873
CHLt2,0.0,0.0
CHOLD,0.0,0.0
CHORM,2.75196094637957,2.75196094637957
CHORS,2.8448549519373203,2.84485495193732
CITMCOAHm,0.0,0.0
CITt2r,-165.5447728033589,10.0
CLtex,0.03096466851925,0.03096466851925
CMPA,-0.03096466851925,0.0
CMS,-6.67807211309525,-3.0608124333908395
CO2t,-516.2885431546194,9.999999999999998
