MNXR100107
MNXR100312
MNXR100633
MNXR100662
MNXR100747
MNXR100753
MNXR100776
MNXR100903
MNXR100904
MNXR100905
MNXR100906
MNXR100932
MNXR100933
MNXR101141
MNXR101142
MNXR101143
MNXR101162
MNXR101163
MNXR101164
MNXR101276
MNXR101382
MNXR101419
MNXR101513
MNXR101666
MNXR101669
MNXR101876
MNXR101986
MNXR102372
MNXR102507
MNXR102511
MNXR102535
MNXR102589
MNXR102596
MNXR102632
MNXR102967
MNXR102968
MNXR102969
MNXR102989
MNXR102990
MNXR102991
MNXR103157
MNXR103165
MNXR103215
MNXR103229
MNXR103233
MNXR103235
MNXR103266
MNXR103270
MNXR103272
MNXR103329
MNXR103431
MNXR104084
MNXR104285
MNXR104498
MNXR104715
MNXR104868
MNXR104869
MNXR104971
MNXR105013
MNXR105079
MNXR105094
MNXR10704	rxn05824_c0
MNXR10705	rxn11718_c0
MNXR12173	rxn04736_c0
MNXR14387	rxn12643_c0
MNXR14507	rxn00020_c0
MNXR14578	rxn00258_c0
MNXR14719	rxn00735_c0
MNXR14762	rxn05953_c0
MNXR14768	rxn00953_c0
MNXR15065	rxn01816_c0
MNXR15262	rxn02260_c0
MNXR15436	rxn02687_c0
MNXR15510	rxn02795_c0
MNXR15609	rxn02962_c0
MNXR15641	rxn03012_c0
MNXR15642	rxn03014_c0
MNXR15797	rxn03282_c0
MNXR15867	rxn03394_c0
MNXR1587	rxn02200_c0
MNXR15972	rxn14054_c0
MNXR15973	rxn14089_c0
MNXR160	rxn02261_c0
MNXR16018	rxn03618_c0
MNXR16204	rxn03860_c0
MNXR16236	rxn03906_c0
MNXR16239	rxn03921_c0
MNXR16307	rxn11663_c0
MNXR16994	rxn04726_c0
MNXR16995	rxn04727_c0
MNXR17004	rxn04737_c0
MNXR17026	rxn04760_c0
MNXR17153	rxn04908_c0
MNXR17265	rxn07258_c0
MNXR17268	rxn07261_c0
MNXR17296	rxn05142_c0
MNXR17297	rxn05143_c0
MNXR17649	rxn07680_c0
MNXR17653	rxn07684_c0
MNXR17657	rxn07688_c0
MNXR17827	rxn07876_c0
MNXR17833	rxn07883_c0
MNXR17835	rxn07885_c0
MNXR17903	rxn11710_c0
MNXR17904	rxn11712_c0
MNXR17916	rxn11725_c0
MNXR17974	rxn11809_c0
MNXR17999	rxn11834_c0
MNXR18003	rxn11838_c0
MNXR18214	rxn12191_c0
MNXR1991	rxn11711_c0
MNXR20056	rxn06734_c0
MNXR2062	rxn04792_c0
MNXR22677	rxn04658_c0
MNXR2293	rxn05937_c0
MNXR27601	rxn05247_c0
MNXR27602	rxn05248_c0
MNXR27603	rxn05249_c0
MNXR27604	rxn05250_c0
MNXR27605	rxn05251_c0
MNXR27606	rxn05252_c0
MNXR27634	rxn05360_c0
MNXR27635	rxn05361_c0
MNXR27636	rxn05362_c0
MNXR27638	rxn05364_c0
MNXR27639	rxn05365_c0
MNXR27640	rxn05366_c0
MNXR27642	rxn05368_c0
MNXR27643	rxn05369_c0
MNXR27644	rxn05370_c0
MNXR27646	rxn05372_c0
MNXR27647	rxn05373_c0
MNXR27648	rxn05374_c0
MNXR27650	rxn05376_c0
MNXR27651	rxn05377_c0
MNXR27652	rxn05378_c0
MNXR27654	rxn05380_c0
MNXR27655	rxn05381_c0
MNXR27656	rxn05382_c0
MNXR27659	rxn05385_c0
MNXR27660	rxn05386_c0
MNXR27661	rxn05387_c0
MNXR27663	rxn05389_c0
MNXR27664	rxn05390_c0
MNXR27665	rxn05391_c0
MNXR27667	rxn05393_c0
MNXR27668	rxn05394_c0
MNXR27669	rxn05395_c0
MNXR27671	rxn05397_c0
