rxn01210_c0	10FTHFGLULL
rxn00905_c0	2DHPFALDL
rxn00741_c0	2HBO
rxn05106_c0	2OH3K5MPPISO
rxn03333_c0	34DHOXPEGOX
rxn01927_c0	3HAO
rxn03433_c0	3HBCOAHL
rxn01499_c0	3HLYTCL
rxn05338_c0	3OAR100
rxn05340_c0	3OAR120
rxn05339_c0	3OAR40_1
rxn05337_c0	3OAR60
rxn05341_c0	3OAR80
rxn05350_c0	3OAS80
rxn01459_c0	4ABUTD
rxn02483_c0	4CMLCL_kt
EX_cpd00136_e0	4HBZtex
rxn03446_c0	4HTHRS
rxn11755_c0	56DH5FLURAAMH
rxn11759_c0	5FLURAPRT
rxn01948_c0	5HLTDL
rxn03360_c0	5HXKYNDCL
rxn01117_c0	A5PISO
rxn01453_c0	AACOAR_syn
rxn00988_c0	AACOAT
rxn00361_c0	AASPh
rxn01851_c0	ABUTD
rxn00178_c0	ACACT1
rxn00676_c0	ACACT10m
rxn00874_c0	ACACT2
rxn03248_c0	ACACT3
rxn02680_c0	ACACT4m
rxn03243_c0	ACACT5m
rxn06510_c0	ACACT6m
rxn02804_c0	ACACT7m
rxn03194_c0	ACAS_2ahbut
rxn03537_c0	ACBIPGT
rxn00533_c0	ACCOAC
rxn06673_c0	ACCOAC_1
rxn00669_c0	ACCOAL
rxn01917_c0	ACGK
rxn00192_c0	ACGS
rxn00872_c0	ACOA40OR
rxn00868_c0	ACOAD1
rxn02270_c0	ACOAD10m
rxn10010_c0	ACOAD2
rxn10011_c0	ACOAD3
rxn10012_c0	ACOAD4
rxn10013_c0	ACOAD5
rxn10014_c0	ACOAD6
rxn05732_c0	ACOAD7
rxn02866_c0	ACOAD8m
rxn01924_c0	ACOAD9m
rxn01923_c0	ACOADH2
rxn05349_c0	ACOATA
rxn00469_c0	ACODA
rxn00973_c0	ACONT
rxn00974_c0	ACONTa
rxn01388_c0	ACONTb
rxn01637_c0	ACOTA
rxn01103_c0	ACPh
rxn06023_c0	ACPS1
rxn00175_c0	ACS
rxn00227_c0	ACYP_2
rxn01137_c0	ADA
rxn03841_c0	ADCL
rxn01257_c0	ADCS
rxn03540_c0	ADCYRS
rxn00065_c0	ADECn
rxn00097_c0	ADK1
rxn10052_c0	ADK2
rxn00127_c0	ADMDC
rxn00134_c0	ADNK1
EX_cpd00182_e0	ADNt
rxn05318_c0	ADNt2
rxn00927_c0	ADNUC
rxn03536_c0	ADOCBIK
rxn03538_c0	ADOCBLS
rxn00775_c0	ADPRDP
rxn00139_c0	ADPT
rxn00800_c0	ADSL1r
rxn03136_c0	ADSL2r
rxn00838_c0	ADSS
rxn00122_c0	AFAT
rxn01484_c0	AGDC
rxn01029_c0	AGDI
rxn02465_c0	AGGPR
rxn03511_c0	AGMHE
rxn08083_c0	AGPAT120
rxn08084_c0	AGPAT140
rxn08085_c0	AGPAT141
rxn08086_c0	AGPAT160
rxn08087_c0	AGPAT161
rxn08088_c0	AGPAT180
rxn08089_c0	AGPAT181
rxn00272_c0	AGTi
rxn03137_c0	AICART
rxn02938_c0	AIRCr
rxn08094_c0	AKGDH
rxn01872_c0	AKGDHe2r
rxn03167_c0	AKP1
rxn00851_c0	ALAALAr
rxn00283_c0	ALAR
rxn00763_c0	ALCD19
rxn00543_c0	ALCD2ir
rxn00653_c0	ALDD22x
rxn00506_c0	ALDD2x
rxn05735_c0	ALDD31
rxn00743_c0	ALKP
rxn00975_c0	AM6PTh
rxn02312_c0	AMAOTr
rxn02275_c0	AMID
rxn01843_c0	AMID2
rxn02222_c0	AMID3
rxn00231_c0	AMID4
rxn03839_c0	AMID5
rxn10094_c0	AMMQT8_2
rxn00650_c0	AMPTASECG
rxn00105_c0	ANNAT
rxn00727_c0	ANS
rxn00726_c0	ANS2
rxn02320_c0	AOOA
rxn02916_c0	AOXHEXCYCL
rxn02297_c0	AOXSr
rxn01406_c0	APAPTm
rxn00656_c0	APATr
rxn02185_c0	APLh
rxn02175_c0	APPAT
rxn02474_c0	APRAUR
rxn05256_c0	APSR
rxn05501_c0	ARBTptspp
EX_cpd03696_e0	ARBTtex
rxn05092_c0	ARD_1
EX_cpd00051_e0	ARG_Ltm
rxn00405_c0	ARGDC
rxn00394_c0	ARGN
rxn10131_c0	ARGORNt7
rxn00802_c0	ARGSL
rxn01434_c0	ARGSS
rxn01643_c0	ASAD
rxn00342_c0	ASNN
rxn00416_c0	ASNS1
rxn00346_c0	ASP1DC
rxn00260_c0	ASPATh
rxn01018_c0	ASPCT
rxn00337_c0	ASPK
rxn10151_c0	ASPt2_2
EX_cpd00041_e0	ASPt5n
rxn01127_c0	ATDAMh
rxn01353_c0	ATDGDm
rxn00237_c0	ATGDm
rxn00789_c0	ATPPRT
rxn10042_c0	ATPS4m
rxn05039_c0	AUS
rxn00792_c0	BACCL
rxn00806_c0	BCTA_glu_h
rxn00903_c0	BCTA_val_h
rxn00992_c0	BDH
rxn01867_c0	BETALDHx
rxn01868_c0	BETALDHy
rxn00137_c0	BPNT
rxn06672_c0	BTNC
rxn00795_c0	BTND1
rxn08180_c0	BTS4
EX_cpd00063_e0	CA2t
rxn05514_c0	CA2t3pp
rxn00006_c0	CAT
rxn05029_c0	CBIAT
rxn10147_c0	CBL1abc
rxn00414_c0	CBPS
rxn05517_c0	CD2t4pp
EX_cpd01012_e0	CD2tex
rxn01750_c0	CDPGLC46DH
rxn03908_c0	CDPMEK
rxn09692_c0	CHLt2
EX_cpd00098_e0	CHLtex
rxn10770_c0	CHOLD
rxn01256_c0	CHORM
rxn01255_c0	CHORS
rxn01805_c0	CITMCOAHm
rxn05211_c0	CITt2r
EX_cpd00137_e0	CITtex
rxn10473_c0	CLtex
EX_cpd00099_e0	CLtex
rxn00853_c0	CMPA
rxn03907_c0	CMS
rxn05467_c0	CO2t
EX_cpd00011_e0	CO2t
rxn03970_c0	COALDDH
rxn10474_c0	COBALT2tex
EX_cpd00149_e0	COBALT2tex
rxn02303_c0	CPPPGO
rxn00113_c0	CPS
rxn00256_c0	CS
rxn00717_c0	CSND
rxn00410_c0	CTPS1
rxn00412_c0	CTPS2
rxn10481_c0	CU2abcpp
EX_cpd00058_e0	CU2tex
rxn07312_c0	CYARTMT
rxn03535_c0	CYRDAAT
rxn05909_c0	CYS
rxn00566_c0	CYSDS
rxn00649_c0	CYSS
rxn05733_c0	CYSS_trdrd
rxn10806_c0	CYTBD2
rxn10113_c0	CYTBO3
rxn01368_c0	CYTD
EX_cpd00367_e0	CYTDt
rxn05198_c0	CYTDt2
rxn00364_c0	CYTK1
rxn01219_c0	CYTK2
rxn08291_c0	DAAD
rxn01858_c0	DADA
rxn05317_c0	DADNt2
EX_cpd00438_e0	DADNt4
rxn08297_c0	DAGK160
rxn05494_c0	DALAt2pp
EX_cpd00117_e0	DALAtex
rxn01972_c0	DAPDA
rxn00313_c0	DAPDC
rxn01974_c0	DAPE
rxn08306_c0	DASYN120
rxn08307_c0	DASYN140
rxn08308_c0	DASYN141
rxn08309_c0	DASYN160
rxn08310_c0	DASYN161
rxn08311_c0	DASYN180
rxn08312_c0	DASYN181
rxn05040_c0	DB4PS
rxn02277_c0	DBTS
rxn01672_c0	DCTPD
rxn00407_c0	DCTPD2
rxn01800_c0	DCYTD
EX_cpd00654_e0	DCYTt
rxn05205_c0	DCYTt2
rxn02429_c0	DDGALK
rxn05681_c0	DDGLCNt2r
EX_cpd00176_e0	DDGLCNtex
rxn01123_c0	DDGLK
rxn01332_c0	DDPA
rxn00328_c0	DDPGA
rxn00783_c0	DDPGALA
rxn02842_c0	DGC3D
rxn01509_c0	DGK1
EX_cpd00277_e0	DGSNt
rxn09688_c0	DGSNt2
rxn00898_c0	DHAD1
rxn04600_c0	DHCIND
rxn00686_c0	DHFR
rxn01603_c0	DHFS
rxn02504_c0	DHNPA2r
rxn08335_c0	DHORD2
rxn08336_c0	DHORD5
rxn01465_c0	DHORTS
rxn01626_c0	DHPD
rxn02190_c0	DHPM2
rxn04599_c0	DHPPD
rxn02475_c0	DHPPDA2
rxn02201_c0	DHPS2
rxn02212_c0	DHQS
rxn02213_c0	DHQTi
rxn06586_c0	DHRT_ivcoa
rxn09687_c0	DINSt2
EX_cpd03279_e0	DINStex
rxn03080_c0	DLDLBT
EX_cpd00971_e0	DM_na1_c
EX_cpd00036_e0	DM_succ_c
rxn01213_c0	DMATT
rxn02186_c0	DMORh
rxn01445_c0	DMPH
rxn08352_c0	DMPPS
rxn04996_c0	DMPPS_syn
rxn04674_c0	DMTPHT
rxn00190_c0	DNGALh
rxn00100_c0	DPCOAK
rxn01790_c0	DPR
rxn05649_c0	DSERt2
EX_cpd00550_e0	DSERtex
rxn01513_c0	DTMPK
rxn01518_c0	DURIK1
EX_cpd00412_e0	DURIt
rxn09685_c0	DURIt2
rxn01519_c0	DUTPDP
rxn03958_c0	DXPRIi
rxn03909_c0	DXPS
rxn01331_c0	E4PD
rxn05356_c0	EAR100y
rxn05355_c0	EAR120y
rxn05351_c0	EAR140y
rxn05353_c0	EAR40y
rxn05357_c0	EAR60y
rxn05352_c0	EAR80y
rxn02167_c0	ECOAH1
rxn02949_c0	ECOAH12
rxn03247_c0	ECOAH3
rxn03245_c0	ECOAH4
rxn02911_c0	ECOAH5
rxn03241_c0	ECOAH6
rxn03240_c0	ECOAH7
rxn02934_c0	ECOAH9ir
rxn03884_c0	EDA
rxn01477_c0	EDD
rxn06865_c0	EDTXS1
rxn06848_c0	EDTXS2
rxn00459_c0	ENO
rxn00539_c0	ETHAAL
EX_cpd00162_e0	ETHAt
rxn05551_c0	ETHAt2pp
EX_cpd00635_e0	EX_cbl1_e
EX_cpd10515_e0	EX_fe2_e
EX_cpd10516_e0	EX_fe3_e
EX_cpd00082_e0	EX_fru_e
EX_cpd00106_e0	EX_fum_e
EX_cpd01171_e0	EX_galt_e
EX_cpd00276_e0	EX_gam_e
EX_cpd00023_e0	EX_glu__L_e
EX_cpd00033_e0	EX_gly_e
EX_cpd00540_e0	EX_glyb_e
EX_cpd00100_e0	EX_glyc_e
rxn05581_c0	EX_glyc_e
EX_cpd00001_e0	EX_h2o_e
rxn05319_c0	EX_h2o_e
EX_cpd00214_e0	EX_hdca_e
EX_cpd00226_e0	EX_hxan_e
EX_cpd00246_e0	EX_ins_e
EX_cpd00205_e0	EX_k_e
rxn05206_c0	EX_k_e
EX_cpd00039_e0	EX_lys__L_e
EX_cpd00130_e0	EX_mal__L_e
EX_cpd00179_e0	EX_malt_e
EX_cpd00138_e0	EX_man_e
EX_cpd00637_e0	EX_met__D_e
EX_cpd00060_e0	EX_met__L_e
EX_cpd01914_e0	EX_metsox_S__L_e
EX_cpd00254_e0	EX_mg2_e
rxn05616_c0	EX_mg2_e
EX_cpd00030_e0	EX_mn2_e
EX_cpd00013_e0	EX_nh4_e
rxn05466_c0	EX_nh4_e
EX_cpd00355_e0	EX_nmn_e
rxn10181_c0	EX_nmn_e
EX_cpd00075_e0	EX_no2_e
EX_cpd00209_e0	EX_no3_e
EX_cpd00007_e0	EX_o2_e
rxn05468_c0	EX_o2_e
EX_cpd01080_e0	EX_ocdca_e
EX_cpd00064_e0	EX_orn_e
EX_cpd00009_e0	EX_pi_e
EX_cpd00129_e0	EX_pro__L_e
rxn10945_c0	EX_pro__L_e
EX_cpd00118_e0	EX_ptrc_e
EX_cpd01030_e0	EX_salcn_e
EX_cpd00588_e0	EX_sbt__D_e
EX_cpd00054_e0	EX_ser__L_e
EX_cpd00048_e0	EX_so4_e
EX_cpd00264_e0	EX_spmd_e
EX_cpd00076_e0	EX_sucr_e
EX_cpd00210_e0	EX_taur_e
EX_cpd00793_e0	EX_thmmp_e
EX_cpd00184_e0	EX_thymd_e
EX_cpd00794_e0	EX_tre_e
EX_cpd00065_e0	EX_trp__L_e
EX_cpd00268_e0	EX_tsul_e
EX_cpd03847_e0	EX_ttdca_e
EX_cpd00249_e0	EX_uri_e
EX_cpd00034_e0	EX_zn2_e
rxn08433_c0	FA100ACPHi
rxn08438_c0	FA80ACPHi
rxn00943_c0	FACOAE160
rxn08444_c0	FACOAE180
rxn11716_c0	FACOAE1836Z9Z12Z
rxn05736_c0	FACOAL140
rxn00947_c0	FACOAL160
rxn09449_c0	FACOAL180
rxn09436_c0	FAS140ACPm
rxn00786_c0	FBA
rxn01334_c0	FBA3
