biomass0	Biomass
MNXRMNXC3	MNXR01
rxn05514_c0	MNXR1036
EX_cpd00063_e0	MNXR1037
rxn00006_c0	MNXR1045
rxn05824_c0	MNXR10704
rxn11718_c0	MNXR10705
rxn01453_c0	MNXR11014
rxn03908_c0	MNXR1102
rxn03333_c0	MNXR111
rxn09692_c0	MNXR1146
EX_cpd00098_e0	MNXR1147
rxn10770_c0	MNXR1151
rxn01256_c0	MNXR1159
rxn01255_c0	MNXR1160
rxn01805_c0	MNXR1172
rxn05211_c0	MNXR1176
EX_cpd00137_e0	MNXR1183
rxn01827_c0	MNXR120
rxn04736_c0	MNXR12173
rxn10473_c0	MNXR1218
EX_cpd00099_e0	MNXR1218
rxn05467_c0	MNXR1225
EX_cpd00011_e0	MNXR1225
rxn03970_c0	MNXR1227
rxn02303_c0	MNXR1272
rxn00256_c0	MNXR1298
rxn00786_c0	MNXR13125
EX_cpd00367_e0	MNXR1378
rxn05198_c0	MNXR1379
rxn05317_c0	MNXR1406
EX_cpd00438_e0	MNXR1407
rxn05494_c0	MNXR1424
EX_cpd00117_e0	MNXR1425
rxn00313_c0	MNXR1430
rxn01974_c0	MNXR1432
rxn12643_c0	MNXR14387
rxn00020_c0	MNXR14507
rxn02277_c0	MNXR1455
rxn00258_c0	MNXR14578
rxn00735_c0	MNXR14719
rxn05953_c0	MNXR14762
rxn00953_c0	MNXR14768
EX_cpd00654_e0	MNXR1479
rxn05205_c0	MNXR1480
rxn05681_c0	MNXR1483
EX_cpd00176_e0	MNXR1484
rxn01123_c0	MNXR1485
rxn01332_c0	MNXR1486
rxn00328_c0	MNXR1487
rxn01459_c0	MNXR14923
rxn01670_c0	MNXR15016
rxn01750_c0	MNXR15051
rxn01816_c0	MNXR15065
rxn02842_c0	MNXR1516
rxn02260_c0	MNXR15262
EX_cpd00277_e0	MNXR1528
rxn09688_c0	MNXR1529
rxn02687_c0	MNXR15436
rxn04600_c0	MNXR1546
rxn02795_c0	MNXR15510
rxn02962_c0	MNXR15609
rxn00686_c0	MNXR1561
rxn03005_c0	MNXR15637
rxn03012_c0	MNXR15641
rxn03014_c0	MNXR15642
rxn02504_c0	MNXR1567
rxn01465_c0	MNXR1576
rxn03282_c0	MNXR15797
rxn01626_c0	MNXR1580
rxn04599_c0	MNXR1582
rxn03394_c0	MNXR15867
rxn02200_c0	MNXR1587
rxn01499_c0	MNXR159
rxn02212_c0	MNXR1594
rxn14054_c0	MNXR15972
rxn14089_c0	MNXR15973
rxn02261_c0	MNXR160
rxn03618_c0	MNXR16018
rxn09687_c0	MNXR1603
EX_cpd03279_e0	MNXR1604
rxn03860_c0	MNXR16204
rxn03906_c0	MNXR16236
rxn03921_c0	MNXR16239
rxn11663_c0	MNXR16307
rxn04726_c0	MNXR16994
rxn04727_c0	MNXR16995
rxn04737_c0	MNXR17004
rxn04760_c0	MNXR17026
rxn04908_c0	MNXR17153
rxn07258_c0	MNXR17265
rxn07261_c0	MNXR17268
rxn05142_c0	MNXR17296
rxn05143_c0	MNXR17297
rxn07312_c0	MNXR17333
rxn07680_c0	MNXR17649
rxn07684_c0	MNXR17653
rxn07688_c0	MNXR17657
rxn00100_c0	MNXR1772
rxn07876_c0	MNXR17827
rxn07883_c0	MNXR17833
rxn07885_c0	MNXR17835
rxn01790_c0	MNXR1788
rxn11710_c0	MNXR17903
rxn11712_c0	MNXR17904
rxn11716_c0	MNXR17908
rxn11725_c0	MNXR17916
rxn11809_c0	MNXR17974
rxn11834_c0	MNXR17999
rxn11838_c0	MNXR18003
rxn05649_c0	MNXR1803
EX_cpd00550_e0	MNXR1804
rxn01518_c0	MNXR1812
EX_cpd00412_e0	MNXR1814
rxn09685_c0	MNXR1815
rxn01519_c0	MNXR1816
rxn03958_c0	MNXR1818
rxn12191_c0	MNXR18214
rxn01331_c0	MNXR1822
rxn05353_c0	MNXR1844
rxn02167_c0	MNXR1863
rxn03247_c0	MNXR1867
rxn03245_c0	MNXR1868
rxn02911_c0	MNXR1869
rxn03241_c0	MNXR1870
rxn03240_c0	MNXR1871
rxn02934_c0	MNXR1873
rxn01477_c0	MNXR1874
rxn00459_c0	MNXR1898
rxn03917_c0	MNXR19002
EX_cpd00162_e0	MNXR1924
rxn05551_c0	MNXR1925
EX_cpd03847_e0	MNXR1956
EX_cpd00214_e0	MNXR1964
rxn00943_c0	MNXR1988
rxn08444_c0	MNXR1990
rxn11711_c0	MNXR1991
rxn05736_c0	MNXR1998
rxn10481_c0	MNXR19990
rxn00947_c0	MNXR2003
rxn06734_c0	MNXR20056
rxn09449_c0	MNXR2008
rxn04792_c0	MNXR2062
rxn01334_c0	MNXR2186
rxn00371_c0	MNXR2200
rxn05555_c0	MNXR2211
EX_cpd10515_e0	MNXR2212
rxn05195_c0	MNXR2227
EX_cpd10516_e0	MNXR2228
rxn00056_c0	MNXR2250
rxn11040_c0	MNXR22552
rxn02262_c0	MNXR2257
rxn04658_c0	MNXR22677
rxn01602_c0	MNXR2269
rxn01652_c0	MNXR2272
rxn02483_c0	MNXR228
rxn05937_c0	MNXR2293
rxn01492_c0	MNXR2301
rxn01653_c0	MNXR2316
rxn00691_c0	MNXR2317
EX_cpd00136_e0	MNXR233
rxn00799_c0	MNXR2338
rxn10152_c0	MNXR2343
rxn05561_c0	MNXR2345
EX_cpd00106_e0	MNXR2346
rxn03446_c0	MNXR239
rxn03638_c0	MNXR2417
rxn01629_c0	MNXR2422
rxn00611_c0	MNXR2438
rxn00612_c0	MNXR2439
rxn02373_c0	MNXR2454
rxn01975_c0	MNXR2456
rxn03887_c0	MNXR2498
rxn02173_c0	MNXR2500
EX_cpd00058_e0	MNXR25169
rxn05567_c0	MNXR2532
EX_cpd01171_e0	MNXR2533
rxn05569_c0	MNXR2545
EX_cpd00276_e0	MNXR2546
rxn03004_c0	MNXR2551
rxn04783_c0	MNXR2552
rxn06493_c0	MNXR2572
rxn05127_c0	MNXR2598
