MNXR100015	rxn08583
MNXR100018	rxn05567
MNXR100022	rxn00213
MNXR100024	rxn00187
MNXR100030	rxn00189
MNXR100034	rxn05569
MNXR100040	rxn00781
MNXR100041	rxn00782
MNXR100042	rxn04783
MNXR100066	rxn01241
MNXR100067	rxn06377
MNXR100068	rxn06600
MNXR100069	rxn06493
MNXR100074	rxn00646
MNXR100085	rxn00182
MNXR100107
MNXR100113	rxn05127
MNXR100137	rxn05287
MNXR100142	rxn00692
MNXR100144	rxn00239
MNXR100145	rxn09562
MNXR100177	rxn08608
MNXR100227	rxn08619
MNXR100228	rxn08620
MNXR100236	rxn05147
MNXR100237	rxn05226
MNXR100252	rxn03406
MNXR100253	rxn03407
MNXR100254	rxn03409
MNXR100258	rxn05155
MNXR100277	rxn00179
MNXR100281	rxn01641
MNXR100282	rxn02283
MNXR100283	rxn09502
MNXR100287	rxn00790
MNXR100288	rxn00193
MNXR100291	rxn00085
MNXR100293	rxn01802
MNXR100294	rxn06591
MNXR100295	rxn06937
MNXR100300	rxn05297
MNXR100304	rxn05734
MNXR100310	rxn01286
MNXR100312
MNXR100313	rxn00274
MNXR100314	rxn05181
MNXR100325	rxn01011
MNXR100328	rxn01102
MNXR100329	rxn08647
MNXR100330	rxn00908
MNXR100331	rxn00512
MNXR100332	rxn00324
MNXR100336	rxn01013
MNXR100343	rxn05581
MNXR100348	rxn00615
MNXR100368	rxn05582
MNXR100378	rxn03916
MNXR100381	rxn00913
MNXR100384	rxn00917
MNXR100389	rxn01115
MNXR100390	rxn01275
MNXR100392	rxn01226
MNXR100409	rxn00915
MNXR100410	rxn00758
MNXR100411	rxn01073
MNXR100413	rxn08669
MNXR100453	rxn00299
MNXR100455	rxn00300
MNXR100457	rxn00303
MNXR100464	rxn01225
MNXR100467	rxn01462
MNXR100482	rxn00102
MNXR100541	rxn01451
MNXR100543	rxn03249
MNXR100544	rxn03246
MNXR100545	rxn03244
MNXR100546	rxn03242
MNXR100547	rxn06777
MNXR100548	rxn03239
MNXR100550	rxn02933
MNXR100551	rxn06037
MNXR100555	rxn04750
MNXR100581	rxn00866
MNXR100583	rxn10162
MNXR100587	rxn00859
MNXR100598	rxn08708
MNXR100599	rxn08709
MNXR100602	rxn08710
MNXR100604	rxn08711
MNXR100606	rxn08712
MNXR100607	rxn08713
MNXR100612	rxn00216
MNXR100621	rxn03891
MNXR100628	rxn01825
MNXR100633
MNXR100639	rxn00867
MNXR100642	rxn02160
MNXR100652	rxn04453
MNXR100656	rxn01930
MNXR100657	rxn08762
MNXR100658	rxn00060
MNXR100662
MNXR100694	rxn02503
MNXR100700	rxn01014
MNXR100734	rxn01302
MNXR100735	rxn01301
MNXR100736	rxn01303
MNXR100737	rxn01300
MNXR100740	rxn00015
MNXR100747	rxn01297
MNXR100748	rxn05201
MNXR100752	rxn00836
