10FTHFGLULL	MNXR94671
2DHPFALDL	MNXR94792
2HBO	MNXR94796
2OH3K5MPPISO	MNXR94815
34DHOXPEGOX	MNXR94833
34HPPOR	MNXR94843
3HAO	MNXR94889
3HBCOAHL	MNXR94891
3HLYTCL	MNXR94896
3OAR100	MNXR94941
3OAR120	MNXR94942
3OAR40_1	MNXR94951
3OAR60	MNXR94952
3OAR80	MNXR94953
3OAS80	MNXR94964
4ABUTD	MNXR94991
4CMLCL_kt	MNXR94999
4HTHRS	MNXR95024
56DH5FLURAAMH	MNXR95055
5FLURAPRT	MNXR95071
5HLTDL	MNXR95078
5HXKYNDCL	MNXR95085
A5PISO	MNXR95132
AACOAR_syn	MNXR95135
AACOAT	MNXR95136
AASPh	MNXR95159
ABUTD	MNXR95191
ACACT1	MNXR95194
ACACT10m	MNXR95195
ACACT2	MNXR95196
ACACT3	MNXR95197
ACACT4m	MNXR95198
ACACT5m	MNXR95199
ACACT6m	MNXR95201
ACACT7m	MNXR95203
ACALDt	MNXR95212
ACAS_2ahbut	MNXR95215
ACBIPGT	MNXR95216
ACCOAC	MNXR95219
ACCOAC_1	MNXR95220
ACCOAL	MNXR95221
ACGApts	MNXR95253
ACGK	MNXR95256
ACGS	MNXR95259
ACOA40OR	MNXR95302
ACOAD1	MNXR95305
ACOAD10m	MNXR95306
ACOAD2	MNXR95308
ACOAD3	MNXR95310
ACOAD4	MNXR95311
ACOAD5	MNXR95313
ACOAD6	MNXR95315
ACOAD7	MNXR95316
ACOAD8m	MNXR95318
ACOAD9m	MNXR95319
ACOADH2	MNXR95362
ACOATA	MNXR95376
ACODA	MNXR95377
ACONTa	MNXR95386
ACONTb	MNXR95387
ACOTA	MNXR95388
ACPS1	MNXR95403
ACPh	MNXR95410
ACS	MNXR95413
ACYP_2	MNXR95427
ACt4pp	MNXR95430
ADA	MNXR95432
ADCL	MNXR95436
ADCS	MNXR95440
ADCYRS	MNXR95441
ADECn	MNXR95444
ADK1	MNXR95450
ADK2	MNXR95451
ADMDC	MNXR95455
ADNK1	MNXR95456
ADNUC	MNXR95459
ADNt2	MNXR95461
ADOCBIK	MNXR95465
ADOCBLS	MNXR95469
ADPRDP	MNXR95480
ADPT	MNXR95482
ADSL1r	MNXR95493
ADSL2r	MNXR95494
ADSS	MNXR95495
AFAT	MNXR95501
AGDC	MNXR95528
AGDI	MNXR95529
AGGPR	MNXR95530
AGMHE	MNXR95551
AGPAT120	MNXR95558
AGPAT140	MNXR95559
AGPAT141	MNXR95560
AGPAT160	MNXR95561
AGPAT161	MNXR95564
AGPAT180	MNXR95565
AGPAT181	MNXR95567
AGTi	MNXR95618
AICART	MNXR95639
AIRCr	MNXR95646
AKGDH	MNXR95655
AKGDHe2r	MNXR95656
AKGt2r	MNXR95661
AKP1	MNXR95665
ALAALAr	MNXR95678
ALAR	MNXR95693
ALCD19	MNXR95709
ALCD2ir	MNXR95725
ALDD22x	MNXR95748
ALDD2x	MNXR95749
ALDD31	MNXR95752
ALKP	MNXR95764
AM6PTh	MNXR95795
AMAOTr	MNXR95806
AMID	MNXR95812
AMID2	MNXR95813
AMID3	MNXR95814
AMID4	MNXR95815
AMID5	MNXR95816
AMMQT8_2	MNXR95823
AMPTASECG	MNXR95828
ANNAT	MNXR95841
ANPRT	MNXR95842
ANS	MNXR95843
ANS2	MNXR95844
AOOA	MNXR95852
AOXHEXCYCL	MNXR95853
AOXSr	MNXR95854
APAPTm	MNXR95860
APATr	MNXR95865
APLh	MNXR95883
APPAT	MNXR95892
APRAUR	MNXR95898
APSR	MNXR95901
ARBTptspp	MNXR95932
ARD_1	MNXR95227
ARGDC	MNXR95940
ARGN	MNXR95945
ARGORNt7	MNXR95946
ARGSL	MNXR95948
ARGSS	MNXR95949
ASAD	MNXR96039
ASNN	MNXR96056
ASNS1	MNXR96059
ASP1DC	MNXR96077
ASPATh	MNXR96079
ASPCT	MNXR96080
ASPK	MNXR96085
ASPt2_2	MNXR96104
ATDAMh	MNXR96117
ATDGDm	MNXR96118
ATGDm	MNXR96119
ATPM	MNXR96131
ATPPRT	MNXR96132
ATPS4r	MNXR96136
AUS	MNXR96145
BACCL	MNXR96208
BCTA_glu_h	MNXR96229
BCTA_val_h	MNXR96230
BDH	MNXR96232
BETALDHx	MNXR96237
BETALDHy	MNXR96238
BPNT	MNXR96321
BTNC	MNXR96330
BTND1	MNXR96331
BTS4	MNXR96343
Biomass
CA2t3pp	MNXR96437
CAT	MNXR96455
CBIAT	MNXR96465
CBL1abc	MNXR96471
CBPS	MNXR96485
CD2t4pp	MNXR96498
CDPGLC46DH	MNXR96556
CDPMEK	MNXR96558
CHLt2	MNXR96692
CHOLD	MNXR96697
CHORM	MNXR96708
CHORS	MNXR96709
CITCIb	MNXR96730
CITMCOAHm	MNXR96732
CITt2r	MNXR96746
CLtex	MNXR96797
CMPA	MNXR96800
CMS	MNXR96807
CO2t	MNXR96810
COALDDH	MNXR96813
COBALT2tex	MNXR96821
CPPPGO	MNXR96880
CPS	MNXR96884
CS	MNXR96920
CSND	MNXR96927
CTPS1	MNXR96944
CTPS2	MNXR96945
CU2abcpp	MNXR96950
CYARTMT	MNXR96958
CYOO2pp	MNXR96969
CYRDAAT	MNXR96982
CYS	MNXR96986
CYSDS	MNXR96994
CYSS	MNXR97007
CYSS_trdrd	MNXR95636
CYSTS	MNXR97019
CYTBD2pp	MNXR97032
CYTBDpp	MNXR97031
CYTBO3	MNXR97035
CYTBO3_4pp	MNXR97036
CYTD	MNXR97039
CYTDt2	MNXR97044
CYTK1	MNXR97047
CYTK2	MNXR97053
DAAD	MNXR97073
DADA	MNXR97076
DADNt2	MNXR97080
DAGK160	MNXR97094
DALAt2pp	MNXR97135
DAPDA	MNXR97140
DAPDC	MNXR97141
DAPE	MNXR97143
DASYN120	MNXR97154
DASYN140	MNXR97155
DASYN141	MNXR97156
DASYN160	MNXR97157
DASYN161	MNXR97159
DASYN180	MNXR97160
DASYN181	MNXR97161
DB4PS	MNXR97178
DBTS	MNXR97180
DCTPD	MNXR97201
DCTPD2	MNXR97202
DCYTD	MNXR97207
DCYTt2	MNXR97209
DDGALK	MNXR97213
DDGLCNt2r	MNXR97214
DDGLK	MNXR97216
DDPA	MNXR97218
DDPGA	MNXR97219
DDPGALA	MNXR97220
DGC3D	MNXR97263
DGK1	MNXR97320
DGSNt2	MNXR97325
DHAD1	MNXR97358
DHCIND	MNXR97378
DHFR	MNXR97401
DHFS	MNXR97403
DHNPA2r	MNXR97415
DHORD2	MNXR97418
DHORD5	MNXR97421
DHORTS	MNXR97428
DHPD	MNXR97432
DHPM2	MNXR97433
DHPPD	MNXR97434
DHPPDA2	MNXR97435
DHPS2	MNXR97439
DHQS	MNXR97447
DHQTi	MNXR97449
DHRT_ivcoa	MNXR97452
DINSt2	MNXR97465
DLDLBT	MNXR97501
DMATT	MNXR97512
DMORh	MNXR97523
DMPH
DMPPS	MNXR97524
DMPPS_syn	MNXR97525
DMTPHT	MNXR97536
DNGALh	MNXR97678
DPCOAK	MNXR97762
DPR	MNXR97779
DSERt2	MNXR97798
DTMPK	MNXR97804
DURIK1	MNXR97817
DURIt2	MNXR97820
DUTPDP	MNXR97822
DXPRIi	MNXR97830
DXPS	MNXR97831
E4PD	MNXR97842
EAR100y	MNXR97846
EAR120y	MNXR97848
EAR140y	MNXR97852
EAR40y	MNXR97864
EAR60y	MNXR97866
EAR80y	MNXR97868
ECOAH1	MNXR97883
ECOAH12	MNXR97885
ECOAH3	MNXR97888
ECOAH4	MNXR97889
ECOAH5	MNXR97890
ECOAH6	MNXR97891
ECOAH7	MNXR97892
ECOAH9ir	MNXR97894
EDA	MNXR97897
EDD	MNXR97898
EDTXS1	MNXR97899
EDTXS2	MNXR97901
ENO	MNXR97932
ETHAAL	MNXR97968
ETHAt2pp	MNXR97975
ETOHti	MNXR97980
EX_2ddglcn_e	MNXR98011
EX_4hbz_e	MNXR98062
EX_ASPt5n_e
EX_Biomass_e
EX_DNA_e
EX_ac_e	MNXR98196
EX_acald_e	MNXR98198
EX_acgam_e	MNXR98208
EX_adn_e	MNXR98230
EX_akg_e	MNXR98247
EX_ala__D_e	MNXR98255
EX_arab__L_e	MNXR98278
EX_arbt_e	MNXR98283
EX_arg__L_e	MNXR98286
EX_ca2_e	MNXR98318
EX_cbl1_e	MNXR98326
EX_cd2_e	MNXR98330
EX_chol_e	MNXR98339
EX_cit_e	MNXR98346
EX_cl_e	MNXR98349
EX_co2_e	MNXR98353
EX_cobalt2_e	MNXR98356
EX_cu2_e	MNXR98384
EX_cytd_e	MNXR98392
EX_dad_2_e	MNXR98393
EX_dcyt_e	MNXR98402
EX_dgsn_e	MNXR98408
EX_din_e	MNXR98418
EX_duri_e	MNXR98435
EX_etha_e	MNXR98459
EX_etoh_e	MNXR98461
EX_fe2_e	MNXR98464
EX_fe3_e	MNXR98465
EX_for_e	MNXR98490
EX_fru_e	MNXR98492
EX_fum_e	MNXR98523
EX_galt_e	MNXR98554
EX_galur_e	MNXR98555
EX_gam_e	MNXR98557
EX_glc__D_e	MNXR98569
EX_glcur_e	MNXR98577
EX_gln__L_e	MNXR98579
EX_glu__L_e	MNXR98583
EX_gly_e	MNXR98591
EX_glyb_e	MNXR98597
EX_glyc_e	MNXR98602
EX_glycogen_e	MNXR98605
EX_h2o_e	MNXR98641
EX_h_e	MNXR98643
EX_hdca_e	MNXR98650
EX_hxan_e	MNXR98665
EX_ins_e	MNXR98683
EX_k_e	MNXR98686
EX_lys__L_e	MNXR98724
EX_mal__L_e	MNXR98731
EX_malt_e	MNXR98733
EX_man_e	MNXR98741
EX_met__D_e	MNXR98752
EX_met__L_e	MNXR98753
EX_metox__R_e	MNXR98754
EX_metsox_S__L_e	MNXR98755
EX_mg2_e	MNXR98756
EX_mn2_e	MNXR98761
EX_mqn7_e
EX_na1_e	MNXR97601
EX_nh4_e	MNXR98786
EX_nmn_e	MNXR98789
EX_no2_e	MNXR98790
EX_no3_e	MNXR98791
EX_o2_e	MNXR98799
EX_ocdca_e	MNXR98807
EX_orn_e	MNXR98813
EX_pi_e	MNXR98854
EX_ppi_e	MNXR98860
EX_pro__L_e	MNXR98866
EX_protein_e
EX_ptrc_e	MNXR98888
EX_pyr_e	MNXR98895
EX_q8_e
EX_q8h2_e
EX_rna_c0
EX_salcn_e	MNXR98923
EX_sbt__D_e	MNXR98925
EX_ser__D_e	MNXR98929
EX_ser__L_e	MNXR98930
EX_so4_e	MNXR98935
EX_spmd_e	MNXR98940
EX_succ_e	MNXR97619
EX_sucr_e	MNXR98949
EX_taur_e	MNXR98956
EX_thmmp_e	MNXR98975
EX_thymd_e	MNXR98980
EX_tre_e	MNXR98988
EX_trp__L_e	MNXR98991
EX_tsul_e	MNXR98995
EX_ttdca_e	MNXR98996
EX_uri_e	MNXR99026
EX_xyl__D_e	MNXR99051
EX_zn2_e	MNXR98152
FA100ACPHi	MNXR99086
FA80ACPHi	MNXR99125
FACOAE160	MNXR99131
FACOAE180	MNXR99133
FACOAE1836Z9Z12Z	MNXR99137
FACOAL140	MNXR99145
FACOAL160	MNXR99153
FACOAL180	MNXR99164
FAS140ACPm	MNXR99392
FBA	MNXR99459
