R00001	MNXR106333
R00002	MNXR106334
R00004	MNXR100808
R00005	MNXR95786
R00006	MNXR106335
R00008	MNXR106336
R00009	MNXR96455
R00010	MNXR95163
R00011	MNXR106337
R00012	MNXR106338
R00013	MNXR100303
R00014	MNXR102428
R00015	MNXR106339
R00017	MNXR106340
R00018	MNXR100740
R00019	MNXR100757
R00021	MNXR100245
R00022	MNXR95628
R00023	MNXR106341
R00024	MNXR103435
R00025	MNXR106342
R00026	MNXR106343
R00027	MNXR106344
R00028	MNXR101350
R00029	MNXR106345
R00031	MNXR106346
R00032	MNXR96222
R00033	MNXR106347
R00034	MNXR106348
R00036	MNXR103095
R00038	MNXR106349
R00039	MNXR106350
R00041	MNXR106351
R00042	MNXR106352
R00043	MNXR106353
R00044	MNXR106354
R00045	MNXR106355
R00047	MNXR106356
R00048	MNXR106357
R00049	MNXR106358
R00052	MNXR106359
R00053	MNXR106360
R00054	MNXR106361
R00055	MNXR106362
R00056	MNXR106363
R00057	MNXR106364
R00058	MNXR106365
R00059	MNXR95638
R00060	MNXR106366
R00061	MNXR106367
R00062	MNXR106368
R00063	MNXR106369
R00066	MNXR103430
R00067	MNXR106370
R00068	MNXR96043
R00069	MNXR106371
R00070	MNXR106372
R00072	MNXR106373
R00073	MNXR106374
R00074	MNXR106375
R00075	MNXR106376
R00076	MNXR106377
R00077	MNXR106378
R00078	MNXR99561
R00080	MNXR106379
R00081	MNXR106380
R00082	MNXR106381
R00083	MNXR106382
R00084	MNXR100658
R00085	MNXR96128
R00086	MNXR96131
R00087	MNXR102054
R00088	MNXR96130
R00089	MNXR95444
R00090	MNXR101879
R00091	MNXR106383
R00092	MNXR106384
R00093	MNXR100289
R00094	MNXR100097
R00095	MNXR106385
R00097	MNXR106386
R00099	MNXR106387
R00100	MNXR106388
R00101	MNXR106389
R00102	MNXR101888
R00103	MNXR101861
R00104	MNXR101882
R00105	MNXR106390
R00106	MNXR106391
R00107	MNXR106392
R00108	MNXR106393
R00109	MNXR106394
R00111	MNXR106395
R00112	MNXR101898
R00113	MNXR106396
R00114	MNXR100291
R00115	MNXR100098
R00118	MNXR101798
R00119	MNXR106397
R00120	MNXR106398
R00122	MNXR96129
R00123	MNXR106399
R00124#1	MNXR106400
R00124#2	MNXR96123
R00125	MNXR95856
R00126	MNXR95435
R00127	MNXR95450
R00128	MNXR106401
R00129	MNXR106402
R00130	MNXR97762
R00131	MNXR105153
R00132	MNXR100482
R00134	MNXR106403
R00135	MNXR106404
R00137	MNXR95841
R00138	MNXR103069
R00139	MNXR106405
R00140	MNXR106406
R00141	MNXR106407
R00143	MNXR100556
R00145	MNXR106408
R00146	MNXR106409
R00148	MNXR106410
R00149	MNXR96884
R00150	MNXR96482
R00152	MNXR106411
R00153	MNXR106412
R00155	MNXR101931
R00156	MNXR101935
R00157	MNXR106413
R00158	MNXR105118
R00159	MNXR101933
R00160	MNXR99209
R00161	MNXR95501
R00162	MNXR106414
R00164	MNXR106415
R00165	MNXR106416
R00166	MNXR106417
R00167	MNXR106418
R00168	MNXR106419
R00169	MNXR106420
R00170	MNXR106421
R00172	MNXR106422
R00173	MNXR103368
R00174	MNXR103361
R00175	MNXR106423
R00177	MNXR101407
R00178	MNXR95455
R00179	MNXR95394
R00180	MNXR106424
R00181	MNXR95824
R00182	MNXR106425
R00183	MNXR102037
R00184	MNXR95857
R00185	MNXR95456
R00187	MNXR96340
R00188	MNXR96321
R00189	MNXR101897
R00190	MNXR95482
R00191	MNXR95886
R00192	MNXR95492
R00193	MNXR106426
R00194	MNXR95625
R00195	MNXR97138
R00196	MNXR106427
R00197	MNXR106428
R00198	MNXR106429
R00199	MNXR103140
R00200	MNXR103371
R00203	MNXR106430
R00205	MNXR95787
R00206	MNXR103107
R00207	MNXR106431
R00208	MNXR102525
R00209	MNXR102425
R00210	MNXR106432
R00211	MNXR106433
R00212	MNXR102514
R00213	MNXR106434
R00214	MNXR101446
R00215	MNXR101339
R00216	MNXR101443
R00217	MNXR102097
R00218	MNXR106435
R00219	MNXR102097
R00220	MNXR104339
R00221	MNXR104338
R00223	MNXR104339
R00224	MNXR103379
R00226	MNXR95271
R00227	MNXR95363
R00228	MNXR95210
R00229	MNXR106436
R00230	MNXR103319
R00233	MNXR101412
R00235	MNXR95413
R00236	MNXR105304
R00237	MNXR106437
R00238	MNXR95194
R00239	MNXR100277
R00241	MNXR106438
R00243	MNXR100085
R00245	MNXR103352
R00248	MNXR100086
R00250	MNXR106439
R00251	MNXR102200
R00253	MNXR100024
R00254	MNXR106440
R00256	MNXR100030
R00257	MNXR97678
R00258	MNXR95698
R00259	MNXR95259
R00260	MNXR100288
R00261	MNXR95942
R00262	MNXR106441
R00263	MNXR106442
R00264	MNXR106443
R00265	MNXR106444
R00267	MNXR100781
R00268	MNXR105305
R00269	MNXR105306
R00270	MNXR100762
R00271	MNXR106445
R00272	MNXR102243
R00273	MNXR106446
R00274	MNXR100446
R00275	MNXR104498
R00276	MNXR106447
R00277	MNXR103355
R00278	MNXR102438
R00279	MNXR106448
R00280	MNXR106449
R00281	MNXR106450
R00282	MNXR106451
R00283	MNXR106452
R00284	MNXR106453
R00286	MNXR105063
R00287	MNXR105070
R00289	MNXR100022
R00291	MNXR105057
R00292	MNXR106454
R00293	MNXR106455
R00294	MNXR106456
R00295	MNXR106457
R00296	MNXR106458
R00297	MNXR106459
R00298	MNXR106460
R00299	MNXR100612
R00300	MNXR106461
R00301	MNXR106462
R00302	MNXR106463
R00303	MNXR99912
R00304	MNXR99844
R00305	MNXR106464
R00306	MNXR96241
R00307	MNXR105254
R00308	MNXR106465
R00310	MNXR99471
R00311	MNXR106466
R00312	MNXR106467
R00313	MNXR106468
R00314	MNXR106469
R00315	MNXR95269
R00316	MNXR105307
R00317	MNXR95427
R00318	MNXR106470
R00319	MNXR101118
R00320	MNXR106471
R00321	MNXR95815
R00322	MNXR106472
R00324	MNXR106473
R00325	MNXR106474
R00326	MNXR106475
R00327	MNXR106476
R00328	MNXR101928
R00329	MNXR106477
R00330	MNXR96119
R00331	MNXR106478
R00332	MNXR100144
R00333	MNXR106479
R00334	MNXR106480
R00335	MNXR102043
R00336	MNXR103109
R00337	MNXR106481
R00338	MNXR106482
R00339	MNXR104718
R00340	MNXR97802
R00341	MNXR103099
R00342	MNXR101439
R00343	MNXR101444
R00344	MNXR102391
R00345	MNXR103096
R00346	MNXR106483
R00347	MNXR106484
R00348	MNXR106485
R00350	MNXR106486
R00351	MNXR96920
R00352	MNXR95268
R00353	MNXR106487
R00354	MNXR106488
R00355	MNXR96079
R00357	MNXR96088
R00359	MNXR97153
R00360	MNXR101715
R00361	MNXR106489
R00362	MNXR96731
R00363	MNXR106490
R00364	MNXR106491
R00365	MNXR106492
R00366	MNXR100352
R00367	MNXR100391
R00368	MNXR106493
R00369	MNXR95618
R00371	MNXR100313
R00372	MNXR100364
R00373	MNXR106494
R00374	MNXR106495
R00375	MNXR106496
R00376	MNXR106497
R00377	MNXR106498
R00378	MNXR106499
R00379	MNXR106500
R00380	MNXR97627
R00381	MNXR106501
R00382	MNXR106502
R00383	MNXR106503
R00384	MNXR106504
R00385	MNXR106505
R00387	MNXR106506
R00388	MNXR106507
R00389	MNXR106508
R00390	MNXR106509
R00391	MNXR100928
R00392	MNXR106510
R00393	MNXR106511
R00394	MNXR106512
R00395	MNXR106513
R00396	MNXR95687
R00397	MNXR96078
R00398	MNXR106514
R00399	MNXR106515
R00400	MNXR96100
R00401	MNXR95693
R00402	MNXR106516
R00405	MNXR104635
R00406	MNXR106517
R00407	MNXR104617
R00408	MNXR99636
R00409	MNXR101415
R00410	MNXR102148
R00411	MNXR104362
R00412	MNXR106518
R00414	MNXR105025
R00416	MNXR106519
R00417	MNXR106520
R00418	MNXR105027
R00420	MNXR105024
R00421	MNXR106521
R00422	MNXR106522
R00423	MNXR106523
R00424	MNXR100453
R00425	MNXR100455
R00426	MNXR102052
R00428	MNXR105308
R00429	MNXR100457
R00430	MNXR100460
R00431	MNXR102487
R00432	MNXR104637
R00434	MNXR100463
R00435	MNXR106524
R00436	MNXR106525
R00437	MNXR106526
R00438	MNXR106527
R00439	MNXR106528
R00440	MNXR106529
R00441	MNXR106530
R00442	MNXR106531
R00443	MNXR106532
R00444	MNXR106533
R00445	MNXR106534
R00446	MNXR106535
R00447	MNXR101262
R00448	MNXR106536
R00449	MNXR101258
R00451	MNXR97141
R00452	MNXR106537
R00453	MNXR106538
R00454	MNXR106539
R00457	MNXR106540
R00458	MNXR106541
R00459	MNXR106542
R00460	MNXR101263
R00461	MNXR101254
R00462	MNXR101256
R00463	MNXR106543
R00465	MNXR100332
R00466	MNXR100305
R00468	MNXR106544
R00469	MNXR105091
R00470	MNXR97219
R00471	MNXR106545
R00472	MNXR101347
R00473	MNXR106546
R00474	MNXR106547
R00475	MNXR100338
R00476	MNXR106548
R00477	MNXR106549
R00478	MNXR106550
R00479	MNXR100789
R00480	MNXR96085
R00481	MNXR96094
R00482	MNXR106551
R00483	MNXR96060
R00484	MNXR106552
R00485	MNXR96056
R00486	MNXR106553
R00487	MNXR106554
R00488	MNXR106555
R00489	MNXR96077
R00490	MNXR96099
R00491	MNXR96097
R00493	MNXR106556
R00494	MNXR100136
R00497	MNXR100450
R00499	MNXR106557
R00501	MNXR105059
R00502	MNXR100014
R00503	MNXR105080
R00504	MNXR106558
R00505	MNXR105058
R00506	MNXR106559
R00507	MNXR102378
R00508	MNXR96322
R00509	MNXR95159
R00510	MNXR106560
R00511	MNXR102034
R00512	MNXR97047
R00513	MNXR97041
R00514	MNXR96559
R00515	MNXR102053
R00516	MNXR105173
R00517	MNXR97042
R00518	MNXR106561
R00519	MNXR99475
R00521	MNXR99473
R00522	MNXR102233
R00524	MNXR99615
R00525	MNXR101945
R00526	MNXR106562
R00527	MNXR104357
R00528	MNXR106563
R00529	MNXR104240
R00530	MNXR104444
R00531	MNXR106564
R00532	MNXR106565
R00533	MNXR104649
R00534	MNXR106566
R00535	MNXR106567
R00536	MNXR106568
R00537	MNXR106569
R00538	MNXR106570
R00539	MNXR106571
R00540	MNXR106572
R00542	MNXR106573
R00543	MNXR106574
R00544	MNXR106575
R00545	MNXR106576
R00546	MNXR106577
R00547	MNXR106578
R00548	MNXR95393
R00549	MNXR103429
R00550	MNXR106579
R00551	MNXR95945
R00552	MNXR95941
R00554	MNXR95943
R00555	MNXR106580
R00557	MNXR106581
R00558	MNXR106582
R00559	MNXR106583
R00562	MNXR106584
R00563	MNXR101999
R00565	MNXR106585
R00566	MNXR95940
R00567	MNXR106586
R00568	MNXR97202
R00569	MNXR102045
R00570	MNXR101936
R00571	MNXR96944
R00572	MNXR103373
R00573	MNXR96945
R00574	MNXR106587
R00575	MNXR96485
R00576	MNXR105309
R00577	MNXR106588
R00578	MNXR96059
R00579	MNXR106589
R00581	MNXR106590
R00582	MNXR103260
R00584	MNXR106591
R00585	MNXR104504
R00586	MNXR104275
R00588	MNXR104361
R00589	MNXR104348
R00590	MNXR104344
R00594	MNXR106592
R00595	MNXR106593
R00596	MNXR106594
R00597	MNXR106595
R00598	MNXR106596
R00599	MNXR106597
R00600	MNXR106598
R00601	MNXR106599
R00602	MNXR103159
R00603	MNXR106600
R00604	MNXR95732
R00605	MNXR95708
R00606	MNXR106601
R00608	MNXR106602
R00609	MNXR106603
R00610	MNXR104272
R00611	MNXR106604
R00612	MNXR106605
R00614	MNXR106606
R00615	MNXR104756
R00616	MNXR104888
R00617	MNXR104907
R00618	MNXR104825
R00619	MNXR104886
R00621	MNXR105310
R00623	MNXR106607
R00624	MNXR106608
R00625	MNXR106609
R00626	MNXR106610
R00627	MNXR106611
R00628	MNXR106612
R00629	MNXR106613
R00630	MNXR106614
R00631	MNXR106570
R00634	MNXR106615
R00635	MNXR106616
R00636	MNXR106617
R00637	MNXR106618
R00638	MNXR106575
R00639	MNXR106619
R00640	MNXR106620
R00643	MNXR106621
R00644	MNXR106622
R00645	MNXR106623
R00646	MNXR106624
R00647	MNXR106625
R00648	MNXR101478
R00649	MNXR106626
R00650	MNXR100577
R00651	MNXR95634
R00652	MNXR106627
R00653	MNXR99603
R00654	MNXR101474
R00655	MNXR106628
R00656	MNXR106629
R00657	MNXR106630
R00658	MNXR97932
R00659	MNXR103372
R00660	MNXR105032
R00661	MNXR106631
R00662	MNXR102055
R00664	MNXR106632
R00665	MNXR106633
R00666	MNXR106634
R00667	MNXR102220
R00668	MNXR106635
R00669	MNXR95377
R00670	MNXR102209
R00671	MNXR102218
R00672	MNXR106636
R00673	MNXR104941
R00674	MNXR104946
R00675	MNXR106637
R00676	MNXR106638
R00677	MNXR104945
R00678	MNXR104944
R00679	MNXR106639
R00681	MNXR106640
R00682	MNXR106641
R00683	MNXR106642
R00684	MNXR104947
R00685	MNXR101250
R00686	MNXR106643
R00688	MNXR106644
R00689	MNXR102628
R00690	MNXR106645
R00691	MNXR95958
R00692	MNXR106646
R00693	MNXR106647
R00694	MNXR102631
R00695	MNXR106648
R00697	MNXR106649
R00698	MNXR106645
R00699	MNXR102650
R00700	MNXR101899
R00702	MNXR103264
