rxn00814	MNXR100002
rxn11552	MNXR100003
rxn09983	MNXR100008
rxn09984	MNXR100009
rxn02596	MNXR100010
rxn00355	MNXR100014
rxn08583	MNXR100015
rxn05567	MNXR100018
rxn08586	MNXR100018
rxn08587	MNXR100019
rxn05673	MNXR100020
rxn08588	MNXR100020
rxn08589	MNXR100021
rxn00213	MNXR100022
rxn05162	MNXR100023
rxn08573	MNXR100023
rxn00187	MNXR100024
rxn08585	MNXR100025
rxn10911	MNXR100025
rxn05566	MNXR100026
rxn08584	MNXR100026
rxn00189	MNXR100030
rxn05568	MNXR100031
rxn08591	MNXR100031
rxn13642	MNXR100031
rxn08590	MNXR100032
rxn05569	MNXR100034
rxn08592	MNXR100034
rxn08593	MNXR100035
rxn00781	MNXR100040
rxn00782	MNXR100041
rxn04783	MNXR100042
rxn12797	MNXR100048
rxn12798	MNXR100049
rxn01089	MNXR100051
rxn05570	MNXR100052
rxn08595	MNXR100053
rxn00979	MNXR100060
rxn09680	MNXR100061
rxn09752	MNXR100061
rxn11574	MNXR100063
rxn09498	MNXR100064
rxn09499	MNXR100065
rxn01241	MNXR100066
rxn06377	MNXR100067
rxn06600	MNXR100068
rxn06493	MNXR100069
rxn00646	MNXR100074
rxn00920	MNXR100078
rxn02273	MNXR100083
rxn00182	MNXR100085
rxn00184	MNXR100086
rxn08597	MNXR100087
rxn08598	MNXR100088
rxn13296	MNXR100090
rxn08599	MNXR100091
rxn00639	MNXR100092
rxn09705	MNXR100095
rxn08600	MNXR100096
rxn09815	MNXR100096
rxn00070	MNXR100097
rxn00086	MNXR100098
rxn02449	MNXR100099
rxn10525	MNXR100100
rxn10526	MNXR100101
rxn10527	MNXR100102
rxn10528	MNXR100103
rxn10529	MNXR100104
rxn10530	MNXR100105
rxn10531	MNXR100106
rxn03962	MNXR100108
rxn01487	MNXR100111
rxn05127	MNXR100113
rxn05128	MNXR100114
rxn00819	MNXR100115
rxn10753	MNXR100127
rxn04038	MNXR100129
rxn03635	MNXR100130
rxn08603	MNXR100131
rxn08604	MNXR100132
rxn00350	MNXR100136
rxn05287	MNXR100137
rxn01201	MNXR100140
rxn00692	MNXR100142
rxn00239	MNXR100144
rxn09562	MNXR100145
rxn04042	MNXR100146
rxn08605	MNXR100155
rxn08607	MNXR100176
rxn08608	MNXR100177
rxn10116	MNXR100177
rxn05194	MNXR100178
rxn13297	MNXR100180
rxn08617	MNXR100188
rxn09679	MNXR100188
rxn09875	MNXR100188
rxn05571	MNXR100209
rxn08609	MNXR100209
rxn08610	MNXR100210
rxn12424	MNXR100210
rxn05580	MNXR100211
rxn13298	MNXR100211
rxn01730	MNXR100212
rxn01873	MNXR100213
rxn11960	MNXR100213
rxn13299	MNXR100214
rxn08611	MNXR100215
rxn01990	MNXR100219
rxn01989	MNXR100220
rxn05572	MNXR100221
rxn08613	MNXR100221
rxn08614	MNXR100222
rxn12442	MNXR100222
rxn13643	MNXR100223
rxn13300	MNXR100224
rxn08619	MNXR100227
rxn08620	MNXR100228
rxn08621	MNXR100231
rxn05574	MNXR100234
rxn08622	MNXR100234
rxn08623	MNXR100235
rxn05147	MNXR100236
rxn08606	MNXR100236
rxn05226	MNXR100237
rxn08612	MNXR100237
rxn05573	MNXR100238
rxn08616	MNXR100238
rxn00695	MNXR100243
rxn12822	MNXR100245
rxn02100	MNXR100250
rxn03406	MNXR100252
rxn03407	MNXR100253
rxn03409	MNXR100254
rxn06520	MNXR100256
rxn10534	MNXR100256
rxn06437	MNXR100257
rxn05155	MNXR100258
rxn05196	MNXR100258
rxn08624	MNXR100258
rxn11101	MNXR100258
rxn11233	MNXR100258
rxn08625	MNXR100259
rxn10928	MNXR100259
rxn09678	MNXR100260
rxn09814	MNXR100260
rxn13302	MNXR100260
rxn05216	MNXR100261
rxn13301	MNXR100262
rxn06549	MNXR100268
rxn03856	MNXR100275
rxn08628	MNXR100276
rxn10136	MNXR100276
rxn00179	MNXR100277
rxn01641	MNXR100281
rxn02283	MNXR100282
rxn09502	MNXR100283
rxn05298	MNXR100285
rxn08632	MNXR100285
rxn00790	MNXR100287
rxn00193	MNXR100288
rxn00069	MNXR100289
rxn10535	MNXR100290
rxn00085	MNXR100291
rxn01802	MNXR100293
rxn06591	MNXR100294
rxn06937	MNXR100295
rxn06436	MNXR100296
rxn05672	MNXR100298
rxn05146	MNXR100299
rxn08627	MNXR100299
rxn11235	MNXR100299
rxn05297	MNXR100300
rxn08631	MNXR100300
rxn09751	MNXR100300
rxn09813	MNXR100300
rxn13303	MNXR100300
rxn08633	MNXR100301
rxn09750	MNXR100301
rxn10917	MNXR100301
rxn13120	MNXR100301
rxn13304	MNXR100301
rxn00010	MNXR100303
rxn05734	MNXR100304
rxn00325	MNXR100305
rxn09839	MNXR100306
rxn13305	MNXR100306
rxn05577	MNXR100307
rxn08643	MNXR100308
rxn09749	MNXR100308
rxn11234	MNXR100308
rxn05578	MNXR100309
rxn01286	MNXR100310
rxn08635	MNXR100311
rxn08636	MNXR100311
rxn10164	MNXR100311
rxn00274	MNXR100313
rxn05181	MNXR100314
rxn08637	MNXR100314
rxn11216	MNXR100314
rxn05579	MNXR100315
rxn08638	MNXR100315
rxn08639	MNXR100317
rxn12430	MNXR100317
rxn08640	MNXR100319
rxn05158	MNXR100320
rxn08641	MNXR100320
rxn08642	MNXR100321
rxn10165	MNXR100321
rxn08644	MNXR100322
rxn13711	MNXR100322
rxn08645	MNXR100323
rxn00768	MNXR100324
rxn01011	MNXR100325
rxn00762	MNXR100326
rxn00764	MNXR100327
rxn01102	MNXR100328
rxn08647	MNXR100329
rxn00908	MNXR100330
rxn00512	MNXR100331
rxn00324	MNXR100332
rxn08653	MNXR100333
rxn12426	MNXR100333
rxn05470	MNXR100334
rxn08651	MNXR100334
rxn08652	MNXR100335
rxn01013	MNXR100336
rxn00333	MNXR100338
rxn08655	MNXR100339
rxn08656	MNXR100340
rxn05581	MNXR100343
rxn08654	MNXR100343
rxn08658	MNXR100343
rxn12529	MNXR100344
rxn00615	MNXR100348
rxn12845	MNXR100349
rxn08661	MNXR100351
rxn10537	MNXR100351
rxn00269	MNXR100352
rxn01274	MNXR100353
rxn08659	MNXR100354
rxn01834	MNXR100355
rxn12846	MNXR100357
rxn00275	MNXR100364
rxn06438	MNXR100365
rxn10862	MNXR100367
rxn12799	MNXR100367
rxn05582	MNXR100368
rxn08660	MNXR100368
rxn09748	MNXR100368
rxn05218	MNXR100371
rxn08662	MNXR100371
rxn13111	MNXR100371
rxn00642	MNXR100377
rxn03916	MNXR100378
rxn13940	MNXR100378
rxn00913	MNXR100381
rxn00837	MNXR100382
rxn00916	MNXR100383
rxn00917	MNXR100384
rxn05471	MNXR100385
rxn08664	MNXR100386
rxn10751	MNXR100387
rxn10686	MNXR100388
rxn01115	MNXR100389
rxn01275	MNXR100390
rxn00270	MNXR100391
