ID	Name	Equation
rxn05267_c0	1,4-dihydroxy-2-naphthoate octaprenyltransferase_c0	(1) cpd00003[c0] + (1) cpd02295[c0] + (1) cpd02590[c0] <= (1) cpd00004[c0] + (1) cpd00011[c0] + (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd11425[c0]
rxn08333_c0	1,4-dihydroxy-2-naphthoate octaprenyltransferase_c0	(1) cpd02295[c0] + (1) cpd02557[c0] => (1) cpd00011[c0] + (1) cpd00012[c0] + (1) cpd15353[c0]
rxn05373_c0	10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase_c0	(1) cpd11509[c0] => (1) cpd00001[c0] + (1) cpd11510[c0]
rxn05398_c0	11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase_c0	(1) cpd11534[c0] => (1) cpd00001[c0] + (1) cpd11535[c0]
rxn05377_c0	12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase_c0	(1) cpd11513[c0] => (1) cpd00001[c0] + (1) cpd11514[c0]
rxn05402_c0	13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase_c0	(1) cpd11538[c0] => (1) cpd00001[c0] + (1) cpd11539[c0]
rxn05381_c0	14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase_c0	(1) cpd11517[c0] => (1) cpd00001[c0] + (1) cpd11518[c0]
rxn05406_c0	15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase_c0	(1) cpd11542[c0] => (1) cpd00001[c0] + (1) cpd11543[c0]
rxn08954_c0	3-deoxy-D-manno-octulosonic acid transferase III (LPS core biosynthesis)_c0	(1) cpd02546[c0] + (1) cpd15550[c0] => (1) cpd00046[c0] + (1) cpd00067[c0] + (1) cpd15492[c0]
rxn03393_c0	3-octaprenyl-4-hydroxybenzoate carboxy-lyase_c0	(1) cpd00067[c0] + (1) cpd03443[c0] => (1) cpd00011[c0] + (1) cpd03444[c0]
rxn12549_c0	4-Hydroxybenzoate transport via proton symport_c0	(1) cpd00067[e0] + (1) cpd00136[e0] => (1) cpd00067[c0] + (1) cpd00136[c0]
rxn05361_c0	4-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase_c0	(1) cpd11497[c0] => (1) cpd00001[c0] + (1) cpd11498[c0]
rxn05386_c0	5-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase_c0	(1) cpd11522[c0] => (1) cpd00001[c0] + (1) cpd11523[c0]
rxn05365_c0	6-methyl-3-hydroxy-octanoyl-ACP hydro-lyase_c0	(1) cpd11501[c0] => (1) cpd00001[c0] + (1) cpd11502[c0]
rxn05390_c0	7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase_c0	(1) cpd11526[c0] => (1) cpd00001[c0] + (1) cpd11527[c0]
rxn05369_c0	8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase_c0	(1) cpd11505[c0] => (1) cpd00001[c0] + (1) cpd11506[c0]
rxn05394_c0	9-methyl-3-hydroxy-decanoyl-ACP hydro-lyase_c0	(1) cpd11530[c0] => (1) cpd00001[c0] + (1) cpd11531[c0]
