SEED_RAST	IANT_BiGG	IANT_MNXR	IANT_KEGG	Sum
rxn13782	0	0	0	0
rxn13783	0	0	0	0
rxn13784	0	0	0	0
rxn05514	0	0	0	0
rxn00006	0	1	0	2
rxn05824	0	0	0	0
rxn11718	0	0	0	0
rxn01453	0	0	0	0
rxn03908	0	1	1	2
rxn03333	1	1	1	3
rxn09692	0	0	0	0
rxn10770	1	1	1	3
rxn01256	0	1	0	2
rxn01255	1	1	1	3
rxn01805	0	0	0	0
rxn05211	0	0	0	0
rxn01827	0	1	0	2
rxn04736	0	1	1	2
rxn10473	0	0	0	0
rxn05467	0	0	0	0
rxn03970	0	0	0	0
rxn02303	1	1	1	3
rxn00256	0	1	1	2
rxn00786	0	0	0	0
rxn05198	0	0	0	0
rxn05317	0	0	0	0
rxn05494	0	0	0	0
rxn00313	1	1	1	3
rxn01974	1	1	1	3
rxn12643	0	0	0	0
rxn00020	0	1	1	2
rxn02277	1	1	1	3
rxn00258	0	0	0	0
rxn00735	0	1	0	1
rxn05953	0	0	0	0
rxn00953	0	0	0	0
rxn05205	0	0	0	0
rxn05681	0	0	0	0
rxn01123	0	0	0	0
rxn01332	0	1	1	2
rxn00328	1	1	1	3
rxn01459	0	0	0	0
rxn01670	0	0	0	0
rxn01750	0	0	0	0
rxn01816	0	1	0	1
rxn02842	0	0	0	0
rxn02260	0	0	0	0
rxn09688	0	0	0	0
rxn02687	0	0	0	0
rxn04600	0	0	0	0
rxn02795	0	0	0	0
rxn02962	0	0	0	0
rxn00686	1	1	1	3
rxn03005	0	1	0	1
rxn03012	0	0	0	0
rxn03014	0	0	0	0
rxn02504	0	1	1	2
rxn01465	1	1	1	3
rxn03282	0	1	1	2
rxn01626	0	0	0	0
rxn04599	0	0	0	0
rxn03394	0	0	0	0
rxn02200	0	1	0	1
rxn01499	0	0	0	0
rxn02212	1	1	1	3
rxn14054	0	1	1	2
rxn14089	0	1	1	2
rxn02261	0	0	0	0
rxn03618	0	0	0	0
rxn09687	0	0	0	0
rxn03860	0	0	0	0
rxn03906	0	0	0	0
rxn03921	0	0	0	0
rxn11663	0	1	0	2
rxn04726	0	1	1	2
rxn04727	0	0	0	0
rxn04737	0	0	0	0
rxn04760	0	0	0	0
rxn04908	0	1	0	1
rxn07258	0	0	0	0
rxn07261	0	0	0	0
rxn05142	0	0	0	0
rxn05143	0	0	0	0
rxn07312	0	0	0	0
rxn07680	0	0	0	0
rxn07684	0	0	0	0
rxn07688	0	0	0	0
rxn00100	1	1	1	3
rxn01216	0	0	0	0
rxn07876	0	0	0	0
rxn07883	0	0	0	0
rxn07885	0	0	0	0
rxn01790	0	0	0	0
rxn11710	0	0	0	0
rxn11712	0	0	0	0
rxn11716	0	0	0	0
rxn11725	0	0	0	0
rxn11809	0	1	1	2
rxn11834	0	1	1	2
rxn11838	0	1	0	1
rxn05649	0	0	0	0
rxn01518	0	1	0	1
rxn09685	0	0	0	0
rxn01519	1	1	1	3
rxn03958	0	1	1	2
rxn12191	0	1	1	2
rxn01331	0	0	0	0
rxn05353	0	1	0	2
rxn13990	0	0	0	0
rxn02167	1	1	1	3
rxn03247	1	1	1	3
rxn03245	1	1	1	3
rxn02911	1	1	1	3
rxn03241	1	1	1	3
rxn03240	1	1	1	3
rxn02934	1	1	1	3
rxn01477	1	1	1	3
rxn00459	1	1	1	3
rxn03917	0	0	0	0
rxn05551	0	0	0	0
rxn06181	0	0	0	0
rxn00943	0	1	0	2
rxn08444	0	0	0	0
rxn11711	0	0	0	0
rxn05736	1	1	0	3
rxn10481	0	1	0	2
rxn00947	1	1	1	3
rxn06734	0	0	0	0
rxn09449	1	1	0	2
rxn04792	0	1	1	2
rxn05105	0	0	0	0
rxn01334	0	0	0	0
rxn00371	1	1	1	3
rxn05555	0	1	0	2
rxn05195	0	1	0	2
rxn00056	0	1	0	2
rxn11040	0	1	0	2
rxn02262	0	0	0	0
rxn04658	0	0	0	0
rxn01602	1	1	0	2
rxn01652	1	1	0	2
rxn02483	0	0	0	0
rxn05937	0	1	1	2
rxn01492	0	0	0	0
rxn01653	0	0	0	0
rxn00691	1	1	1	3
rxn00799	1	1	1	3
rxn10152	0	0	0	0
rxn05561	0	0	0	0
rxn03446	0	1	0	1
rxn03638	0	1	0	2
rxn01629	1	1	1	3
rxn00611	1	1	1	3
rxn00612	1	1	1	3
rxn02373	1	1	1	3
rxn01975	1	1	1	3
rxn03887	0	0	0	0
rxn02173	1	1	1	3
rxn05567	0	0	0	0
rxn05569	0	0	0	0
rxn03004	1	1	1	3
rxn04783	0	1	0	2
rxn06493	1	1	1	3
rxn05127	0	0	0	0
rxn00692	1	1	1	3
rxn00929	1	1	1	3
rxn02009	0	0	0	0
rxn05040	0	1	1	2
rxn06848	0	0	0	0
rxn08336	0	1	0	2
rxn08527	1	1	0	3
rxn08557	0	0	0	0
rxn08976	1	0	0	1
rxn05574	0	0	0	0
rxn01948	0	0	0	0
rxn05734	0	0	0	0
rxn01286	0	0	0	0
rxn05181	0	1	0	2
rxn01102	0	0	0	0
rxn08647	0	0	0	0
rxn00512	0	1	1	2
rxn00324	1	1	1	3
rxn05247	0	1	0	1
rxn05248	0	1	0	1
rxn05249	0	1	0	1
rxn05250	0	1	0	1
rxn05251	0	1	0	1
rxn05252	0	1	0	1
rxn05315	0	0	0	0
rxn05360	0	0	0	0
rxn05361	0	0	0	0
rxn05362	0	0	0	0
rxn05364	0	0	0	0
rxn05365	0	0	0	0
rxn05366	0	0	0	0
rxn05368	0	0	0	0
rxn05369	0	0	0	0
rxn05370	0	0	0	0
rxn05372	0	0	0	0
rxn05373	0	0	0	0
rxn05374	0	0	0	0
rxn05376	0	0	0	0
rxn05377	0	0	0	0
rxn05378	0	0	0	0
rxn05380	0	0	0	0
rxn05381	0	0	0	0
rxn05382	0	0	0	0
rxn05385	0	0	0	0
rxn05386	0	0	0	0
rxn05387	0	0	0	0
rxn05389	0	0	0	0
rxn05390	0	0	0	0
rxn05391	0	0	0	0
rxn05393	0	0	0	0
rxn05394	0	0	0	0
rxn05395	0	0	0	0
rxn05397	0	0	0	0
rxn05398	0	0	0	0
rxn05399	0	0	0	0
rxn05401	0	0	0	0
rxn05402	0	0	0	0
rxn05403	0	0	0	0
rxn05405	0	0	0	0
rxn05406	0	0	0	0
rxn05407	0	0	0	0
rxn05410	0	0	0	0
rxn05412	0	0	0	0
rxn05414	0	0	0	0
rxn01011	0	1	0	1
