cpd00001	MNXM2
cpd00002	MNXM3
cpd00003	MNXM8
cpd00004	MNXM10
cpd00005	MNXM6
cpd00006	MNXM5
cpd00007	MNXM4
cpd00008	MNXM7
cpd00009	MNXM9
cpd00010	MNXM12
cpd00011	MNXM13
cpd00012	MNXM11
cpd00013	MNXM84
cpd00014	MNXM17
cpd00015	MNXM33
cpd00016	MNXM161
cpd00017	MNXM16
cpd00018	MNXM14
cpd00019	MNXM19
cpd00020	MNXM23
cpd00021	MNXM95120
cpd00022	MNXM21
cpd00023	MNXM89557
cpd00024	MNXM20
cpd00025	MNXM22
cpd00026	MNXM52
cpd00027	MNXM7043
cpd00028	MNXM78362
cpd00029	MNXM26
cpd00030	MNXM2255
cpd00031	MNXM30
cpd00032	MNXM46
cpd00033	MNXM29
cpd00034	MNXM149
cpd00035	MNXM32
cpd00036	MNXM25
cpd00037	MNXM47
cpd00038	MNXM51
cpd00039	MNXM78
cpd00040	MNXM69
cpd00041	MNXM42
cpd00042	MNXM57
cpd00043	MNXM89795
cpd00044	MNXM49
cpd00045	MNXM45
cpd00046	MNXM31
cpd00047	MNXM39
cpd00048	MNXM58
cpd00049	MNXM72
cpd00050	MNXM119
cpd00051	MNXM70
cpd00052	MNXM63
cpd00053	MNXM37
cpd00054	MNXM53
cpd00055	MNXM56
cpd00056	MNXM256
cpd00057	MNXM185
cpd00058	MNXM632
cpd00059	MNXM1838
cpd00060	MNXM61
cpd00061	MNXM73
cpd00062	MNXM121
cpd00063	MNXM128
cpd00064	MNXM89689
cpd00065	MNXM94
cpd00066	MNXM97
cpd00067	MNXM1
cpd00068	MNXM423
cpd00069	MNXM76
cpd00070	MNXM40
cpd00071	MNXM75
cpd00072	MNXM89629
cpd00073	MNXM117
cpd00074	MNXM89
cpd00075	MNXM107
cpd00076	MNXM167
cpd00077	MNXM181
cpd00078	MNXM92
cpd00079	MNXM160
cpd00080	MNXM66
cpd00081	MNXM105630
cpd00082	MNXM175
cpd00083	MNXM82
cpd00084	MNXM55
cpd00085	MNXM144
cpd00086	MNXM86
cpd00087	MNXM79
cpd00088	MNXM4271
cpd00089	MNXM89588
cpd00090	MNXM495
cpd00091	MNXM80
cpd00092	MNXM158
cpd00093	MNXM188
cpd00094	MNXM159
cpd00095	MNXM77
cpd00096	MNXM220
cpd00097	MNXM601
cpd00098	MNXM90
cpd00099	MNXM43
cpd00100	MNXM89612
cpd00101	MNXM15900
cpd00102	MNXM2378
cpd00103	MNXM91
cpd00104	MNXM304
cpd00105	MNXM242
cpd00106	MNXM93
cpd00107	MNXM140
cpd00108	MNXM89602
cpd00109	MNXM114072
cpd00110	MNXM537
cpd00111	MNXM151
cpd00112	MNXM141
cpd00113	MNXM83
cpd00114	MNXM125
cpd00115	MNXM286
cpd00116	MNXM157
cpd00117	MNXM156
cpd00118	MNXM118
cpd00119	MNXM134
cpd00120	MNXM233
cpd00121	MNXM127
cpd00122	MNXM143
cpd00123	MNXM238
cpd00124	MNXM8129
cpd00125	MNXM183
cpd00126	MNXM113
cpd00127	MNXM320
cpd00128	MNXM168
cpd00129	MNXM114
cpd00130	MNXM98
cpd00131	MNXM114706
cpd00132	MNXM147
cpd00133	MNXM216
cpd00134	MNXM88
cpd00135	MNXM123
cpd00136	MNXM164
cpd00137	MNXM131
cpd00138	MNXM182
cpd00139	MNXM222
cpd00141	MNXM356
cpd00142	MNXM154
cpd00143	MNXM210
cpd00144	MNXM87
cpd00145	MNXM392
cpd00146	MNXM138
cpd00147	MNXM150
cpd00148	MNXM8178
cpd00149	MNXM90960
cpd00150	MNXM254
cpd00151	MNXM386
cpd00152	MNXM328
cpd00153	MNXM217
cpd00154	MNXM4457
cpd00155	MNXM95017
cpd00156	MNXM199
cpd00157	MNXM460
cpd00158	MNXM776
cpd00159	MNXM179
cpd00160	MNXM103
cpd00161	MNXM142
cpd00162	MNXM218
cpd00163	MNXM284
cpd00164	MNXM241
cpd00165	MNXM433
cpd00166	MNXM91529
cpd00167	MNXM104
cpd00168	MNXM455
cpd00169	MNXM126
cpd00170	MNXM339
cpd00171	MNXM145
cpd00172	MNXM38233
cpd00173	MNXM484
cpd00174	MNXM4574
cpd00175	MNXM89724
cpd00176	MNXM440
cpd00177	MNXM374
cpd00178	MNXM398
cpd00179	MNXM165
cpd00180	MNXM291
cpd00181	MNXM47451
cpd00182	MNXM212
cpd00183	MNXM300
cpd00184	MNXM420
cpd00185	MNXM544
cpd00186	MNXM331
cpd00187	MNXM255
cpd00188	MNXM135
cpd00189	MNXM157918
cpd00190	MNXM105
cpd00191	MNXM244
cpd00192	MNXM264
cpd00193	MNXM287
cpd00194	MNXM159207
cpd00195	MNXM832
cpd00196	MNXM280
cpd00197	MNXM204
cpd00198	MNXM186
cpd00199	MNXM172
cpd00200	MNXM404
cpd00201	MNXM237
cpd00202	MNXM132
cpd00203	MNXM261
cpd00204	MNXM299
cpd00205	MNXM95
cpd00206	MNXM266
cpd00207	MNXM259
cpd00208	MNXM362
cpd00209	MNXM207
cpd00210	MNXM282
cpd00211	MNXM458
cpd00212	MNXM588
cpd00213	MNXM1024
cpd00214	MNXM108
cpd00215	MNXM311
