#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
fig|1185660.4.peg.3	lcl|xanmn_chr01_0056-xanmn_chr01_0056	762	762	100	100	762	100.000	1375
fig|1185660.4.peg.5	lcl|xanmn_chr01_0058-xanmn_chr01_0058	381	414	100	92	381	100.000	688
fig|1185660.4.peg.7	lcl|PdxJ-xanmn_chr01_0060	768	768	100	100	768	100.000	1386
fig|1185660.4.peg.8	lcl|xanmn_chr01_0061-xanmn_chr01_0061	249	270	100	92	249	100.000	450
fig|1185660.4.peg.9	lcl|cls1-xanmn_chr01_0062	1461	1461	100	100	1461	100.000	2636
fig|1185660.4.peg.10	lcl|xanmn_chr01_0063-xanmn_chr01_0063	726	726	100	100	726	100.000	1310
fig|1185660.4.peg.11	lcl|xanmn_chr01_0064-xanmn_chr01_0064	366	366	100	100	366	100.000	661
fig|1185660.4.peg.12	lcl|xanmn_chr01_0065-xanmn_chr01_0065	1128	1128	100	100	1128	100.000	2035
fig|1185660.4.peg.13	lcl|xanmn_chr01_0066-xanmn_chr01_0066	714	702	98	100	702	100.000	1267
fig|1185660.4.peg.14	lcl|fadL-xanmn_chr01_0067	1341	1341	100	100	1341	100.000	2419
fig|1185660.4.peg.15	lcl|xanmn_chr01_0068-xanmn_chr01_0068	693	639	92	100	639	100.000	1153
fig|1185660.4.peg.16	lcl|xanmn_chr01_0069-xanmn_chr01_0069	321	366	100	88	321	100.000	580
fig|1185660.4.peg.17	lcl|xanmn_chr01_0070-xanmn_chr01_0070	1008	1008	100	100	1008	100.000	1819
fig|1185660.4.peg.18	lcl|ctpA-xanmn_chr01_0071	1533	1533	100	100	1533	100.000	2765
fig|1185660.4.peg.19	lcl|xanmn_chr01_0072-xanmn_chr01_0072	1236	1236	100	100	1236	100.000	2230
fig|1185660.4.peg.20	lcl|xanmn_chr01_0073-xanmn_chr01_0073	657	657	100	100	657	100.000	1186
fig|1185660.4.peg.21	lcl|xanmn_chr01_0074-xanmn_chr01_0074	1797	1797	100	100	1797	100.000	3241
fig|1185660.4.peg.22	lcl|xanmn_chr01_0076-xanmn_chr01_0076	444	444	100	100	444	100.000	801
fig|1185660.4.peg.23	lcl|xanmn_chr01_0077-xanmn_chr01_0077	1281	1134	89	100	1134	100.000	2046
fig|1185660.4.peg.25	lcl|xanmn_chr01_0079-xanmn_chr01_0079	1053	1053	100	100	1053	100.000	1900
fig|1185660.4.peg.28	lcl|xanmn_chr01_0081-xanmn_chr01_0081	1302	1074	82	100	1074	100.000	1938
fig|1185660.4.peg.29	lcl|xanmn_chr01_0082-xanmn_chr01_0082	1059	1059	100	100	1059	100.000	1911
