Gene_ID	P1S3	S2S3	P1V2	S2V2
CcmD	71	53	286	337
MFS_transporter	3	3	8	15
PhoX	10	9	9	12
PqqC	6	2	21	21
RibB	830	375	929	346
RibD	163	107	154	137
XopE1	13	38	19	25
accC1_	13	14	28	64
accD1	19	32	55	94
accD_	347	222	293	222
aceE	593	514	541	496
acsA_	48	96	137	320
baeR	24	19	20	21
bfeA	28	17	22	36
catB	5	4	15	25
cbpA	214	223	311	234
ccmC1	9	7	11	10
cdsA_	106	64	103	109
coIR	13	15	231	374
cobD	32	26	23	37
dksA	889	599	1082	647
dnaX	80	76	108	91
estA1_	5	7	9	15
fabA_	43	38	36	55
fabB_	42	41	27	53
fabG	74	90	1217	243
fabG2_	28	6	62	98
fabG3_	84	38	121	107
fabH1	414	158	395	317
fabH3_	139	132	1074	206
fabH4	17	3	15	12
fabH_	973	356	1492	1224
fadB2_	140	50	243	95
fig|1185660.4.peg.10	49	28	43	41
fig|1185660.4.peg.100	86	128	203	146
fig|1185660.4.peg.1000	4126	2401	7370	4417
fig|1185660.4.peg.1001	5038	3147	11142	5555
fig|1185660.4.peg.1002	3506	2626	21716	7799
fig|1185660.4.peg.1003	3306	2144	5708	2765
fig|1185660.4.peg.1004	5129	4157	22308	11427
fig|1185660.4.peg.1005	3970	2977	11711	5260
fig|1185660.4.peg.1006	3377	2801	7270	3606
fig|1185660.4.peg.1007	7198	6682	16851	6438
fig|1185660.4.peg.1008	13922	15992	138537	60357
fig|1185660.4.peg.1009	5843	5429	19568	10091
fig|1185660.4.peg.101	233	226	165	141
fig|1185660.4.peg.1010	4191	4254	16347	8526
fig|1185660.4.peg.1011	5008	4341	12446	6326
fig|1185660.4.peg.1012	3727	3160	8792	5825
fig|1185660.4.peg.1013	2982	2512	8875	6656
fig|1185660.4.peg.1014	3988	2616	8491	3913
fig|1185660.4.peg.1015	2002	811	3020	1609
fig|1185660.4.peg.1016	1982	762	4633	2703
fig|1185660.4.peg.1017	4332	1953	7020	4341
fig|1185660.4.peg.1018	3046	1194	18074	10345
fig|1185660.4.peg.1019	2047	757	3340	2484
fig|1185660.4.peg.1020	1012	388	1260	629
fig|1185660.4.peg.1021	2904	1617	6351	4132
fig|1185660.4.peg.1022	4474	2304	7823	4114
fig|1185660.4.peg.1023	3042	1521	4924	2214
fig|1185660.4.peg.1024	2862	1395	3962	2168
fig|1185660.4.peg.1025	2389	1260	4712	2296
fig|1185660.4.peg.1026	160	81	217	209
fig|1185660.4.peg.1028	24	19	27	23
fig|1185660.4.peg.1029	4	3	53	85
fig|1185660.4.peg.103	129	146	269	134
fig|1185660.4.peg.1030	171	102	134	129
fig|1185660.4.peg.1031	38	21	53	87
fig|1185660.4.peg.1033	130	64	302	248
fig|1185660.4.peg.1034	1123	481	1240	757
fig|1185660.4.peg.1035	2766	3257	4933	2586
fig|1185660.4.peg.1036	1273	1263	1443	1210
fig|1185660.4.peg.1037	171	140	223	151
fig|1185660.4.peg.1038	167	12	80	137
fig|1185660.4.peg.104	45	50	65	52
fig|1185660.4.peg.1041	62	15	54	42
fig|1185660.4.peg.1043	7177	5357	11505	16716
fig|1185660.4.peg.1044	409	295	406	565
fig|1185660.4.peg.1045	86	96	77	71
fig|1185660.4.peg.1046	93	134	105	107
fig|1185660.4.peg.1047	30	32	46	62
fig|1185660.4.peg.1048	21	18	27	34
fig|1185660.4.peg.1049	58	49	59	79
fig|1185660.4.peg.105	11	10	17	19
fig|1185660.4.peg.1050	39	86	149	90
fig|1185660.4.peg.1051	322	121	511	369
fig|1185660.4.peg.1052	8	13	9	11
fig|1185660.4.peg.1053	26	23	19	12
fig|1185660.4.peg.1053	9	15	9	9
fig|1185660.4.peg.1055	98	40	102	88
fig|1185660.4.peg.1056	37	28	52	33
fig|1185660.4.peg.1057	29	25	23	22
fig|1185660.4.peg.1059	105	96	117	82
fig|1185660.4.peg.106	34	28	34	29
fig|1185660.4.peg.1060	255	294	236	175
fig|1185660.4.peg.1062	122	122	118	90
