"rpfCGH_mean"	"Void_mean"	"theta"	"prob"	"log2FC"
"coIR"	14	302.5	-2.67763446974853	1	-4.43343641010435
"fig|1185660.4.peg.1018"	2120	14209.5	-2.38295211131448	1	-2.74471962041416
"fig|1185660.4.peg.1168"	12	232	-2.89850092673009	1	-4.27301849440642
"fig|1185660.4.peg.1210"	0.5	170	-3.57722808513205	1	-8.4093909361377
"fig|1185660.4.peg.1292"	34	610.5	-2.91053254958391	1	-4.16638464373706
"fig|1185660.4.peg.130"	4.5	101	-2.17537197825837	1	-4.48828648130948
"fig|1185660.4.peg.1313"	79	2774.5	-2.14758435349988	1	-5.13423133947403
"fig|1185660.4.peg.1331"	595.5	2732.5	-4.42443962942097	1	-2.19804808269515
"fig|1185660.4.peg.1587"	95	576	-2.99141253227124	1	-2.60006939311136
"fig|1185660.4.peg.1601"	17.5	1600	-3.72898782105641	1	-6.51457317282976
"fig|1185660.4.peg.1654"	583.5	15466	-7.03449541124095	1	-4.72822365200248
"fig|1185660.4.peg.1787"	1647	10868	-6.73125000640463	1	-2.72217401049562
"fig|1185660.4.peg.189"	70	578	-3.4999428990503	1	-3.04564266555571
"fig|1185660.4.peg.2134"	1924	568	2.76588088401911	1	1.76014596426536
"fig|1185660.4.peg.2221"	9.5	178	-2.38618261793144	1	-4.22780591752281
"fig|1185660.4.peg.2262"	4	540	-2.6642217636695	1	-7.07681559705083
"fig|1185660.4.peg.2263"	7.5	714.5	-2.30269492745669	1	-6.5738996054873
"fig|1185660.4.peg.2266"	1.5	364	-2.7451409993743	1	-7.92283213947754
"fig|1185660.4.peg.2303"	10.5	720	-2.30814415936618	1	-6.09953567355091
"fig|1185660.4.peg.2346"	31.5	995.5	-2.81277080644345	1	-4.98199758222059
"fig|1185660.4.peg.2350"	26.5	278	-1.71509893686543	1	-3.39102061816031
"fig|1185660.4.peg.2382"	0.5	143.5	-5.2513132417212	1	-8.16490692667569
"fig|1185660.4.peg.2398"	816	1934.5	-2.81572598183378	1	-1.24531967147172
"fig|1185660.4.peg.2442"	10	157	-2.39128293293407	1	-3.97269265400426
