1185660.4.peg.1	DNA repair, bacterial RecBCD pathway
1185660.4.peg.2	Heme, hemin uptake and utilization systems in GramNegatives; <br>Hemin transport system; <br>Ton and Tol transport systems
1185660.4.peg.3	Ton and Tol transport systems
1185660.4.peg.4	Ton and Tol transport systems
1185660.4.peg.5	Ton and Tol transport systems
1185660.4.peg.6	Ton and Tol transport systems
1185660.4.peg.7	Pyridoxin (Vitamin B6) Biosynthesis
1185660.4.peg.8	- none -
1185660.4.peg.9	Cardiolipin synthesis; <br>Glycerolipid and Glycerophospholipid Metabolism in Bacteria
1185660.4.peg.10	- none -
1185660.4.peg.11	- none -
1185660.4.peg.12	- none -
1185660.4.peg.13	- none -
1185660.4.peg.14	- none -
1185660.4.peg.15	Peptidyl-prolyl cis-trans isomerase containing cluster
1185660.4.peg.16	- none -
1185660.4.peg.17	Glycine and Serine Utilization; <br>Pyridoxin (Vitamin B6) Biosynthesis; <br>Serine Biosynthesis
1185660.4.peg.18	Phosphoglycerate mutase protein family
1185660.4.peg.19	Glutaredoxins
1185660.4.peg.20	- none -
1185660.4.peg.21	- none -
1185660.4.peg.22	- none -
1185660.4.peg.23	- none -
1185660.4.peg.24	- none -
1185660.4.peg.25	- none -
1185660.4.peg.26	- none -
1185660.4.peg.27	- none -
1185660.4.peg.28	- none -
1185660.4.peg.29	5-FCL-like protein; <br>Butanol Biosynthesis; <br>Glycerolipid and Glycerophospholipid Metabolism in Bacteria
1185660.4.peg.30	- none -
1185660.4.peg.31	Ammonia assimilation; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis
1185660.4.peg.32	Ammonia assimilation; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis
1185660.4.peg.33	- none -
1185660.4.peg.34	DNA topoisomerases, Type I, ATP-independent
1185660.4.peg.35	CBSS-349102.4.peg.3442
1185660.4.peg.36	- none -
1185660.4.peg.37	DNA repair, bacterial RecBCD pathway
1185660.4.peg.38	DNA repair, bacterial RecBCD pathway
1185660.4.peg.39	- none -
1185660.4.peg.40	- none -
1185660.4.peg.41	- none -
1185660.4.peg.42	- none -
1185660.4.peg.43	- none -
1185660.4.peg.45	- none -
1185660.4.peg.46	- none -
1185660.4.peg.47	- none -
1185660.4.peg.48	- none -
1185660.4.peg.49	Lipopolysaccharide assembly
1185660.4.peg.50	Lipopolysaccharide assembly
1185660.4.peg.51	Lipopolysaccharide assembly
1185660.4.peg.52	Lipopolysaccharide assembly
1185660.4.peg.53	- none -
1185660.4.peg.54	- none -
1185660.4.peg.55	- none -
1185660.4.peg.56	DNA repair, bacterial
1185660.4.peg.57	DNA repair, bacterial
1185660.4.peg.58	- none -
1185660.4.peg.59	- none -
1185660.4.peg.60	- none -
1185660.4.peg.61	- none -
1185660.4.peg.62	Glutathione: Non-redox reactions
1185660.4.peg.63	- none -
1185660.4.peg.64	- none -
1185660.4.peg.65	Mannose Metabolism
1185660.4.peg.66	- none -
1185660.4.peg.67	- none -
1185660.4.peg.68	- none -
1185660.4.peg.69	- none -
1185660.4.peg.70	- none -
1185660.4.peg.71	- none -
1185660.4.peg.72	- none -
1185660.4.peg.73	- none -
1185660.4.peg.74	- none -
1185660.4.peg.75	RNA methylation; <br>Ribosome biogenesis bacterial
1185660.4.peg.76	- none -
1185660.4.peg.77	- none -
1185660.4.peg.78	CBSS-176299.4.peg.1996A; <br>Glycerol and Glycerol-3-phosphate Uptake and Utilization
1185660.4.peg.79	Ton and Tol transport systems
1185660.4.peg.80	- none -
1185660.4.peg.81	Cell Division Subsystem including YidCD; <br>RNA modification and chromosome partitioning cluster; <br>RNA modification cluster; <br>Universal GTPases; <br>mnm5U34 biosynthesis bacteria; <br>tRNA modification Bacteria
1185660.4.peg.82	Bacterial Caspases
1185660.4.peg.83	CTP synthase (EC 6.3.4.2) cluster; <br>Cell Division Subsystem including YidCD; <br>RNA modification cluster
1185660.4.peg.84	Cell Division Subsystem including YidCD; <br>RNA modification cluster; <br>tRNA processing
1185660.4.peg.85	Cell Division Subsystem including YidCD; <br>RNA modification cluster; <br>Ribosome LSU bacterial
1185660.4.peg.86	- none -
1185660.4.peg.87	Cell Division Subsystem including YidCD; <br>DNA replication cluster 1
1185660.4.peg.88	Cell Division Subsystem including YidCD; <br>DNA replication cluster 1
1185660.4.peg.89	Cell Division Subsystem including YidCD; <br>DNA repair, bacterial RecFOR pathway; <br>DNA replication cluster 1; <br>Hypothetical Coupled to RecF
1185660.4.peg.90	Cell Division Subsystem including YidCD; <br>DNA gyrase subunits; <br>DNA replication cluster 1; <br>DNA topoisomerases, Type II, ATP-dependent; <br>Resistance to fluoroquinolones
1185660.4.peg.91	- none -
1185660.4.peg.92	- none -
1185660.4.peg.93	Ton and Tol transport systems
1185660.4.peg.94	- none -
1185660.4.peg.95	- none -
1185660.4.peg.96	- none -
1185660.4.peg.97	- none -
1185660.4.peg.98	Chitin and N-acetylglucosamine utilization; <br>Ton and Tol transport systems
1185660.4.peg.99	D-Galacturonate and D-Glucuronate Utilization; <br>D-gluconate and ketogluconates metabolism; <br>Entner-Doudoroff Pathway
1185660.4.peg.100	- none -
1185660.4.peg.101	- none -
1185660.4.peg.102	- none -
1185660.4.peg.103	- none -
1185660.4.peg.104	- none -
1185660.4.peg.105	- none -
1185660.4.peg.106	- none -
1185660.4.peg.107	- none -
1185660.4.peg.108	- none -
1185660.4.peg.109	Lactate utilization; <br>Respiratory dehydrogenases 1
1185660.4.peg.110	- none -
1185660.4.peg.111	Bacillus subtilis scratch - gjo; <br>DNA Repair Base Excision; <br>DNA ligases; <br>Nonhomologous End-Joining in Bacteria
1185660.4.peg.112	- none -
1185660.4.peg.113	- none -
1185660.4.peg.114	- none -
1185660.4.peg.115	- none -
1185660.4.peg.116	- none -
1185660.4.peg.117	Homogentisate pathway of aromatic compound degradation; <br>Pterin carbinolamine dehydratase
1185660.4.peg.118	Glycolysis and Gluconeogenesis
1185660.4.peg.119	- none -
1185660.4.peg.120	- none -
1185660.4.peg.121	- none -
1185660.4.peg.122	- none -
1185660.4.peg.123	Putative TldE-TldD proteolytic complex
1185660.4.peg.124	Putative TldE-TldD proteolytic complex
1185660.4.peg.125	Putative TldE-TldD proteolytic complex
1185660.4.peg.126	- none -
1185660.4.peg.127	- none -
1185660.4.peg.128	- none -
1185660.4.peg.129	- none -
1185660.4.peg.130	Maltose and Maltodextrin Utilization; <br>Trehalose Biosynthesis
1185660.4.peg.131	Trehalose Biosynthesis
1185660.4.peg.132	Glycogen metabolism; <br>Trehalose Biosynthesis
1185660.4.peg.133	- none -
1185660.4.peg.134	- none -
1185660.4.peg.135	- none -
1185660.4.peg.136	- none -
1185660.4.peg.137	Xylose utilization
1185660.4.peg.138	Biphenyl Degradation
1185660.4.peg.139	TRAP Transporter collection
1185660.4.peg.140	Sialic Acid Metabolism
1185660.4.peg.141	TRAP Transporter collection
1185660.4.peg.142	Xylose utilization
1185660.4.peg.143	D-ribose utilization
1185660.4.peg.144	D-Galacturonate and D-Glucuronate Utilization
1185660.4.peg.145	D-Galacturonate and D-Glucuronate Utilization
1185660.4.peg.146	- none -
1185660.4.peg.147	- none -
1185660.4.peg.148	- none -
1185660.4.peg.149	Aromatic amino acid degradation; <br>Pterin carbinolamine dehydratase
1185660.4.peg.150	- none -
1185660.4.peg.151	Ton and Tol transport systems
1185660.4.peg.152	Broadly distributed proteins not in subsystems
1185660.4.peg.153	- none -
1185660.4.peg.154	- none -
1185660.4.peg.155	- none -
1185660.4.peg.156	- none -
1185660.4.peg.157	- none -
1185660.4.peg.158	- none -
1185660.4.peg.159	Choline and Betaine Uptake and Betaine Biosynthesis
1185660.4.peg.160	Choline and Betaine Uptake and Betaine Biosynthesis
1185660.4.peg.161	- none -
1185660.4.peg.162	Alanine biosynthesis; <br>CBSS-84588.1.peg.1247; <br>Iron-sulfur cluster assembly; <br>mnm5U34 biosynthesis bacteria; <br>tRNA modification Bacteria
1185660.4.peg.163	- none -
1185660.4.peg.164	- none -
1185660.4.peg.165	- none -
1185660.4.peg.166	Aromatic amino acid interconversions with aryl acids
1185660.4.peg.167	- none -
1185660.4.peg.168	- none -
1185660.4.peg.169	Pyruvate metabolism I: anaplerotic reactions, PEP
1185660.4.peg.170	- none -
1185660.4.peg.171	- none -
1185660.4.peg.172	- none -
1185660.4.peg.173	- none -
1185660.4.peg.174	- none -
1185660.4.peg.175	Flagellum
1185660.4.peg.176	Glycerolipid and Glycerophospholipid Metabolism in Bacteria
1185660.4.peg.177	- none -
1185660.4.peg.178	cAMP signaling in bacteria
1185660.4.peg.179	- none -
1185660.4.peg.180	5-FCL-like protein; <br>Butanol Biosynthesis; <br>Glycerolipid and Glycerophospholipid Metabolism in Bacteria
1185660.4.peg.181	- none -
1185660.4.peg.182	Ammonia assimilation; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis; <br>Glutamine synthetases; <br>Peptidoglycan Biosynthesis
1185660.4.peg.183	Ammonia assimilation
1185660.4.peg.184	Ammonia assimilation
1185660.4.peg.185	- none -
1185660.4.peg.186	- none -
1185660.4.peg.187	Oxidative stress; <br>Protection from Reactive Oxygen Species
1185660.4.peg.188	Oxidative stress; <br>Protection from Reactive Oxygen Species
1185660.4.peg.189	- none -
1185660.4.peg.190	- none -
1185660.4.peg.191	- none -
1185660.4.peg.192	- none -
